指数,年月,地域,カテゴリ,数値,単位
指数,1985年11月,全国,0001 総合,84.1,
指数,1985年11月,全国,0002 食料,76.3,
指数,1985年11月,全国,0003 穀類,94.6,
指数,1985年11月,全国,0004 米類,114.7,
指数,1985年11月,全国,1001 うるち米Ａ,115.3,
指数,1985年11月,全国,1002 うるち米Ｂ,116.8,
指数,1985年11月,全国,0005 パン,79.8,
指数,1985年11月,全国,1021 食パン,82.5,
指数,1985年11月,全国,1022 あんパン,77.3,
指数,1985年11月,全国,0006 麺類,77.4,
指数,1985年11月,全国,1031 ゆでうどん,79.6,
指数,1985年11月,全国,1041 そうめん,68.7,
指数,1985年11月,全国,1042 スパゲッティ,82.7,
指数,1985年11月,全国,1051 カップ麺,73.9,
指数,1985年11月,全国,1052 中華麺,87.5,
指数,1985年11月,全国,0007 他の穀類,93.3,
指数,1985年11月,全国,1071 小麦粉,79.1,
指数,1985年11月,全国,1081 もち,101.3,
指数,1985年11月,全国,0008 魚介類,71.9,
指数,1985年11月,全国,0009 生鮮魚介,79.7,
指数,1985年11月,全国,1101 まぐろ,90.2,
指数,1985年11月,全国,1102 あじ,111.9,
指数,1985年11月,全国,1103 いわし,48,
指数,1985年11月,全国,1106 さけ,67.5,
指数,1985年11月,全国,1107 さば,63.1,
指数,1985年11月,全国,1108 さんま,48.7,
指数,1985年11月,全国,1110 たい,104.9,
指数,1985年11月,全国,1111 ぶり,87.1,
指数,1985年11月,全国,1112 いか,68.8,
指数,1985年11月,全国,1113 たこ,59.3,
指数,1985年11月,全国,1114 えび,127.1,
指数,1985年11月,全国,1131 あさり,55.8,
指数,1985年11月,全国,1132 かき（貝）,51.4,
指数,1985年11月,全国,1133 ほたて貝,83.7,
指数,1985年11月,全国,0010 塩干魚介,66.3,
指数,1985年11月,全国,1141 塩さけ,77.3,
指数,1985年11月,全国,1142 たらこ,69.6,
指数,1985年11月,全国,1143 しらす干し,43.1,
指数,1985年11月,全国,1144 干しあじ,82.5,
指数,1985年11月,全国,1146 煮干し,63.4,
指数,1985年11月,全国,0011 魚肉練製品,61.4,
指数,1985年11月,全国,1151 揚げかまぼこ,59.9,
指数,1985年11月,全国,1152 ちくわ,64.3,
指数,1985年11月,全国,1153 かまぼこ,59.9,
指数,1985年11月,全国,0012 他の魚介加工品,58.7,
指数,1985年11月,全国,1161 かつお節,72.1,
指数,1985年11月,全国,1173 魚介缶詰,58.8,
指数,1985年11月,全国,0013 肉類,72.4,
指数,1985年11月,全国,0014 生鮮肉,68.1,
指数,1985年11月,全国,1201 牛肉（国産品）,57.3,
指数,1985年11月,全国,1203 牛肉（輸入品）,86.4,
指数,1985年11月,全国,1211 豚肉（国産品）,67.4,
指数,1985年11月,全国,1221 鶏肉,79.1,
指数,1985年11月,全国,0015 加工肉,92.5,
指数,1985年11月,全国,1252 ハム,103.2,
指数,1985年11月,全国,1261 ソーセージ,89.5,
指数,1985年11月,全国,1271 ベーコン,78.4,
指数,1985年11月,全国,0016 乳卵類,91.1,
指数,1985年11月,全国,0017 牛乳・乳製品,86.8,
指数,1985年11月,全国,0018 牛乳,85.1,
指数,1985年11月,全国,1303 牛乳,98.8,
指数,1985年11月,全国,0019 乳製品,89.8,
指数,1985年11月,全国,1311 粉ミルク,65.8,
指数,1985年11月,全国,1333 ヨーグルト,116.7,
指数,1985年11月,全国,1321 バター,76.3,
指数,1985年11月,全国,1331 チーズ（国産品）,67.9,
指数,1985年11月,全国,0020 卵,100.5,
指数,1985年11月,全国,1341 鶏卵,100.5,
指数,1985年11月,全国,0021 野菜・海藻,63.1,
指数,1985年11月,全国,0022 生鮮野菜,60.3,
指数,1985年11月,全国,1401 キャベツ,54.8,
指数,1985年11月,全国,1402 ほうれんそう,34.1,
指数,1985年11月,全国,1403 はくさい,37.2,
指数,1985年11月,全国,1405 ねぎ,62.2,
指数,1985年11月,全国,1406 レタス,73.7,
指数,1985年11月,全国,1407 もやし,92.1,
指数,1985年11月,全国,1411 さつまいも,46.2,
指数,1985年11月,全国,1412 じゃがいも,44.5,
指数,1985年11月,全国,1413 さといも,39.4,
指数,1985年11月,全国,1414 だいこん,70,
指数,1985年11月,全国,1415 にんじん,55.7,
指数,1985年11月,全国,1416 ごぼう,53.8,
指数,1985年11月,全国,1417 たまねぎ,44,
指数,1985年11月,全国,1419 れんこん,49.2,
指数,1985年11月,全国,1420 ながいも,86.6,
指数,1985年11月,全国,1432 さやいんげん,43.7,
指数,1985年11月,全国,1433 かぼちゃ,46.1,
指数,1985年11月,全国,1434 きゅうり,78.9,
指数,1985年11月,全国,1435 なす,82.6,
指数,1985年11月,全国,1436 トマト,72.1,
指数,1985年11月,全国,1437 ピーマン,46.8,
指数,1985年11月,全国,1438 生しいたけ,96.3,
指数,1985年11月,全国,0023 乾物・加工品類,68.3,
指数,1985年11月,全国,0024 乾物・海藻,54.8,
指数,1985年11月,全国,1453 干ししいたけ,67.3,
指数,1985年11月,全国,1461 干しのり,77.5,
指数,1985年11月,全国,1462 わかめ,40.9,
指数,1985年11月,全国,1463 こんぶ,42.6,
指数,1985年11月,全国,0025 大豆加工品,81.9,
指数,1985年11月,全国,1471 豆腐,79.2,
指数,1985年11月,全国,1472 油揚げ,83.3,
指数,1985年11月,全国,1473 納豆,78.2,
指数,1985年11月,全国,0026 他の野菜・海藻加工品,67,
指数,1985年11月,全国,1481 こんにゃく,102.8,
指数,1985年11月,全国,1482 梅干し,50.4,
指数,1985年11月,全国,1483 だいこん漬,59,
指数,1985年11月,全国,1485 こんぶつくだ煮,60,
指数,1985年11月,全国,1491 野菜缶詰,106.8,
指数,1985年11月,全国,0027 果物,57.2,
