指数,年月,地域,カテゴリ,数値,単位
指数,1972年4月,全国,0001 総合,34.4,
指数,1972年4月,全国,0002 食料,31.7,
指数,1972年4月,全国,0003 穀類,34.8,
指数,1972年4月,全国,0004 米類,42.6,
指数,1972年4月,全国,0005 パン,28.8,
指数,1972年4月,全国,1021 食パン,30.4,
指数,1972年4月,全国,1022 あんパン,26.1,
指数,1972年4月,全国,0006 麺類,26.8,
指数,1972年4月,全国,1041 そうめん,20.7,
指数,1972年4月,全国,1051 カップ麺,30.4,
指数,1972年4月,全国,0007 他の穀類,39.6,
指数,1972年4月,全国,1071 小麦粉,32.3,
指数,1972年4月,全国,0008 魚介類,24.7,
指数,1972年4月,全国,0009 生鮮魚介,27.2,
指数,1972年4月,全国,1101 まぐろ,37.1,
指数,1972年4月,全国,1102 あじ,26.2,
指数,1972年4月,全国,1103 いわし,30.4,
指数,1972年4月,全国,1104 かつお,44,
指数,1972年4月,全国,1106 さけ,26.9,
指数,1972年4月,全国,1107 さば,15.2,
指数,1972年4月,全国,1108 さんま,29,
指数,1972年4月,全国,1110 たい,47.9,
指数,1972年4月,全国,1111 ぶり,42,
指数,1972年4月,全国,1112 いか,20.8,
指数,1972年4月,全国,1113 たこ,22.5,
指数,1972年4月,全国,1131 あさり,9.2,
指数,1972年4月,全国,1132 かき（貝）,17,
指数,1972年4月,全国,0010 塩干魚介,23,
指数,1972年4月,全国,1141 塩さけ,26.8,
指数,1972年4月,全国,1142 たらこ,20.2,
指数,1972年4月,全国,1143 しらす干し,18.2,
指数,1972年4月,全国,1146 煮干し,23.1,
指数,1972年4月,全国,0011 魚肉練製品,20.2,
指数,1972年4月,全国,1151 揚げかまぼこ,15.4,
指数,1972年4月,全国,1152 ちくわ,18.1,
指数,1972年4月,全国,1153 かまぼこ,25.3,
指数,1972年4月,全国,0012 他の魚介加工品,22.5,
指数,1972年4月,全国,1161 かつお節,36.9,
指数,1972年4月,全国,0013 肉類,37.1,
指数,1972年4月,全国,0014 生鮮肉,35.3,
指数,1972年4月,全国,1201 牛肉（国産品）,21.4,
指数,1972年4月,全国,1211 豚肉（国産品）,38.5,
指数,1972年4月,全国,1221 鶏肉,51.1,
指数,1972年4月,全国,0015 加工肉,46.2,
指数,1972年4月,全国,1261 ソーセージ,42,
指数,1972年4月,全国,0016 乳卵類,50.3,
指数,1972年4月,全国,0017 牛乳・乳製品,44.5,
指数,1972年4月,全国,0018 牛乳,44.8,
指数,1972年4月,全国,0019 乳製品,43.9,
指数,1972年4月,全国,1311 粉ミルク,27.5,
指数,1972年4月,全国,1321 バター,39.1,
指数,1972年4月,全国,1331 チーズ（国産品）,37.3,
指数,1972年4月,全国,0020 卵,63.3,
指数,1972年4月,全国,1341 鶏卵,63.3,
