指数,年月,地域,カテゴリ,数値,単位
指数,1984年4月,全国,0001 総合,81.9,
指数,1984年4月,全国,0002 食料,76.2,
指数,1984年4月,全国,0003 穀類,91.9,
指数,1984年4月,全国,0004 米類,110.9,
指数,1984年4月,全国,1001 うるち米Ａ,111.8,
指数,1984年4月,全国,1002 うるち米Ｂ,113.2,
指数,1984年4月,全国,0005 パン,77.3,
指数,1984年4月,全国,1021 食パン,81.6,
指数,1984年4月,全国,1022 あんパン,71.8,
指数,1984年4月,全国,0006 麺類,76.8,
指数,1984年4月,全国,1031 ゆでうどん,80,
指数,1984年4月,全国,1041 そうめん,67.1,
指数,1984年4月,全国,1051 カップ麺,73.9,
指数,1984年4月,全国,0007 他の穀類,93.1,
指数,1984年4月,全国,1071 小麦粉,79,
指数,1984年4月,全国,1081 もち,101.1,
指数,1984年4月,全国,0008 魚介類,70.1,
指数,1984年4月,全国,0009 生鮮魚介,78.1,
指数,1984年4月,全国,1101 まぐろ,85.7,
指数,1984年4月,全国,1102 あじ,130.8,
指数,1984年4月,全国,1103 いわし,38.6,
指数,1984年4月,全国,1104 かつお,77,
指数,1984年4月,全国,1106 さけ,72.5,
指数,1984年4月,全国,1107 さば,56.3,
指数,1984年4月,全国,1108 さんま,51.4,
指数,1984年4月,全国,1110 たい,106.6,
指数,1984年4月,全国,1111 ぶり,82.1,
指数,1984年4月,全国,1112 いか,67,
指数,1984年4月,全国,1113 たこ,56.6,
指数,1984年4月,全国,1114 えび,132.9,
指数,1984年4月,全国,1131 あさり,58,
指数,1984年4月,全国,1132 かき（貝）,30.1,
指数,1984年4月,全国,1133 ほたて貝,77.3,
指数,1984年4月,全国,0010 塩干魚介,63.5,
指数,1984年4月,全国,1141 塩さけ,71.2,
指数,1984年4月,全国,1142 たらこ,70,
指数,1984年4月,全国,1143 しらす干し,41.5,
指数,1984年4月,全国,1144 干しあじ,83,
指数,1984年4月,全国,1146 煮干し,63.6,
指数,1984年4月,全国,0011 魚肉練製品,59.4,
指数,1984年4月,全国,1151 揚げかまぼこ,58.5,
指数,1984年4月,全国,1152 ちくわ,61.5,
指数,1984年4月,全国,1153 かまぼこ,57.3,
指数,1984年4月,全国,0012 他の魚介加工品,58,
指数,1984年4月,全国,1161 かつお節,71.7,
指数,1984年4月,全国,0013 肉類,73.3,
指数,1984年4月,全国,0014 生鮮肉,69.1,
指数,1984年4月,全国,1201 牛肉（国産品）,55.9,
指数,1984年4月,全国,1203 牛肉（輸入品）,87.7,
指数,1984年4月,全国,1211 豚肉（国産品）,68.9,
指数,1984年4月,全国,1221 鶏肉,81.6,
指数,1984年4月,全国,0015 加工肉,92.9,
指数,1984年4月,全国,1252 ハム,103.7,
指数,1984年4月,全国,1261 ソーセージ,89.4,
指数,1984年4月,全国,1271 ベーコン,79.1,
指数,1984年4月,全国,0016 乳卵類,88.4,
指数,1984年4月,全国,0017 牛乳・乳製品,86.6,
指数,1984年4月,全国,0018 牛乳,85.6,
指数,1984年4月,全国,1303 牛乳,100.4,
指数,1984年4月,全国,0019 乳製品,87.6,
指数,1984年4月,全国,1311 粉ミルク,60.2,
指数,1984年4月,全国,1321 バター,76.3,
指数,1984年4月,全国,1331 チーズ（国産品）,68.3,
指数,1984年4月,全国,0020 卵,91.5,
指数,1984年4月,全国,1341 鶏卵,91.5,
指数,1984年4月,全国,0021 野菜・海藻,76.4,
指数,1984年4月,全国,0022 生鮮野菜,82.8,
指数,1984年4月,全国,1401 キャベツ,148.7,
指数,1984年4月,全国,1402 ほうれんそう,30.3,
指数,1984年4月,全国,1403 はくさい,99.7,
指数,1984年4月,全国,1405 ねぎ,69.9,
指数,1984年4月,全国,1406 レタス,77.7,
指数,1984年4月,全国,1407 もやし,92.6,
指数,1984年4月,全国,1411 さつまいも,73,
指数,1984年4月,全国,1412 じゃがいも,72.4,
指数,1984年4月,全国,1413 さといも,56.6,
指数,1984年4月,全国,1414 だいこん,153.7,
指数,1984年4月,全国,1415 にんじん,80.6,
指数,1984年4月,全国,1416 ごぼう,79.1,
指数,1984年4月,全国,1417 たまねぎ,129.9,
指数,1984年4月,全国,1419 れんこん,54.8,
指数,1984年4月,全国,1420 ながいも,108,
指数,1984年4月,全国,1432 さやいんげん,74.3,
指数,1984年4月,全国,1433 かぼちゃ,95,
指数,1984年4月,全国,1434 きゅうり,69.9,
指数,1984年4月,全国,1435 なす,78.2,
指数,1984年4月,全国,1436 トマト,68.7,
指数,1984年4月,全国,1437 ピーマン,67.6,
指数,1984年4月,全国,1438 生しいたけ,92.2,
指数,1984年4月,全国,0023 乾物・加工品類,67.5,
指数,1984年4月,全国,0024 乾物・海藻,55.7,
指数,1984年4月,全国,1453 干ししいたけ,72.8,
指数,1984年4月,全国,1461 干しのり,77.4,
指数,1984年4月,全国,1462 わかめ,39.9,
指数,1984年4月,全国,1463 こんぶ,42.4,
指数,1984年4月,全国,0025 大豆加工品,80.8,
指数,1984年4月,全国,1471 豆腐,78.6,
指数,1984年4月,全国,1472 油揚げ,81.9,
指数,1984年4月,全国,1473 納豆,75.6,
指数,1984年4月,全国,0026 他の野菜・海藻加工品,65,
指数,1984年4月,全国,1481 こんにゃく,98.5,
指数,1984年4月,全国,1482 梅干し,48.1,
指数,1984年4月,全国,1483 だいこん漬,57,
指数,1984年4月,全国,1485 こんぶつくだ煮,60,
指数,1984年4月,全国,1491 野菜缶詰,110.6,
