指数,年月,地域,カテゴリ,数値,単位
指数,1987年3月,全国,0001 総合,83.9,
指数,1987年3月,全国,0002 食料,76.2,
指数,1987年3月,全国,0003 穀類,94.9,
指数,1987年3月,全国,0004 米類,115.4,
指数,1987年3月,全国,1001 うるち米Ａ,115.4,
指数,1987年3月,全国,1002 うるち米Ｂ,117.1,
指数,1987年3月,全国,0005 パン,80.2,
指数,1987年3月,全国,1021 食パン,82.4,
指数,1987年3月,全国,1022 あんパン,78.6,
指数,1987年3月,全国,0006 麺類,77.4,
指数,1987年3月,全国,1031 ゆでうどん,79.7,
指数,1987年3月,全国,1041 そうめん,68.9,
指数,1987年3月,全国,1042 スパゲッティ,82.4,
指数,1987年3月,全国,1051 カップ麺,73.8,
指数,1987年3月,全国,1052 中華麺,87.6,
指数,1987年3月,全国,0007 他の穀類,92.3,
指数,1987年3月,全国,1071 小麦粉,79,
指数,1987年3月,全国,1081 もち,99.7,
指数,1987年3月,全国,0008 魚介類,71.9,
指数,1987年3月,全国,0009 生鮮魚介,79.5,
指数,1987年3月,全国,1101 まぐろ,87.6,
指数,1987年3月,全国,1102 あじ,132,
指数,1987年3月,全国,1103 いわし,42.9,
指数,1987年3月,全国,1104 かつお,79.2,
指数,1987年3月,全国,1106 さけ,68.3,
指数,1987年3月,全国,1107 さば,61.3,
指数,1987年3月,全国,1108 さんま,61,
指数,1987年3月,全国,1110 たい,103.7,
指数,1987年3月,全国,1111 ぶり,78.9,
指数,1987年3月,全国,1112 いか,82.8,
指数,1987年3月,全国,1113 たこ,59.8,
指数,1987年3月,全国,1114 えび,112.7,
指数,1987年3月,全国,1131 あさり,59.1,
指数,1987年3月,全国,1132 かき（貝）,35.1,
指数,1987年3月,全国,1133 ほたて貝,74.9,
指数,1987年3月,全国,0010 塩干魚介,64.7,
指数,1987年3月,全国,1141 塩さけ,73,
指数,1987年3月,全国,1142 たらこ,69.2,
指数,1987年3月,全国,1143 しらす干し,42.4,
指数,1987年3月,全国,1144 干しあじ,82.8,
指数,1987年3月,全国,1146 煮干し,63.7,
指数,1987年3月,全国,0011 魚肉練製品,66.4,
指数,1987年3月,全国,1151 揚げかまぼこ,65.1,
指数,1987年3月,全国,1152 ちくわ,69.7,
指数,1987年3月,全国,1153 かまぼこ,65.3,
指数,1987年3月,全国,0012 他の魚介加工品,58.8,
指数,1987年3月,全国,1161 かつお節,71.6,
指数,1987年3月,全国,1173 魚介缶詰,58,
指数,1987年3月,全国,0013 肉類,71.1,
指数,1987年3月,全国,0014 生鮮肉,66.7,
指数,1987年3月,全国,1201 牛肉（国産品）,58.1,
指数,1987年3月,全国,1203 牛肉（輸入品）,71.7,
指数,1987年3月,全国,1211 豚肉（国産品）,65.9,
指数,1987年3月,全国,1221 鶏肉,77.2,
指数,1987年3月,全国,0015 加工肉,91.9,
指数,1987年3月,全国,1252 ハム,102.5,
指数,1987年3月,全国,1261 ソーセージ,89.3,
指数,1987年3月,全国,1271 ベーコン,77.2,
指数,1987年3月,全国,0016 乳卵類,81.8,
指数,1987年3月,全国,0017 牛乳・乳製品,85.7,
指数,1987年3月,全国,0018 牛乳,84.2,
指数,1987年3月,全国,1303 牛乳,97.1,
指数,1987年3月,全国,0019 乳製品,88.1,
指数,1987年3月,全国,1311 粉ミルク,65,
指数,1987年3月,全国,1333 ヨーグルト,114.6,
指数,1987年3月,全国,1321 バター,75.3,
指数,1987年3月,全国,1331 チーズ（国産品）,66.1,
指数,1987年3月,全国,0020 卵,70.9,
指数,1987年3月,全国,1341 鶏卵,70.9,
指数,1987年3月,全国,0021 野菜・海藻,62.6,
指数,1987年3月,全国,0022 生鮮野菜,59.9,
指数,1987年3月,全国,1401 キャベツ,47.7,
指数,1987年3月,全国,1402 ほうれんそう,24.6,
指数,1987年3月,全国,1403 はくさい,41.1,
指数,1987年3月,全国,1405 ねぎ,37.2,
指数,1987年3月,全国,1406 レタス,84.3,
指数,1987年3月,全国,1407 もやし,90.2,
指数,1987年3月,全国,1411 さつまいも,54.1,
指数,1987年3月,全国,1412 じゃがいも,44.4,
指数,1987年3月,全国,1413 さといも,38.6,
指数,1987年3月,全国,1414 だいこん,56.4,
指数,1987年3月,全国,1415 にんじん,40,
指数,1987年3月,全国,1416 ごぼう,53.6,
指数,1987年3月,全国,1417 たまねぎ,66.6,
指数,1987年3月,全国,1419 れんこん,53.6,
指数,1987年3月,全国,1420 ながいも,69.4,
指数,1987年3月,全国,1432 さやいんげん,75.2,
指数,1987年3月,全国,1433 かぼちゃ,64.3,
指数,1987年3月,全国,1434 きゅうり,74,
指数,1987年3月,全国,1435 なす,82.5,
指数,1987年3月,全国,1436 トマト,80.2,
指数,1987年3月,全国,1437 ピーマン,73.9,
指数,1987年3月,全国,1438 生しいたけ,95.6,
指数,1987年3月,全国,0023 乾物・加工品類,67.8,
指数,1987年3月,全国,0024 乾物・海藻,54.1,
指数,1987年3月,全国,1453 干ししいたけ,62.4,
指数,1987年3月,全国,1461 干しのり,77,
指数,1987年3月,全国,1462 わかめ,41.4,
指数,1987年3月,全国,1463 こんぶ,42.5,
指数,1987年3月,全国,0025 大豆加工品,81.9,
指数,1987年3月,全国,1471 豆腐,78.9,
指数,1987年3月,全国,1472 油揚げ,81.4,
指数,1987年3月,全国,1473 納豆,83.6,
指数,1987年3月,全国,0026 他の野菜・海藻加工品,66.4,
指数,1987年3月,全国,1481 こんにゃく,96,
指数,1987年3月,全国,1482 梅干し,51.5,
指数,1987年3月,全国,1483 だいこん漬,60.3,
指数,1987年3月,全国,1485 こんぶつくだ煮,59.5,
指数,1987年3月,全国,1491 野菜缶詰,99.6,
指数,1987年3月,全国,0027 果物,56.9,
