指数,年月,地域,カテゴリ,数値,単位
指数,2004年2月,全国,0001 総合,95.1,
指数,2004年2月,全国,0002 食料,87,
指数,2004年2月,全国,0003 穀類,104.2,
指数,2004年2月,全国,0004 米類,129.8,
指数,2004年2月,全国,1001 うるち米Ａ,133.3,
指数,2004年2月,全国,1002 うるち米Ｂ,129.8,
指数,2004年2月,全国,0005 パン,87.1,
指数,2004年2月,全国,1021 食パン,90.3,
指数,2004年2月,全国,1022 あんパン,84,
指数,2004年2月,全国,0006 麺類,87.2,
指数,2004年2月,全国,1031 ゆでうどん,90.8,
指数,2004年2月,全国,1041 そうめん,88.4,
指数,2004年2月,全国,1042 スパゲッティ,85.2,
指数,2004年2月,全国,1051 カップ麺,77.7,
指数,2004年2月,全国,1052 中華麺,98,
指数,2004年2月,全国,0007 他の穀類,101.4,
指数,2004年2月,全国,1071 小麦粉,71,
指数,2004年2月,全国,1081 もち,115.8,
指数,2004年2月,全国,0008 魚介類,75.4,
指数,2004年2月,全国,0009 生鮮魚介,76.5,
指数,2004年2月,全国,1101 まぐろ,91.8,
指数,2004年2月,全国,1102 あじ,97.7,
指数,2004年2月,全国,1103 いわし,123,
指数,2004年2月,全国,1106 さけ,62.8,
指数,2004年2月,全国,1107 さば,96.8,
指数,2004年2月,全国,1108 さんま,48.5,
指数,2004年2月,全国,1110 たい,73.5,
指数,2004年2月,全国,1111 ぶり,82.5,
指数,2004年2月,全国,1112 いか,50.5,
指数,2004年2月,全国,1113 たこ,66.8,
指数,2004年2月,全国,1114 えび,85.7,
指数,2004年2月,全国,1131 あさり,80.3,
指数,2004年2月,全国,1132 かき（貝）,69.6,
指数,2004年2月,全国,1133 ほたて貝,62.1,
指数,2004年2月,全国,0010 塩干魚介,71.9,
指数,2004年2月,全国,1141 塩さけ,57.9,
指数,2004年2月,全国,1142 たらこ,100,
指数,2004年2月,全国,1143 しらす干し,62.8,
指数,2004年2月,全国,1144 干しあじ,79.9,
指数,2004年2月,全国,1146 煮干し,93.1,
指数,2004年2月,全国,1150 ししゃも,59.1,
指数,2004年2月,全国,0011 魚肉練製品,81.5,
指数,2004年2月,全国,1151 揚げかまぼこ,77.6,
指数,2004年2月,全国,1152 ちくわ,82.3,
指数,2004年2月,全国,1153 かまぼこ,84.5,
指数,2004年2月,全国,0012 他の魚介加工品,72.5,
指数,2004年2月,全国,1161 かつお節,74.7,
指数,2004年2月,全国,1165 魚介漬物,69.7,
指数,2004年2月,全国,1166 魚介つくだ煮,74.3,
指数,2004年2月,全国,1173 魚介缶詰,78.1,
指数,2004年2月,全国,0013 肉類,79.5,
指数,2004年2月,全国,0014 生鮮肉,75.9,
指数,2004年2月,全国,1201 牛肉（国産品）,73.3,
指数,2004年2月,全国,1203 牛肉（輸入品）,60.3,
指数,2004年2月,全国,1211 豚肉（国産品）,77.1,
指数,2004年2月,全国,1221 鶏肉,83.9,
指数,2004年2月,全国,0015 加工肉,96.6,
指数,2004年2月,全国,1252 ハム,103.1,
指数,2004年2月,全国,1261 ソーセージ,93.7,
指数,2004年2月,全国,1271 ベーコン,90.2,
指数,2004年2月,全国,0016 乳卵類,84.7,
指数,2004年2月,全国,0017 牛乳・乳製品,88.6,
指数,2004年2月,全国,0018 牛乳,87.5,
指数,2004年2月,全国,1303 牛乳,92.5,
指数,2004年2月,全国,0019 乳製品,90.7,
指数,2004年2月,全国,1311 粉ミルク,95.3,
指数,2004年2月,全国,1333 ヨーグルト,98.8,
指数,2004年2月,全国,1321 バター,71.6,
指数,2004年2月,全国,1331 チーズ（国産品）,70.8,
指数,2004年2月,全国,1332 チーズ（輸入品）,82.2,
指数,2004年2月,全国,0020 卵,71.4,
指数,2004年2月,全国,1341 鶏卵,71.4,
指数,2004年2月,全国,0021 野菜・海藻,85.8,
指数,2004年2月,全国,0022 生鮮野菜,84.6,
指数,2004年2月,全国,1401 キャベツ,86.3,
指数,2004年2月,全国,1402 ほうれんそう,72.6,
指数,2004年2月,全国,1403 はくさい,74.9,
指数,2004年2月,全国,1405 ねぎ,89.8,
指数,2004年2月,全国,1406 レタス,122.5,
指数,2004年2月,全国,1409 ブロッコリー,91.6,
指数,2004年2月,全国,1407 もやし,105.2,
指数,2004年2月,全国,1410 アスパラガス,88.6,
指数,2004年2月,全国,1411 さつまいも,73.5,
指数,2004年2月,全国,1412 じゃがいも,68.4,
指数,2004年2月,全国,1413 さといも,51.1,
指数,2004年2月,全国,1414 だいこん,88.1,
指数,2004年2月,全国,1415 にんじん,53.3,
指数,2004年2月,全国,1416 ごぼう,77.8,
指数,2004年2月,全国,1417 たまねぎ,83.1,
指数,2004年2月,全国,1419 れんこん,77.8,
指数,2004年2月,全国,1420 ながいも,91,
指数,2004年2月,全国,1432 さやいんげん,82.7,
指数,2004年2月,全国,1433 かぼちゃ,61.1,
指数,2004年2月,全国,1434 きゅうり,81.1,
指数,2004年2月,全国,1435 なす,89.8,
指数,2004年2月,全国,1436 トマト,89.8,
指数,2004年2月,全国,1437 ピーマン,86.3,
指数,2004年2月,全国,1438 生しいたけ,107.9,
指数,2004年2月,全国,1442 えのきたけ,126.6,
指数,2004年2月,全国,1443 しめじ,144.6,
指数,2004年2月,全国,0023 乾物・加工品類,87.7,
指数,2004年2月,全国,0024 乾物・海藻,71.9,
指数,2004年2月,全国,1453 干ししいたけ,73.4,
指数,2004年2月,全国,1461 干しのり,84.1,
指数,2004年2月,全国,1462 わかめ,59.7,
指数,2004年2月,全国,1463 こんぶ,71.5,
指数,2004年2月,全国,0025 大豆加工品,101.3,
指数,2004年2月,全国,1471 豆腐,95.4,
指数,2004年2月,全国,1472 油揚げ,93,
指数,2004年2月,全国,1473 納豆,122.6,
指数,2004年2月,全国,0026 他の野菜・海藻加工品,87.8,
指数,2004年2月,全国,1481 こんにゃく,102.4,
指数,2004年2月,全国,1482 梅干し,73.3,
指数,2004年2月,全国,1483 だいこん漬,85.8,
指数,2004年2月,全国,1486 はくさい漬,83.2,
指数,2004年2月,全国,1487 キムチ,102.5,
指数,2004年2月,全国,1485 こんぶつくだ煮,83.5,
指数,2004年2月,全国,1491 野菜缶詰,94.3,
指数,2004年2月,全国,0027 果物,71.8,
指数,2004年2月,全国,0028 生鮮果物,71.1,
指数,2004年2月,全国,1502 りんご,70.3,
指数,2004年2月,全国,1511 みかん,62.2,
指数,2004年2月,全国,1515 オレンジ,74.8,
指数,2004年2月,全国,1571 いちご,83.9,
指数,2004年2月,全国,1581 バナナ,78,
指数,2004年2月,全国,1582 キウイフルーツ,73.2,
指数,2004年2月,全国,0029 果物加工品,85.1,
指数,2004年2月,全国,0030 油脂・調味料,98.5,
指数,2004年2月,全国,0031 油脂,105,
指数,2004年2月,全国,1601 食用油,117.4,
指数,2004年2月,全国,1602 マーガリン,70.2,
指数,2004年2月,全国,0032 調味料,97.6,
指数,2004年2月,全国,1611 食塩,94.1,
指数,2004年2月,全国,1621 しょう油,102.3,
指数,2004年2月,全国,1631 みそ,99,
指数,2004年2月,全国,1632 砂糖,87.6,
指数,2004年2月,全国,1633 酢,99.1,
指数,2004年2月,全国,1641 ソース,115.9,
指数,2004年2月,全国,1642 ケチャップ,129,
指数,2004年2月,全国,1643 マヨネーズ,98.2,
指数,2004年2月,全国,1644 ジャム,86.5,
指数,2004年2月,全国,1652 カレールウ,90,
指数,2004年2月,全国,1653 乾燥スープ,72.4,
指数,2004年2月,全国,1654 風味調味料,106.5,
指数,2004年2月,全国,1656 ふりかけ,98.7,
指数,2004年2月,全国,1655 たれ,101.3,
指数,2004年2月,全国,0033 菓子類,80,
指数,2004年2月,全国,1701 ようかん,83.1,
指数,2004年2月,全国,1702 まんじゅう,75.8,
指数,2004年2月,全国,1703 だいふく餅,75.6,
指数,2004年2月,全国,1711 カステラ,89.6,
指数,2004年2月,全国,1712 ケーキ,70.8,
指数,2004年2月,全国,1784 ゼリー,93.9,
指数,2004年2月,全国,1714 プリン,88.2,
指数,2004年2月,全国,1713 シュークリーム,83.2,
指数,2004年2月,全国,1741 せんべい,98.4,
指数,2004年2月,全国,1721 ビスケット,82.7,
指数,2004年2月,全国,1783 ポテトチップス,93,
指数,2004年2月,全国,1732 キャンデー,73.8,
指数,2004年2月,全国,1761 チョコレート,62.8,
指数,2004年2月,全国,1782 アイスクリーム,84,
指数,2004年2月,全国,1772 落花生,72.5,
指数,2004年2月,全国,1781 チューインガム,97.8,
指数,2004年2月,全国,0034 調理食品,84.4,
指数,2004年2月,全国,0035 主食的調理食品,89.6,
指数,2004年2月,全国,1791 弁当Ａ,85.3,
指数,2004年2月,全国,1793 おにぎり,90.2,
指数,2004年2月,全国,1792 調理パン,81.2,
指数,2004年2月,全国,1794 冷凍米飯,119.2,
指数,2004年2月,全国,0036 他の調理食品,81.3,
指数,2004年2月,全国,1801 うなぎかば焼き,43.6,
指数,2004年2月,全国,1811 サラダ,83.3,
指数,2004年2月,全国,1821 コロッケ,89.2,
指数,2004年2月,全国,1831 豚カツ,89.3,
指数,2004年2月,全国,1842 からあげ,84.1,
指数,2004年2月,全国,1881 ぎょうざ,95.1,
指数,2004年2月,全国,1851 冷凍調理コロッケ,92.8,
指数,2004年2月,全国,1871 調理カレー,106.1,
指数,2004年2月,全国,1891 混ぜごはんのもと,107.2,
