指数,年月,地域,カテゴリ,数値,単位
指数,1984年8月,全国,0001 総合,81.4,
指数,1984年8月,全国,0002 食料,75,
指数,1984年8月,全国,0003 穀類,92,
指数,1984年8月,全国,0004 米類,110.9,
指数,1984年8月,全国,1001 うるち米Ａ,112,
指数,1984年8月,全国,1002 うるち米Ｂ,113.3,
指数,1984年8月,全国,0005 パン,77.3,
指数,1984年8月,全国,1021 食パン,81.7,
指数,1984年8月,全国,1022 あんパン,71.8,
指数,1984年8月,全国,0006 麺類,77.1,
指数,1984年8月,全国,1031 ゆでうどん,79.3,
指数,1984年8月,全国,1041 そうめん,68.2,
指数,1984年8月,全国,1051 カップ麺,74,
指数,1984年8月,全国,0007 他の穀類,93,
指数,1984年8月,全国,1071 小麦粉,79.1,
指数,1984年8月,全国,1081 もち,100.8,
指数,1984年8月,全国,0008 魚介類,71.4,
指数,1984年8月,全国,0009 生鮮魚介,80.5,
指数,1984年8月,全国,1101 まぐろ,87.9,
指数,1984年8月,全国,1102 あじ,160.5,
指数,1984年8月,全国,1103 いわし,42.3,
指数,1984年8月,全国,1104 かつお,66.9,
指数,1984年8月,全国,1106 さけ,75.6,
指数,1984年8月,全国,1107 さば,56.3,
指数,1984年8月,全国,1108 さんま,58.6,
指数,1984年8月,全国,1110 たい,109.6,
指数,1984年8月,全国,1111 ぶり,90,
指数,1984年8月,全国,1112 いか,65,
指数,1984年8月,全国,1113 たこ,55.8,
指数,1984年8月,全国,1114 えび,130.3,
指数,1984年8月,全国,1131 あさり,57.8,
指数,1984年8月,全国,1133 ほたて貝,84.5,
指数,1984年8月,全国,0010 塩干魚介,64,
指数,1984年8月,全国,1141 塩さけ,71.7,
指数,1984年8月,全国,1142 たらこ,68.6,
指数,1984年8月,全国,1143 しらす干し,43.2,
指数,1984年8月,全国,1144 干しあじ,88.2,
指数,1984年8月,全国,1146 煮干し,63.4,
指数,1984年8月,全国,0011 魚肉練製品,59.4,
指数,1984年8月,全国,1151 揚げかまぼこ,58.5,
指数,1984年8月,全国,1152 ちくわ,61.8,
指数,1984年8月,全国,1153 かまぼこ,57,
指数,1984年8月,全国,0012 他の魚介加工品,58,
指数,1984年8月,全国,1161 かつお節,71.8,
指数,1984年8月,全国,0013 肉類,73.3,
指数,1984年8月,全国,0014 生鮮肉,69.2,
指数,1984年8月,全国,1201 牛肉（国産品）,56.1,
指数,1984年8月,全国,1203 牛肉（輸入品）,85.7,
指数,1984年8月,全国,1211 豚肉（国産品）,69.4,
指数,1984年8月,全国,1221 鶏肉,81.3,
指数,1984年8月,全国,0015 加工肉,93,
指数,1984年8月,全国,1252 ハム,103.8,
指数,1984年8月,全国,1261 ソーセージ,89.7,
指数,1984年8月,全国,1271 ベーコン,79.4,
指数,1984年8月,全国,0016 乳卵類,85.3,
指数,1984年8月,全国,0017 牛乳・乳製品,86.5,
指数,1984年8月,全国,0018 牛乳,85.4,
指数,1984年8月,全国,1303 牛乳,99.9,
指数,1984年8月,全国,0019 乳製品,87.8,
指数,1984年8月,全国,1311 粉ミルク,60.1,
指数,1984年8月,全国,1321 バター,76,
指数,1984年8月,全国,1331 チーズ（国産品）,68.8,
指数,1984年8月,全国,0020 卵,81.2,
指数,1984年8月,全国,1341 鶏卵,81.2,
指数,1984年8月,全国,0021 野菜・海藻,61.7,
指数,1984年8月,全国,0022 生鮮野菜,58.2,
指数,1984年8月,全国,1401 キャベツ,60.4,
指数,1984年8月,全国,1402 ほうれんそう,87.2,
指数,1984年8月,全国,1403 はくさい,70.7,
指数,1984年8月,全国,1405 ねぎ,61.8,
指数,1984年8月,全国,1406 レタス,76.5,
指数,1984年8月,全国,1407 もやし,91.4,
指数,1984年8月,全国,1411 さつまいも,77.8,
指数,1984年8月,全国,1412 じゃがいも,54.7,
指数,1984年8月,全国,1413 さといも,56.2,
指数,1984年8月,全国,1414 だいこん,104.9,
指数,1984年8月,全国,1415 にんじん,78.2,
指数,1984年8月,全国,1416 ごぼう,73.5,
指数,1984年8月,全国,1417 たまねぎ,70,
指数,1984年8月,全国,1419 れんこん,76.9,
指数,1984年8月,全国,1420 ながいも,111.1,
指数,1984年8月,全国,1432 さやいんげん,35.4,
指数,1984年8月,全国,1433 かぼちゃ,40,
指数,1984年8月,全国,1434 きゅうり,39.5,
指数,1984年8月,全国,1435 なす,31.2,
指数,1984年8月,全国,1436 トマト,45.4,
指数,1984年8月,全国,1437 ピーマン,29.6,
指数,1984年8月,全国,1438 生しいたけ,116.1,
指数,1984年8月,全国,0023 乾物・加工品類,67.8,
指数,1984年8月,全国,0024 乾物・海藻,55.4,
指数,1984年8月,全国,1453 干ししいたけ,69.5,
指数,1984年8月,全国,1461 干しのり,77.3,
指数,1984年8月,全国,1462 わかめ,40.6,
指数,1984年8月,全国,1463 こんぶ,42.3,
指数,1984年8月,全国,0025 大豆加工品,81.1,
指数,1984年8月,全国,1471 豆腐,78.8,
指数,1984年8月,全国,1472 油揚げ,82,
指数,1984年8月,全国,1473 納豆,76,
指数,1984年8月,全国,0026 他の野菜・海藻加工品,66,
指数,1984年8月,全国,1481 こんにゃく,100.7,
指数,1984年8月,全国,1482 梅干し,48.9,
指数,1984年8月,全国,1483 だいこん漬,57.9,
指数,1984年8月,全国,1485 こんぶつくだ煮,60.3,
指数,1984年8月,全国,1491 野菜缶詰,111.1,
指数,1984年8月,全国,0027 果物,55,
指数,1984年8月,全国,0028 生鮮果物,54.1,
指数,1984年8月,全国,1515 オレンジ,114.2,
指数,1984年8月,全国,1521 梨,57.3,
指数,1984年8月,全国,1531 ぶどうＡ,45,
指数,1984年8月,全国,1532 ぶどうＢ,72.8,
