指数,年月,地域,カテゴリ,数値,単位
指数,1974年6月,全国,0001 総合,46.9,
指数,1974年6月,全国,0002 食料,44,
指数,1974年6月,全国,0003 穀類,45.7,
指数,1974年6月,全国,0004 米類,49.8,
指数,1974年6月,全国,0005 パン,47.9,
指数,1974年6月,全国,1021 食パン,50.9,
指数,1974年6月,全国,1022 あんパン,43.2,
指数,1974年6月,全国,0006 麺類,49.3,
指数,1974年6月,全国,1041 そうめん,40.1,
指数,1974年6月,全国,1051 カップ麺,51.7,
指数,1974年6月,全国,0007 他の穀類,61.6,
指数,1974年6月,全国,1071 小麦粉,48.9,
指数,1974年6月,全国,0008 魚介類,35.9,
指数,1974年6月,全国,0009 生鮮魚介,37.9,
指数,1974年6月,全国,1101 まぐろ,45.6,
指数,1974年6月,全国,1102 あじ,48.1,
指数,1974年6月,全国,1103 いわし,31.2,
指数,1974年6月,全国,1104 かつお,36.2,
指数,1974年6月,全国,1106 さけ,46.8,
指数,1974年6月,全国,1107 さば,20,
指数,1974年6月,全国,1108 さんま,26.1,
指数,1974年6月,全国,1110 たい,56.5,
指数,1974年6月,全国,1111 ぶり,51.9,
指数,1974年6月,全国,1112 いか,32.1,
指数,1974年6月,全国,1113 たこ,28.5,
指数,1974年6月,全国,1131 あさり,15.6,
指数,1974年6月,全国,0010 塩干魚介,33.8,
指数,1974年6月,全国,1141 塩さけ,45.4,
指数,1974年6月,全国,1142 たらこ,27.6,
指数,1974年6月,全国,1143 しらす干し,20.2,
指数,1974年6月,全国,1146 煮干し,32.6,
指数,1974年6月,全国,0011 魚肉練製品,33.4,
指数,1974年6月,全国,1151 揚げかまぼこ,27.7,
指数,1974年6月,全国,1152 ちくわ,33.8,
指数,1974年6月,全国,1153 かまぼこ,36.7,
指数,1974年6月,全国,0012 他の魚介加工品,36.1,
指数,1974年6月,全国,1161 かつお節,46.2,
指数,1974年6月,全国,0013 肉類,53.2,
指数,1974年6月,全国,0014 生鮮肉,50.2,
指数,1974年6月,全国,1201 牛肉（国産品）,36.7,
指数,1974年6月,全国,1211 豚肉（国産品）,48.4,
指数,1974年6月,全国,1221 鶏肉,70.7,
指数,1974年6月,全国,0015 加工肉,67.5,
指数,1974年6月,全国,1261 ソーセージ,64,
指数,1974年6月,全国,0016 乳卵類,66.2,
指数,1974年6月,全国,0017 牛乳・乳製品,63.2,
指数,1974年6月,全国,0018 牛乳,64.3,
指数,1974年6月,全国,0019 乳製品,59.9,
指数,1974年6月,全国,1311 粉ミルク,40.1,
指数,1974年6月,全国,1321 バター,44.3,
指数,1974年6月,全国,1331 チーズ（国産品）,52.2,
指数,1974年6月,全国,0020 卵,72.3,
指数,1974年6月,全国,1341 鶏卵,72.3,
指数,1974年6月,全国,0021 野菜・海藻,34.2,
指数,1974年6月,全国,0022 生鮮野菜,30.7,
指数,1974年6月,全国,1401 キャベツ,23,
指数,1974年6月,全国,1402 ほうれんそう,22,
指数,1974年6月,全国,1403 はくさい,24.1,
指数,1974年6月,全国,1405 ねぎ,26.1,
指数,1974年6月,全国,1406 レタス,31.5,
指数,1974年6月,全国,1411 さつまいも,60,
指数,1974年6月,全国,1412 じゃがいも,28.5,
指数,1974年6月,全国,1413 さといも,48.4,
指数,1974年6月,全国,1414 だいこん,44.1,
指数,1974年6月,全国,1415 にんじん,39.9,
指数,1974年6月,全国,1416 ごぼう,27.9,
指数,1974年6月,全国,1417 たまねぎ,32.8,
指数,1974年6月,全国,1419 れんこん,29.7,
指数,1974年6月,全国,1433 かぼちゃ,31.8,
