指数,年月,地域,カテゴリ,数値,単位
指数,2024年4月,全国,0001 総合,107.7,
指数,2024年4月,全国,0002 食料,116.4,
指数,2024年4月,全国,0003 穀類,115.1,
指数,2024年4月,全国,0004 米類,102.2,
指数,2024年4月,全国,1001 うるち米Ａ,100.8,
指数,2024年4月,全国,1002 うるち米Ｂ,103,
指数,2024年4月,全国,0005 パン,121,
指数,2024年4月,全国,1021 食パン,121.9,
指数,2024年4月,全国,1022 あんパン,117.9,
指数,2024年4月,全国,1023 カレーパン,125.3,
指数,2024年4月,全国,0006 麺類,121.9,
指数,2024年4月,全国,1031 ゆでうどん,124.6,
指数,2024年4月,全国,1041 そうめん,111.5,
指数,2024年4月,全国,1042 スパゲッティ,119,
指数,2024年4月,全国,1051 カップ麺,123.5,
指数,2024年4月,全国,1052 中華麺,123.1,
指数,2024年4月,全国,0007 他の穀類,112,
指数,2024年4月,全国,1071 小麦粉,127,
指数,2024年4月,全国,1081 もち,107.4,
指数,2024年4月,全国,1090 シリアル,110.4,
指数,2024年4月,全国,0008 魚介類,125.1,
指数,2024年4月,全国,0009 生鮮魚介,123.9,
指数,2024年4月,全国,1101 まぐろ,116.8,
指数,2024年4月,全国,1102 あじ,102.7,
指数,2024年4月,全国,1103 いわし,107.3,
指数,2024年4月,全国,1104 かつお,121.7,
指数,2024年4月,全国,1106 さけ,136,
指数,2024年4月,全国,1107 さば,121.8,
指数,2024年4月,全国,1108 さんま,136.3,
指数,2024年4月,全国,1110 たい,115.5,
指数,2024年4月,全国,1111 ぶり,120.4,
指数,2024年4月,全国,1112 いか,147.3,
指数,2024年4月,全国,1113 たこ,133.3,
指数,2024年4月,全国,1114 えび,107.1,
指数,2024年4月,全国,1131 あさり,135.5,
指数,2024年4月,全国,1133 ほたて貝,128.7,
指数,2024年4月,全国,0010 塩干魚介,126.8,
指数,2024年4月,全国,1141 塩さけ,129.6,
指数,2024年4月,全国,1142 たらこ,118.1,
指数,2024年4月,全国,1143 しらす干し,133.9,
指数,2024年4月,全国,1144 干しあじ,122.7,
指数,2024年4月,全国,1146 煮干し,146.8,
指数,2024年4月,全国,1150 ししゃも,110.8,
指数,2024年4月,全国,1167 いくら,128.5,
指数,2024年4月,全国,0011 魚肉練製品,124.9,
指数,2024年4月,全国,1151 揚げかまぼこ,121.3,
指数,2024年4月,全国,1152 ちくわ,126.8,
指数,2024年4月,全国,1153 かまぼこ,126.5,
指数,2024年4月,全国,0012 他の魚介加工品,128.1,
指数,2024年4月,全国,1161 かつお節,137.8,
指数,2024年4月,全国,1165 魚介漬物,131.9,
指数,2024年4月,全国,1166 魚介つくだ煮,119.4,
指数,2024年4月,全国,1173 魚介缶詰,124.4,
指数,2024年4月,全国,0013 肉類,113.7,
指数,2024年4月,全国,0014 生鮮肉,114.6,
指数,2024年4月,全国,1201 牛肉（国産品）,107,
指数,2024年4月,全国,1203 牛肉（輸入品）,130,
指数,2024年4月,全国,1211 豚肉（国産品）,115.7,
指数,2024年4月,全国,1214 豚肉（輸入品）,113.6,
指数,2024年4月,全国,1221 鶏肉,111.7,
指数,2024年4月,全国,0015 加工肉,110,
指数,2024年4月,全国,1252 ハム,109.9,
指数,2024年4月,全国,1261 ソーセージ,109.2,
指数,2024年4月,全国,1271 ベーコン,111.7,
指数,2024年4月,全国,1292 味付け肉,110.7,
指数,2024年4月,全国,0016 乳卵類,120.5,
指数,2024年4月,全国,0017 牛乳・乳製品,118.8,
指数,2024年4月,全国,0018 牛乳,119.4,
指数,2024年4月,全国,1303 牛乳,119.4,
指数,2024年4月,全国,0019 乳製品,118.4,
指数,2024年4月,全国,1311 粉ミルク,118.8,
指数,2024年4月,全国,1333 ヨーグルト,112.7,
指数,2024年4月,全国,1321 バター,120.2,
指数,2024年4月,全国,1331 チーズ（国産品）,135.3,
指数,2024年4月,全国,1332 チーズ（輸入品）,122.4,
指数,2024年4月,全国,0020 卵,127,
指数,2024年4月,全国,1341 鶏卵,127,
指数,2024年4月,全国,0021 野菜・海藻,118.3,
指数,2024年4月,全国,0022 生鮮野菜,120.3,
指数,2024年4月,全国,1401 キャベツ,146.5,
指数,2024年4月,全国,1402 ほうれんそう,102.8,
指数,2024年4月,全国,1403 はくさい,198.3,
指数,2024年4月,全国,1405 ねぎ,95.1,
指数,2024年4月,全国,1406 レタス,140.1,
指数,2024年4月,全国,1409 ブロッコリー,132.1,
指数,2024年4月,全国,1407 もやし,109.9,
指数,2024年4月,全国,1410 アスパラガス,121,
指数,2024年4月,全国,1411 さつまいも,105.1,
指数,2024年4月,全国,1412 じゃがいも,111.6,
指数,2024年4月,全国,1413 さといも,121.8,
指数,2024年4月,全国,1414 だいこん,140.4,
指数,2024年4月,全国,1415 にんじん,140.5,
指数,2024年4月,全国,1416 ごぼう,114.5,
指数,2024年4月,全国,1417 たまねぎ,147.7,
指数,2024年4月,全国,1419 れんこん,98.6,
指数,2024年4月,全国,1420 ながいも,111.1,
指数,2024年4月,全国,1421 しょうが,95,
指数,2024年4月,全国,1432 さやいんげん,119,
指数,2024年4月,全国,1433 かぼちゃ,115.4,
指数,2024年4月,全国,1434 きゅうり,112.4,
指数,2024年4月,全国,1435 なす,109,
指数,2024年4月,全国,1436 トマト,119.2,
指数,2024年4月,全国,1437 ピーマン,118.4,
指数,2024年4月,全国,1438 生しいたけ,109.3,
指数,2024年4月,全国,1442 えのきたけ,107.4,
指数,2024年4月,全国,1443 しめじ,104.2,
指数,2024年4月,全国,1444 カット野菜,102.9,
指数,2024年4月,全国,0023 乾物・加工品類,114.2,
指数,2024年4月,全国,0024 乾物・海藻,116.4,
指数,2024年4月,全国,1453 干ししいたけ,105.1,
指数,2024年4月,全国,1461 干しのり,124.2,
指数,2024年4月,全国,1462 わかめ,109.4,
指数,2024年4月,全国,1463 こんぶ,108.7,
指数,2024年4月,全国,1464 ひじき,115.3,
指数,2024年4月,全国,0025 大豆加工品,115.2,
指数,2024年4月,全国,1471 豆腐,118,
指数,2024年4月,全国,1472 油揚げ,123.8,
指数,2024年4月,全国,1473 納豆,106.3,
指数,2024年4月,全国,0026 他の野菜・海藻加工品,111.7,
指数,2024年4月,全国,1481 こんにゃく,105.6,
指数,2024年4月,全国,1482 梅干し,104.7,
指数,2024年4月,全国,1483 だいこん漬,117,
指数,2024年4月,全国,1486 はくさい漬,109.4,
指数,2024年4月,全国,1487 キムチ,105.1,
指数,2024年4月,全国,1485 こんぶつくだ煮,119.1,
指数,2024年4月,全国,1491 野菜缶詰,136.6,
指数,2024年4月,全国,0027 果物,119.2,
指数,2024年4月,全国,0028 生鮮果物,121.1,
指数,2024年4月,全国,1502 りんご,131.1,
指数,2024年4月,全国,1515 オレンジ,138.2,
指数,2024年4月,全国,1517 しらぬひ,130.7,
指数,2024年4月,全国,1571 いちご,107.9,
指数,2024年4月,全国,1581 バナナ,120.2,
指数,2024年4月,全国,1582 キウイフルーツ,139.7,
指数,2024年4月,全国,1583 アボカド,124.4,
指数,2024年4月,全国,0029 果物加工品,99.3,
指数,2024年4月,全国,1594 ナッツ,99.3,
指数,2024年4月,全国,0030 油脂・調味料,119.1,
指数,2024年4月,全国,0031 油脂,144.4,
指数,2024年4月,全国,1601 食用油,148,
指数,2024年4月,全国,1602 マーガリン,122,
指数,2024年4月,全国,0032 調味料,116,
指数,2024年4月,全国,1611 食塩,105.5,
指数,2024年4月,全国,1621 しょう油,122.5,
指数,2024年4月,全国,1631 みそ,113.3,
指数,2024年4月,全国,1632 砂糖,135.3,
指数,2024年4月,全国,1633 酢,109.9,
指数,2024年4月,全国,1641 ソース,132.8,
指数,2024年4月,全国,1642 ケチャップ,136.8,
指数,2024年4月,全国,1643 マヨネーズ,153.7,
指数,2024年4月,全国,1645 ドレッシング,102.7,
指数,2024年4月,全国,1644 ジャム,110.9,
指数,2024年4月,全国,1652 カレールウ,128.2,
指数,2024年4月,全国,1653 乾燥スープ,112.6,
指数,2024年4月,全国,1654 風味調味料,106.9,
指数,2024年4月,全国,1656 ふりかけ,121.4,
指数,2024年4月,全国,1655 たれ,98.9,
指数,2024年4月,全国,1659 つゆ,113.4,
指数,2024年4月,全国,1657 合わせ調味料,107,
指数,2024年4月,全国,1658 パスタソース,127.2,
指数,2024年4月,全国,0033 菓子類,121.1,
指数,2024年4月,全国,1701 ようかん,112.1,
指数,2024年4月,全国,1702 まんじゅう,133.1,
指数,2024年4月,全国,1703 だいふく餅,130.5,
指数,2024年4月,全国,1711 カステラ,122.6,
指数,2024年4月,全国,1712 ケーキ,119,
指数,2024年4月,全国,1784 ゼリー,121.5,
指数,2024年4月,全国,1714 プリン,143.8,
指数,2024年4月,全国,1713 シュークリーム,126.2,
指数,2024年4月,全国,1715 ロールケーキ,119,
指数,2024年4月,全国,1741 せんべい,125.4,
指数,2024年4月,全国,1721 ビスケット,109.9,
指数,2024年4月,全国,1783 ポテトチップス,128.7,
指数,2024年4月,全国,1732 キャンデー,112.1,
指数,2024年4月,全国,1761 チョコレート,119.4,
指数,2024年4月,全国,1782 アイスクリーム,111.4,
指数,2024年4月,全国,1772 落花生,120.1,
指数,2024年4月,全国,1781 チューインガム,122.8,
指数,2024年4月,全国,0034 調理食品,116.8,
指数,2024年4月,全国,0035 主食的調理食品,113.6,
指数,2024年4月,全国,1795 すし（弁当）Ａ,110.1,
指数,2024年4月,全国,1798 すし（弁当）Ｂ,116.3,
指数,2024年4月,全国,1791 弁当Ａ,111.1,
指数,2024年4月,全国,1797 弁当Ｂ,114,
指数,2024年4月,全国,1793 おにぎり,117.7,
指数,2024年4月,全国,1792 調理パン,120.6,
指数,2024年4月,全国,1794 冷凍米飯,117.2,
