指数,年月,地域,カテゴリ,数値,単位
指数,1999年9月,全国,0001 総合,98.2,
指数,1999年9月,全国,0002 食料,89.5,
指数,1999年9月,全国,0003 穀類,99.5,
指数,1999年9月,全国,0004 米類,112.4,
指数,1999年9月,全国,1001 うるち米Ａ,116.1,
指数,1999年9月,全国,1002 うるち米Ｂ,110.9,
指数,1999年9月,全国,0005 パン,88.9,
指数,1999年9月,全国,1021 食パン,90.4,
指数,1999年9月,全国,1022 あんパン,88.5,
指数,1999年9月,全国,0006 麺類,91.3,
指数,1999年9月,全国,1031 ゆでうどん,95.3,
指数,1999年9月,全国,1041 そうめん,88.4,
指数,1999年9月,全国,1042 スパゲッティ,91,
指数,1999年9月,全国,1051 カップ麺,85.5,
指数,1999年9月,全国,1052 中華麺,99.3,
指数,1999年9月,全国,0007 他の穀類,108.6,
指数,1999年9月,全国,1071 小麦粉,74.2,
指数,1999年9月,全国,1081 もち,125,
指数,1999年9月,全国,0008 魚介類,80.7,
指数,1999年9月,全国,0009 生鮮魚介,83.4,
指数,1999年9月,全国,1101 まぐろ,102,
指数,1999年9月,全国,1102 あじ,108.5,
指数,1999年9月,全国,1103 いわし,88.8,
指数,1999年9月,全国,1104 かつお,82.3,
指数,1999年9月,全国,1106 さけ,66,
指数,1999年9月,全国,1107 さば,84.3,
指数,1999年9月,全国,1108 さんま,79.6,
指数,1999年9月,全国,1110 たい,82.7,
指数,1999年9月,全国,1111 ぶり,96.3,
指数,1999年9月,全国,1112 いか,50.4,
指数,1999年9月,全国,1113 たこ,67.9,
指数,1999年9月,全国,1114 えび,97.7,
指数,1999年9月,全国,1131 あさり,73.6,
指数,1999年9月,全国,1133 ほたて貝,69.4,
指数,1999年9月,全国,0010 塩干魚介,72.2,
指数,1999年9月,全国,1141 塩さけ,69.2,
指数,1999年9月,全国,1142 たらこ,84.8,
指数,1999年9月,全国,1143 しらす干し,63.7,
指数,1999年9月,全国,1144 干しあじ,78.1,
指数,1999年9月,全国,1146 煮干し,95.7,
指数,1999年9月,全国,1150 ししゃも,72.8,
指数,1999年9月,全国,0011 魚肉練製品,89.4,
指数,1999年9月,全国,1151 揚げかまぼこ,84.9,
指数,1999年9月,全国,1152 ちくわ,92,
指数,1999年9月,全国,1153 かまぼこ,91.7,
指数,1999年9月,全国,0012 他の魚介加工品,76.1,
指数,1999年9月,全国,1161 かつお節,82.9,
指数,1999年9月,全国,1165 魚介漬物,75.5,
指数,1999年9月,全国,1166 魚介つくだ煮,74.8,
指数,1999年9月,全国,1173 魚介缶詰,77.7,
指数,1999年9月,全国,0013 肉類,78.1,
指数,1999年9月,全国,0014 生鮮肉,73.6,
指数,1999年9月,全国,1201 牛肉（国産品）,67.8,
指数,1999年9月,全国,1203 牛肉（輸入品）,67.2,
指数,1999年9月,全国,1211 豚肉（国産品）,74.7,
指数,1999年9月,全国,1221 鶏肉,78.8,
指数,1999年9月,全国,0015 加工肉,99.1,
指数,1999年9月,全国,1252 ハム,108.1,
指数,1999年9月,全国,1261 ソーセージ,96.9,
指数,1999年9月,全国,1271 ベーコン,85.5,
指数,1999年9月,全国,0016 乳卵類,89.7,
指数,1999年9月,全国,0017 牛乳・乳製品,91.3,
指数,1999年9月,全国,0018 牛乳,89.4,
指数,1999年9月,全国,1303 牛乳,96.5,
指数,1999年9月,全国,0019 乳製品,94.8,
指数,1999年9月,全国,1311 粉ミルク,98.1,
指数,1999年9月,全国,1333 ヨーグルト,104.7,
指数,1999年9月,全国,1321 バター,73.8,
指数,1999年9月,全国,1331 チーズ（国産品）,77.9,
指数,1999年9月,全国,1332 チーズ（輸入品）,81.9,
指数,1999年9月,全国,0020 卵,84.8,
指数,1999年9月,全国,1341 鶏卵,84.8,
指数,1999年9月,全国,0021 野菜・海藻,90.7,
指数,1999年9月,全国,0022 生鮮野菜,91.1,
指数,1999年9月,全国,1401 キャベツ,114.2,
指数,1999年9月,全国,1402 ほうれんそう,114,
指数,1999年9月,全国,1403 はくさい,142.7,
指数,1999年9月,全国,1405 ねぎ,92.6,
指数,1999年9月,全国,1406 レタス,106.3,
指数,1999年9月,全国,1409 ブロッコリー,107.1,
指数,1999年9月,全国,1407 もやし,109.3,
指数,1999年9月,全国,1411 さつまいも,76.1,
指数,1999年9月,全国,1412 じゃがいも,69,
指数,1999年9月,全国,1413 さといも,63.1,
指数,1999年9月,全国,1414 だいこん,121.4,
指数,1999年9月,全国,1415 にんじん,97.5,
指数,1999年9月,全国,1416 ごぼう,69.6,
指数,1999年9月,全国,1417 たまねぎ,75.9,
指数,1999年9月,全国,1419 れんこん,73.3,
指数,1999年9月,全国,1420 ながいも,86.6,
指数,1999年9月,全国,1432 さやいんげん,69.9,
指数,1999年9月,全国,1433 かぼちゃ,63.8,
指数,1999年9月,全国,1434 きゅうり,71.1,
指数,1999年9月,全国,1435 なす,58.4,
指数,1999年9月,全国,1436 トマト,91.1,
指数,1999年9月,全国,1437 ピーマン,60.7,
指数,1999年9月,全国,1438 生しいたけ,112.9,
指数,1999年9月,全国,1442 えのきたけ,119.9,
指数,1999年9月,全国,1443 しめじ,125.4,
指数,1999年9月,全国,0023 乾物・加工品類,90.3,
指数,1999年9月,全国,0024 乾物・海藻,69.7,
指数,1999年9月,全国,1453 干ししいたけ,70.8,
指数,1999年9月,全国,1461 干しのり,84.6,
指数,1999年9月,全国,1462 わかめ,57.1,
指数,1999年9月,全国,1463 こんぶ,66.4,
指数,1999年9月,全国,0025 大豆加工品,106.3,
指数,1999年9月,全国,1471 豆腐,100.4,
指数,1999年9月,全国,1472 油揚げ,97.8,
指数,1999年9月,全国,1473 納豆,127.7,
指数,1999年9月,全国,0026 他の野菜・海藻加工品,92.5,
指数,1999年9月,全国,1481 こんにゃく,109.7,
指数,1999年9月,全国,1482 梅干し,78,
指数,1999年9月,全国,1483 だいこん漬,88.5,
指数,1999年9月,全国,1486 はくさい漬,94.6,
指数,1999年9月,全国,1487 キムチ,107.5,
指数,1999年9月,全国,1485 こんぶつくだ煮,80.1,
指数,1999年9月,全国,1491 野菜缶詰,103,
指数,1999年9月,全国,0027 果物,74.8,
指数,1999年9月,全国,0028 生鮮果物,74,
指数,1999年9月,全国,1511 みかん,145.7,
指数,1999年9月,全国,1515 オレンジ,105.9,
指数,1999年9月,全国,1521 梨,61,
指数,1999年9月,全国,1531 ぶどうＡ,56.3,
指数,1999年9月,全国,1532 ぶどうＢ,55.5,
指数,1999年9月,全国,1551 桃,65.7,
指数,1999年9月,全国,1581 バナナ,80.5,
指数,1999年9月,全国,1582 キウイフルーツ,72.4,
指数,1999年9月,全国,0029 果物加工品,93.5,
指数,1999年9月,全国,0030 油脂・調味料,105.9,
指数,1999年9月,全国,0031 油脂,115,
指数,1999年9月,全国,1601 食用油,130,
指数,1999年9月,全国,1602 マーガリン,74.8,
指数,1999年9月,全国,0032 調味料,104.9,
指数,1999年9月,全国,1611 食塩,94.2,
指数,1999年9月,全国,1621 しょう油,108.6,
指数,1999年9月,全国,1631 みそ,107.1,
指数,1999年9月,全国,1632 砂糖,101.7,
指数,1999年9月,全国,1633 酢,102.7,
指数,1999年9月,全国,1641 ソース,120.6,
指数,1999年9月,全国,1642 ケチャップ,138.5,
指数,1999年9月,全国,1643 マヨネーズ,106.8,
指数,1999年9月,全国,1652 カレールウ,99.4,
指数,1999年9月,全国,1653 乾燥スープ,88.8,
指数,1999年9月,全国,1654 風味調味料,114.2,
指数,1999年9月,全国,1656 ふりかけ,99.2,
指数,1999年9月,全国,1655 たれ,102.6,
指数,1999年9月,全国,0033 菓子類,82.9,
指数,1999年9月,全国,1701 ようかん,77.4,
指数,1999年9月,全国,1702 まんじゅう,83.7,
指数,1999年9月,全国,1711 カステラ,92.3,
指数,1999年9月,全国,1712 ケーキ,68.9,
指数,1999年9月,全国,1784 ゼリー,111.1,
指数,1999年9月,全国,1714 プリン,86.8,
指数,1999年9月,全国,1713 シュークリーム,87.4,
指数,1999年9月,全国,1741 せんべい,98.6,
指数,1999年9月,全国,1721 ビスケット,86.2,
指数,1999年9月,全国,1783 ポテトチップス,87.8,
指数,1999年9月,全国,1732 キャンデー,77.5,
指数,1999年9月,全国,1761 チョコレート,92.7,
指数,1999年9月,全国,1782 アイスクリーム,86.6,
指数,1999年9月,全国,1772 落花生,83.4,
指数,1999年9月,全国,1781 チューインガム,98.1,
指数,1999年9月,全国,0034 調理食品,87.1,
指数,1999年9月,全国,0035 主食的調理食品,90.5,
指数,1999年9月,全国,1791 弁当Ａ,85.6,
指数,1999年9月,全国,1792 調理パン,82.2,
