指数,年月,地域,カテゴリ,数値,単位
指数,1974年4月,全国,0001 総合,46.4,
指数,1974年4月,全国,0002 食料,45.2,
指数,1974年4月,全国,0003 穀類,45.4,
指数,1974年4月,全国,0004 米類,49.4,
指数,1974年4月,全国,0005 パン,47.5,
指数,1974年4月,全国,1021 食パン,50.2,
指数,1974年4月,全国,1022 あんパン,43,
指数,1974年4月,全国,0006 麺類,48.6,
指数,1974年4月,全国,1041 そうめん,38.8,
指数,1974年4月,全国,1051 カップ麺,52.5,
指数,1974年4月,全国,0007 他の穀類,61.8,
指数,1974年4月,全国,1071 小麦粉,49.2,
指数,1974年4月,全国,0008 魚介類,36.6,
指数,1974年4月,全国,0009 生鮮魚介,39.9,
指数,1974年4月,全国,1101 まぐろ,47,
指数,1974年4月,全国,1102 あじ,52.8,
指数,1974年4月,全国,1103 いわし,31.5,
指数,1974年4月,全国,1104 かつお,52.5,
指数,1974年4月,全国,1106 さけ,47.4,
指数,1974年4月,全国,1107 さば,22.4,
指数,1974年4月,全国,1108 さんま,21.3,
指数,1974年4月,全国,1110 たい,69.3,
指数,1974年4月,全国,1111 ぶり,50.6,
指数,1974年4月,全国,1112 いか,34.1,
指数,1974年4月,全国,1113 たこ,28.6,
指数,1974年4月,全国,1131 あさり,15.6,
指数,1974年4月,全国,1132 かき（貝）,20.5,
指数,1974年4月,全国,0010 塩干魚介,33.4,
指数,1974年4月,全国,1141 塩さけ,45.1,
指数,1974年4月,全国,1142 たらこ,27.4,
指数,1974年4月,全国,1143 しらす干し,20.2,
指数,1974年4月,全国,1146 煮干し,31.6,
指数,1974年4月,全国,0011 魚肉練製品,32.7,
指数,1974年4月,全国,1151 揚げかまぼこ,27.1,
指数,1974年4月,全国,1152 ちくわ,33.1,
指数,1974年4月,全国,1153 かまぼこ,36.1,
指数,1974年4月,全国,0012 他の魚介加工品,34.9,
指数,1974年4月,全国,1161 かつお節,46.2,
指数,1974年4月,全国,0013 肉類,52.5,
指数,1974年4月,全国,0014 生鮮肉,49.6,
指数,1974年4月,全国,1201 牛肉（国産品）,36.7,
指数,1974年4月,全国,1211 豚肉（国産品）,47.4,
指数,1974年4月,全国,1221 鶏肉,69.7,
指数,1974年4月,全国,0015 加工肉,66.6,
指数,1974年4月,全国,1261 ソーセージ,63.2,
指数,1974年4月,全国,0016 乳卵類,69.1,
指数,1974年4月,全国,0017 牛乳・乳製品,61.6,
指数,1974年4月,全国,0018 牛乳,64.3,
指数,1974年4月,全国,0019 乳製品,50.4,
指数,1974年4月,全国,1311 粉ミルク,31.3,
指数,1974年4月,全国,1321 バター,44.2,
指数,1974年4月,全国,1331 チーズ（国産品）,44,
指数,1974年4月,全国,0020 卵,85.6,
指数,1974年4月,全国,1341 鶏卵,85.6,
指数,1974年4月,全国,0021 野菜・海藻,45.1,
指数,1974年4月,全国,0022 生鮮野菜,49.7,
指数,1974年4月,全国,1401 キャベツ,103.9,
指数,1974年4月,全国,1402 ほうれんそう,18.5,
指数,1974年4月,全国,1403 はくさい,59.3,
指数,1974年4月,全国,1405 ねぎ,26.6,
指数,1974年4月,全国,1406 レタス,57.9,
指数,1974年4月,全国,1411 さつまいも,41.3,
指数,1974年4月,全国,1412 じゃがいも,35.4,
指数,1974年4月,全国,1413 さといも,52.3,
指数,1974年4月,全国,1414 だいこん,78.1,
指数,1974年4月,全国,1415 にんじん,80,
指数,1974年4月,全国,1416 ごぼう,24.6,
指数,1974年4月,全国,1417 たまねぎ,73.3,
指数,1974年4月,全国,1419 れんこん,24.5,
指数,1974年4月,全国,1433 かぼちゃ,63.5,
指数,1974年4月,全国,1434 きゅうり,42.3,
指数,1974年4月,全国,1435 なす,45.6,
指数,1974年4月,全国,1436 トマト,44.4,
指数,1974年4月,全国,1437 ピーマン,25.6,
指数,1974年4月,全国,0023 乾物・加工品類,39.1,
指数,1974年4月,全国,0024 乾物・海藻,33.8,
指数,1974年4月,全国,1453 干ししいたけ,44.9,
指数,1974年4月,全国,1461 干しのり,49.3,
指数,1974年4月,全国,1462 わかめ,27.7,
指数,1974年4月,全国,1463 こんぶ,23.7,
指数,1974年4月,全国,0025 大豆加工品,53.4,
指数,1974年4月,全国,1471 豆腐,52.3,
指数,1974年4月,全国,1472 油揚げ,50,
指数,1974年4月,全国,1473 納豆,62.5,
指数,1974年4月,全国,0026 他の野菜・海藻加工品,33.7,
指数,1974年4月,全国,1481 こんにゃく,52.8,
指数,1974年4月,全国,1482 梅干し,21.8,
指数,1974年4月,全国,1483 だいこん漬,32.7,
指数,1974年4月,全国,1485 こんぶつくだ煮,26.9,
指数,1974年4月,全国,0027 果物,37.1,
指数,1974年4月,全国,0028 生鮮果物,36.3,
指数,1974年4月,全国,1502 りんご,36.1,
指数,1974年4月,全国,1511 みかん,23.2,
指数,1974年4月,全国,1571 いちご,40,
指数,1974年4月,全国,1581 バナナ,58.7,
指数,1974年4月,全国,0029 果物加工品,59.6,
