指数,年月,地域,カテゴリ,数値,単位
指数,2007年10月,全国,0001 総合,96,
指数,2007年10月,全国,0002 食料,87.4,
指数,2007年10月,全国,0003 穀類,90.9,
指数,2007年10月,全国,0004 米類,97.3,
指数,2007年10月,全国,1001 うるち米Ａ,100.3,
指数,2007年10月,全国,1002 うるち米Ｂ,95.6,
指数,2007年10月,全国,0005 パン,85.9,
指数,2007年10月,全国,1021 食パン,88.1,
指数,2007年10月,全国,1022 あんパン,83.3,
指数,2007年10月,全国,1023 カレーパン,86.5,
指数,2007年10月,全国,0006 麺類,85.1,
指数,2007年10月,全国,1031 ゆでうどん,88.6,
指数,2007年10月,全国,1041 そうめん,87,
指数,2007年10月,全国,1042 スパゲッティ,82.5,
指数,2007年10月,全国,1051 カップ麺,75.8,
指数,2007年10月,全国,1052 中華麺,95.3,
指数,2007年10月,全国,0007 他の穀類,100.4,
指数,2007年10月,全国,1071 小麦粉,70.4,
指数,2007年10月,全国,1081 もち,114.7,
指数,2007年10月,全国,0008 魚介類,76.5,
指数,2007年10月,全国,0009 生鮮魚介,77.1,
指数,2007年10月,全国,1101 まぐろ,90.5,
指数,2007年10月,全国,1102 あじ,93.4,
指数,2007年10月,全国,1103 いわし,108.3,
指数,2007年10月,全国,1104 かつお,90.9,
指数,2007年10月,全国,1106 さけ,68.7,
指数,2007年10月,全国,1107 さば,84.7,
指数,2007年10月,全国,1108 さんま,47.7,
指数,2007年10月,全国,1110 たい,84.9,
指数,2007年10月,全国,1111 ぶり,82.7,
指数,2007年10月,全国,1112 いか,52.9,
指数,2007年10月,全国,1113 たこ,72.3,
指数,2007年10月,全国,1114 えび,81.4,
指数,2007年10月,全国,1131 あさり,83,
指数,2007年10月,全国,1132 かき（貝）,84.1,
指数,2007年10月,全国,1133 ほたて貝,69.7,
指数,2007年10月,全国,0010 塩干魚介,73,
指数,2007年10月,全国,1141 塩さけ,59.3,
指数,2007年10月,全国,1142 たらこ,99.3,
指数,2007年10月,全国,1143 しらす干し,66.4,
指数,2007年10月,全国,1144 干しあじ,78.2,
指数,2007年10月,全国,1146 煮干し,90.7,
指数,2007年10月,全国,1150 ししゃも,66.8,
指数,2007年10月,全国,0011 魚肉練製品,84.6,
指数,2007年10月,全国,1151 揚げかまぼこ,80.4,
指数,2007年10月,全国,1152 ちくわ,85.8,
指数,2007年10月,全国,1153 かまぼこ,87.3,
指数,2007年10月,全国,0012 他の魚介加工品,73.3,
指数,2007年10月,全国,1161 かつお節,76.3,
指数,2007年10月,全国,1165 魚介漬物,70.4,
指数,2007年10月,全国,1166 魚介つくだ煮,74.8,
指数,2007年10月,全国,1173 魚介缶詰,78.5,
指数,2007年10月,全国,0013 肉類,84.2,
指数,2007年10月,全国,0014 生鮮肉,79.6,
指数,2007年10月,全国,1201 牛肉（国産品）,77.2,
指数,2007年10月,全国,1203 牛肉（輸入品）,66.9,
指数,2007年10月,全国,1211 豚肉（国産品）,79,
指数,2007年10月,全国,1221 鶏肉,84.9,
指数,2007年10月,全国,0015 加工肉,105.3,
指数,2007年10月,全国,1252 ハム,111,
指数,2007年10月,全国,1261 ソーセージ,103.3,
指数,2007年10月,全国,1271 ベーコン,98.4,
指数,2007年10月,全国,0016 乳卵類,85.8,
指数,2007年10月,全国,0017 牛乳・乳製品,86.1,
指数,2007年10月,全国,0018 牛乳,86.1,
指数,2007年10月,全国,1303 牛乳,89.9,
指数,2007年10月,全国,0019 乳製品,86.7,
指数,2007年10月,全国,1311 粉ミルク,91.7,
指数,2007年10月,全国,1333 ヨーグルト,91.1,
指数,2007年10月,全国,1321 バター,72.3,
指数,2007年10月,全国,1331 チーズ（国産品）,73.4,
指数,2007年10月,全国,1332 チーズ（輸入品）,84.1,
指数,2007年10月,全国,0020 卵,85.2,
指数,2007年10月,全国,1341 鶏卵,85.2,
指数,2007年10月,全国,0021 野菜・海藻,87.2,
指数,2007年10月,全国,0022 生鮮野菜,87.2,
指数,2007年10月,全国,1401 キャベツ,79.1,
指数,2007年10月,全国,1402 ほうれんそう,98.2,
指数,2007年10月,全国,1403 はくさい,89.2,
指数,2007年10月,全国,1405 ねぎ,103.4,
指数,2007年10月,全国,1406 レタス,111.7,
指数,2007年10月,全国,1409 ブロッコリー,118.9,
指数,2007年10月,全国,1407 もやし,101.9,
