指数,年月,地域,カテゴリ,数値,単位
指数,2007年2月,全国,0001 総合,94.7,
指数,2007年2月,全国,0002 食料,86.1,
指数,2007年2月,全国,0003 穀類,91.1,
指数,2007年2月,全国,0004 米類,98.8,
指数,2007年2月,全国,1001 うるち米Ａ,102.8,
指数,2007年2月,全国,1002 うるち米Ｂ,96.6,
指数,2007年2月,全国,0005 パン,85.6,
指数,2007年2月,全国,1021 食パン,87.5,
指数,2007年2月,全国,1022 あんパン,83,
指数,2007年2月,全国,1023 カレーパン,86.5,
指数,2007年2月,全国,0006 麺類,84.9,
指数,2007年2月,全国,1031 ゆでうどん,87.9,
指数,2007年2月,全国,1041 そうめん,86.8,
指数,2007年2月,全国,1042 スパゲッティ,82.5,
指数,2007年2月,全国,1051 カップ麺,75.6,
指数,2007年2月,全国,1052 中華麺,95.2,
指数,2007年2月,全国,0007 他の穀類,99.7,
指数,2007年2月,全国,1071 小麦粉,70.6,
指数,2007年2月,全国,1081 もち,113.5,
指数,2007年2月,全国,0008 魚介類,76.7,
指数,2007年2月,全国,0009 生鮮魚介,77.2,
指数,2007年2月,全国,1101 まぐろ,92.2,
指数,2007年2月,全国,1102 あじ,93.1,
指数,2007年2月,全国,1103 いわし,100,
指数,2007年2月,全国,1106 さけ,71.3,
指数,2007年2月,全国,1107 さば,93.5,
指数,2007年2月,全国,1108 さんま,45,
指数,2007年2月,全国,1110 たい,87.1,
指数,2007年2月,全国,1111 ぶり,86.4,
指数,2007年2月,全国,1112 いか,51.7,
指数,2007年2月,全国,1113 たこ,70.5,
指数,2007年2月,全国,1114 えび,81,
指数,2007年2月,全国,1131 あさり,84.2,
指数,2007年2月,全国,1132 かき（貝）,66.8,
指数,2007年2月,全国,1133 ほたて貝,71,
指数,2007年2月,全国,0010 塩干魚介,73.2,
指数,2007年2月,全国,1141 塩さけ,59.2,
指数,2007年2月,全国,1142 たらこ,98.3,
指数,2007年2月,全国,1143 しらす干し,67.3,
指数,2007年2月,全国,1144 干しあじ,79.8,
指数,2007年2月,全国,1146 煮干し,92.1,
指数,2007年2月,全国,1150 ししゃも,66.3,
指数,2007年2月,全国,0011 魚肉練製品,84.5,
指数,2007年2月,全国,1151 揚げかまぼこ,79.2,
指数,2007年2月,全国,1152 ちくわ,85.9,
指数,2007年2月,全国,1153 かまぼこ,88.3,
指数,2007年2月,全国,0012 他の魚介加工品,74.1,
指数,2007年2月,全国,1161 かつお節,76.2,
指数,2007年2月,全国,1165 魚介漬物,73.8,
指数,2007年2月,全国,1166 魚介つくだ煮,74.3,
指数,2007年2月,全国,1173 魚介缶詰,77.4,
指数,2007年2月,全国,0013 肉類,83.2,
指数,2007年2月,全国,0014 生鮮肉,78.9,
指数,2007年2月,全国,1201 牛肉（国産品）,77,
指数,2007年2月,全国,1203 牛肉（輸入品）,64.6,
指数,2007年2月,全国,1211 豚肉（国産品）,78.6,
指数,2007年2月,全国,1221 鶏肉,83.9,
指数,2007年2月,全国,0015 加工肉,103.3,
指数,2007年2月,全国,1252 ハム,108.6,
指数,2007年2月,全国,1261 ソーセージ,101.3,
指数,2007年2月,全国,1271 ベーコン,97.7,
指数,2007年2月,全国,0016 乳卵類,86.1,
