指数,年月,地域,カテゴリ,数値,単位
指数,2015年2月,全国,0001 総合,97.6,
指数,2015年2月,全国,0002 食料,93.5,
指数,2015年2月,全国,0003 穀類,93.8,
指数,2015年2月,全国,0004 米類,87.5,
指数,2015年2月,全国,1001 うるち米Ａ,89.4,
指数,2015年2月,全国,1002 うるち米Ｂ,85.4,
指数,2015年2月,全国,0005 パン,96.2,
指数,2015年2月,全国,1021 食パン,97.3,
指数,2015年2月,全国,1022 あんパン,93.7,
指数,2015年2月,全国,1023 カレーパン,98.3,
指数,2015年2月,全国,0006 麺類,97.1,
指数,2015年2月,全国,1031 ゆでうどん,95.7,
指数,2015年2月,全国,1041 そうめん,97.5,
指数,2015年2月,全国,1042 スパゲッティ,96.8,
指数,2015年2月,全国,1051 カップ麺,96.4,
指数,2015年2月,全国,1052 中華麺,99.3,
指数,2015年2月,全国,0007 他の穀類,99.1,
指数,2015年2月,全国,1071 小麦粉,89.6,
指数,2015年2月,全国,1081 もち,103.2,
指数,2015年2月,全国,0008 魚介類,89.4,
指数,2015年2月,全国,0009 生鮮魚介,90.6,
指数,2015年2月,全国,1101 まぐろ,96.3,
指数,2015年2月,全国,1102 あじ,118.8,
指数,2015年2月,全国,1103 いわし,109.7,
指数,2015年2月,全国,1106 さけ,91,
指数,2015年2月,全国,1107 さば,104.4,
指数,2015年2月,全国,1108 さんま,52.5,
指数,2015年2月,全国,1110 たい,92,
指数,2015年2月,全国,1111 ぶり,102.1,
指数,2015年2月,全国,1112 いか,53,
指数,2015年2月,全国,1113 たこ,84.6,
指数,2015年2月,全国,1114 えび,105.9,
指数,2015年2月,全国,1131 あさり,97.9,
指数,2015年2月,全国,1132 かき（貝）,101,
指数,2015年2月,全国,1133 ほたて貝,92.5,
指数,2015年2月,全国,0010 塩干魚介,83.5,
指数,2015年2月,全国,1141 塩さけ,83.5,
指数,2015年2月,全国,1142 たらこ,91.2,
指数,2015年2月,全国,1143 しらす干し,76.6,
指数,2015年2月,全国,1144 干しあじ,89.4,
指数,2015年2月,全国,1146 煮干し,92.5,
指数,2015年2月,全国,1150 ししゃも,70.7,
指数,2015年2月,全国,1167 いくら,74.3,
指数,2015年2月,全国,0011 魚肉練製品,94.5,
指数,2015年2月,全国,1151 揚げかまぼこ,92.4,
指数,2015年2月,全国,1152 ちくわ,94.9,
指数,2015年2月,全国,1153 かまぼこ,96.1,
指数,2015年2月,全国,0012 他の魚介加工品,88.9,
指数,2015年2月,全国,1161 かつお節,94.3,
指数,2015年2月,全国,1165 魚介漬物,88,
指数,2015年2月,全国,1166 魚介つくだ煮,82.9,
指数,2015年2月,全国,1173 魚介缶詰,95.4,
指数,2015年2月,全国,0013 肉類,94,
指数,2015年2月,全国,0014 生鮮肉,90.8,
指数,2015年2月,全国,1201 牛肉（国産品）,85.3,
指数,2015年2月,全国,1203 牛肉（輸入品）,81.5,
指数,2015年2月,全国,1211 豚肉（国産品）,90.9,
指数,2015年2月,全国,1221 鶏肉,97.7,
指数,2015年2月,全国,0015 加工肉,108.3,
指数,2015年2月,全国,1252 ハム,107.9,
指数,2015年2月,全国,1261 ソーセージ,109.6,
指数,2015年2月,全国,1271 ベーコン,105.5,
指数,2015年2月,全国,0016 乳卵類,93.2,
指数,2015年2月,全国,0017 牛乳・乳製品,92.6,
指数,2015年2月,全国,0018 牛乳,94.3,
指数,2015年2月,全国,1303 牛乳,94.5,
指数,2015年2月,全国,0019 乳製品,91.2,
指数,2015年2月,全国,1311 粉ミルク,100.7,
指数,2015年2月,全国,1333 ヨーグルト,88.4,
指数,2015年2月,全国,1321 バター,94.7,
指数,2015年2月,全国,1331 チーズ（国産品）,96.8,
指数,2015年2月,全国,1332 チーズ（輸入品）,96.1,
指数,2015年2月,全国,0020 卵,95.9,
指数,2015年2月,全国,1341 鶏卵,95.9,
指数,2015年2月,全国,0021 野菜・海藻,92.6,
指数,2015年2月,全国,0022 生鮮野菜,93.7,
指数,2015年2月,全国,1401 キャベツ,97.4,
