指数,年月,地域,カテゴリ,数値,単位
指数,1985年3月,全国,0001 総合,83.2,
指数,1985年3月,全国,0002 食料,76.8,
指数,1985年3月,全国,0003 穀類,93.9,
指数,1985年3月,全国,0004 米類,114.6,
指数,1985年3月,全国,1001 うるち米Ａ,115.1,
指数,1985年3月,全国,1002 うるち米Ｂ,116.7,
指数,1985年3月,全国,0005 パン,77.6,
指数,1985年3月,全国,1021 食パン,82.2,
指数,1985年3月,全国,1022 あんパン,71.8,
指数,1985年3月,全国,0006 麺類,77.4,
指数,1985年3月,全国,1031 ゆでうどん,80.2,
指数,1985年3月,全国,1041 そうめん,68.4,
指数,1985年3月,全国,1042 スパゲッティ,82.6,
指数,1985年3月,全国,1051 カップ麺,74,
指数,1985年3月,全国,1052 中華麺,87.1,
指数,1985年3月,全国,0007 他の穀類,93,
指数,1985年3月,全国,1071 小麦粉,79.3,
指数,1985年3月,全国,1081 もち,100.7,
指数,1985年3月,全国,0008 魚介類,71.5,
指数,1985年3月,全国,0009 生鮮魚介,79.9,
指数,1985年3月,全国,1101 まぐろ,93.7,
指数,1985年3月,全国,1102 あじ,142.9,
指数,1985年3月,全国,1103 いわし,41.9,
指数,1985年3月,全国,1104 かつお,82.9,
指数,1985年3月,全国,1106 さけ,73.7,
指数,1985年3月,全国,1107 さば,59.7,
指数,1985年3月,全国,1108 さんま,47.8,
指数,1985年3月,全国,1110 たい,107.5,
指数,1985年3月,全国,1111 ぶり,86.4,
指数,1985年3月,全国,1112 いか,69.6,
指数,1985年3月,全国,1113 たこ,55.3,
指数,1985年3月,全国,1114 えび,127.7,
指数,1985年3月,全国,1131 あさり,56.1,
指数,1985年3月,全国,1132 かき（貝）,33.4,
指数,1985年3月,全国,1133 ほたて貝,81.3,
指数,1985年3月,全国,0010 塩干魚介,65.6,
指数,1985年3月,全国,1141 塩さけ,75.3,
指数,1985年3月,全国,1142 たらこ,68.1,
指数,1985年3月,全国,1143 しらす干し,44.1,
指数,1985年3月,全国,1144 干しあじ,89.7,
指数,1985年3月,全国,1146 煮干し,63.2,
指数,1985年3月,全国,0011 魚肉練製品,59.7,
指数,1985年3月,全国,1151 揚げかまぼこ,58.7,
指数,1985年3月,全国,1152 ちくわ,62.1,
指数,1985年3月,全国,1153 かまぼこ,57.7,
指数,1985年3月,全国,0012 他の魚介加工品,58,
指数,1985年3月,全国,1161 かつお節,72,
指数,1985年3月,全国,1173 魚介缶詰,58.2,
指数,1985年3月,全国,0013 肉類,73.1,
指数,1985年3月,全国,0014 生鮮肉,69,
指数,1985年3月,全国,1201 牛肉（国産品）,56.8,
指数,1985年3月,全国,1203 牛肉（輸入品）,85.5,
指数,1985年3月,全国,1211 豚肉（国産品）,68.7,
指数,1985年3月,全国,1221 鶏肉,81,
指数,1985年3月,全国,0015 加工肉,93,
指数,1985年3月,全国,1252 ハム,103.8,
指数,1985年3月,全国,1261 ソーセージ,89.6,
指数,1985年3月,全国,1271 ベーコン,79,
指数,1985年3月,全国,0016 乳卵類,85.8,
指数,1985年3月,全国,0017 牛乳・乳製品,86.4,
指数,1985年3月,全国,0018 牛乳,85.1,
指数,1985年3月,全国,1303 牛乳,98.8,
指数,1985年3月,全国,0019 乳製品,88.5,
指数,1985年3月,全国,1311 粉ミルク,62,
指数,1985年3月,全国,1333 ヨーグルト,116.5,
指数,1985年3月,全国,1321 バター,75.9,
指数,1985年3月,全国,1331 チーズ（国産品）,67.7,
指数,1985年3月,全国,0020 卵,82.9,
指数,1985年3月,全国,1341 鶏卵,82.9,
指数,1985年3月,全国,0021 野菜・海藻,66.1,
指数,1985年3月,全国,0022 生鮮野菜,65.4,
指数,1985年3月,全国,1401 キャベツ,51.1,
指数,1985年3月,全国,1402 ほうれんそう,33,
指数,1985年3月,全国,1403 はくさい,41.7,
指数,1985年3月,全国,1405 ねぎ,37.6,
指数,1985年3月,全国,1406 レタス,84.4,
指数,1985年3月,全国,1407 もやし,92,
指数,1985年3月,全国,1411 さつまいも,57.6,
指数,1985年3月,全国,1412 じゃがいも,42.6,
指数,1985年3月,全国,1413 さといも,56.1,
指数,1985年3月,全国,1414 だいこん,60.7,
指数,1985年3月,全国,1415 にんじん,42.9,
指数,1985年3月,全国,1416 ごぼう,42.7,
指数,1985年3月,全国,1417 たまねぎ,83.4,
指数,1985年3月,全国,1419 れんこん,46,
指数,1985年3月,全国,1420 ながいも,70.6,
指数,1985年3月,全国,1432 さやいんげん,83.9,
指数,1985年3月,全国,1433 かぼちゃ,61,
指数,1985年3月,全国,1434 きゅうり,97.2,
指数,1985年3月,全国,1435 なす,92.4,
指数,1985年3月,全国,1436 トマト,84.1,
指数,1985年3月,全国,1437 ピーマン,93.3,
指数,1985年3月,全国,1438 生しいたけ,88.4,
指数,1985年3月,全国,0023 乾物・加工品類,67.7,
指数,1985年3月,全国,0024 乾物・海藻,54.6,
指数,1985年3月,全国,1453 干ししいたけ,66,
指数,1985年3月,全国,1461 干しのり,77.5,
指数,1985年3月,全国,1462 わかめ,40.8,
指数,1985年3月,全国,1463 こんぶ,42.3,
指数,1985年3月,全国,0025 大豆加工品,80.9,
指数,1985年3月,全国,1471 豆腐,78.6,
指数,1985年3月,全国,1472 油揚げ,81.9,
指数,1985年3月,全国,1473 納豆,76.4,
指数,1985年3月,全国,0026 他の野菜・海藻加工品,66.3,
指数,1985年3月,全国,1481 こんにゃく,101.7,
指数,1985年3月,全国,1482 梅干し,48.8,
指数,1985年3月,全国,1483 だいこん漬,58.5,
指数,1985年3月,全国,1485 こんぶつくだ煮,60,
指数,1985年3月,全国,1491 野菜缶詰,109.4,
指数,1985年3月,全国,0027 果物,69.2,
指数,1985年3月,全国,0028 生鮮果物,68.5,
指数,1985年3月,全国,1502 りんご,95.3,
指数,1985年3月,全国,1511 みかん,56.5,
指数,1985年3月,全国,1515 オレンジ,120.3,
指数,1985年3月,全国,1571 いちご,67.2,
指数,1985年3月,全国,1581 バナナ,94.5,
指数,1985年3月,全国,0029 果物加工品,80.6,
指数,1985年3月,全国,0030 油脂・調味料,102.8,
指数,1985年3月,全国,0031 油脂,137.4,
指数,1985年3月,全国,1601 食用油,160.5,
