指数,年月,地域,カテゴリ,数値,単位
指数,2008年6月,全国,0001 総合,97.3,
指数,2008年6月,全国,0002 食料,89.3,
指数,2008年6月,全国,0003 穀類,98.1,
指数,2008年6月,全国,0004 米類,96.5,
指数,2008年6月,全国,1001 うるち米Ａ,100,
指数,2008年6月,全国,1002 うるち米Ｂ,94.8,
指数,2008年6月,全国,0005 パン,99.3,
指数,2008年6月,全国,1021 食パン,104,
指数,2008年6月,全国,1022 あんパン,93.8,
指数,2008年6月,全国,1023 カレーパン,97.8,
指数,2008年6月,全国,0006 麺類,95.8,
指数,2008年6月,全国,1031 ゆでうどん,93.8,
指数,2008年6月,全国,1041 そうめん,92.5,
指数,2008年6月,全国,1042 スパゲッティ,110.6,
指数,2008年6月,全国,1051 カップ麺,91,
指数,2008年6月,全国,1052 中華麺,102.4,
指数,2008年6月,全国,0007 他の穀類,104.3,
指数,2008年6月,全国,1071 小麦粉,82.3,
指数,2008年6月,全国,1081 もち,114.8,
指数,2008年6月,全国,0008 魚介類,78.4,
指数,2008年6月,全国,0009 生鮮魚介,79.3,
指数,2008年6月,全国,1101 まぐろ,92.5,
指数,2008年6月,全国,1102 あじ,94.9,
指数,2008年6月,全国,1103 いわし,109.6,
指数,2008年6月,全国,1104 かつお,90.1,
指数,2008年6月,全国,1106 さけ,69.8,
指数,2008年6月,全国,1107 さば,93.9,
指数,2008年6月,全国,1108 さんま,43.8,
指数,2008年6月,全国,1110 たい,81,
指数,2008年6月,全国,1111 ぶり,86.6,
指数,2008年6月,全国,1112 いか,64.5,
指数,2008年6月,全国,1113 たこ,76.6,
指数,2008年6月,全国,1114 えび,78.3,
指数,2008年6月,全国,1131 あさり,85.9,
指数,2008年6月,全国,1133 ほたて貝,69.7,
指数,2008年6月,全国,0010 塩干魚介,72.9,
指数,2008年6月,全国,1141 塩さけ,59.3,
指数,2008年6月,全国,1142 たらこ,97.6,
指数,2008年6月,全国,1143 しらす干し,66.5,
指数,2008年6月,全国,1144 干しあじ,78.9,
指数,2008年6月,全国,1146 煮干し,90.8,
指数,2008年6月,全国,1150 ししゃも,67.5,
指数,2008年6月,全国,0011 魚肉練製品,89,
指数,2008年6月,全国,1151 揚げかまぼこ,85.5,
指数,2008年6月,全国,1152 ちくわ,90.7,
指数,2008年6月,全国,1153 かまぼこ,91,
指数,2008年6月,全国,0012 他の魚介加工品,75.9,
指数,2008年6月,全国,1161 かつお節,81.1,
指数,2008年6月,全国,1165 魚介漬物,71.5,
指数,2008年6月,全国,1166 魚介つくだ煮,76.9,
指数,2008年6月,全国,1173 魚介缶詰,83.2,
指数,2008年6月,全国,0013 肉類,87.5,
指数,2008年6月,全国,0014 生鮮肉,82.7,
指数,2008年6月,全国,1201 牛肉（国産品）,78.2,
指数,2008年6月,全国,1203 牛肉（輸入品）,69.2,
指数,2008年6月,全国,1211 豚肉（国産品）,80.9,
指数,2008年6月,全国,1221 鶏肉,93.8,
指数,2008年6月,全国,0015 加工肉,109.7,
指数,2008年6月,全国,1252 ハム,114.5,
指数,2008年6月,全国,1261 ソーセージ,108.2,
指数,2008年6月,全国,1271 ベーコン,104.2,
指数,2008年6月,全国,0016 乳卵類,89.9,
指数,2008年6月,全国,0017 牛乳・乳製品,91.1,
指数,2008年6月,全国,0018 牛乳,90,
指数,2008年6月,全国,1303 牛乳,93.2,
指数,2008年6月,全国,0019 乳製品,93.2,
指数,2008年6月,全国,1311 粉ミルク,100.5,
指数,2008年6月,全国,1333 ヨーグルト,95.1,
指数,2008年6月,全国,1321 バター,81.7,
指数,2008年6月,全国,1331 チーズ（国産品）,91.9,
指数,2008年6月,全国,1332 チーズ（輸入品）,91.2,
指数,2008年6月,全国,0020 卵,86.2,
指数,2008年6月,全国,1341 鶏卵,86.2,
指数,2008年6月,全国,0021 野菜・海藻,85.2,
指数,2008年6月,全国,0022 生鮮野菜,82.7,
指数,2008年6月,全国,1401 キャベツ,71.6,
指数,2008年6月,全国,1402 ほうれんそう,73.1,
指数,2008年6月,全国,1403 はくさい,89.8,
指数,2008年6月,全国,1405 ねぎ,102.3,
指数,2008年6月,全国,1406 レタス,79.3,
指数,2008年6月,全国,1409 ブロッコリー,100.4,
指数,2008年6月,全国,1407 もやし,105.4,
指数,2008年6月,全国,1410 アスパラガス,87.5,
指数,2008年6月,全国,1411 さつまいも,88.7,
指数,2008年6月,全国,1412 じゃがいも,74.8,
指数,2008年6月,全国,1413 さといも,116.9,
指数,2008年6月,全国,1414 だいこん,80,
指数,2008年6月,全国,1415 にんじん,99,
指数,2008年6月,全国,1416 ごぼう,90.3,
指数,2008年6月,全国,1417 たまねぎ,76.5,
指数,2008年6月,全国,1419 れんこん,129.1,
指数,2008年6月,全国,1420 ながいも,75.1,
指数,2008年6月,全国,1430 えだまめ,107,
指数,2008年6月,全国,1432 さやいんげん,70.5,
指数,2008年6月,全国,1433 かぼちゃ,89.4,
指数,2008年6月,全国,1434 きゅうり,63.8,
指数,2008年6月,全国,1435 なす,70.9,
指数,2008年6月,全国,1436 トマト,69.7,
指数,2008年6月,全国,1437 ピーマン,68.1,
指数,2008年6月,全国,1438 生しいたけ,104.5,
指数,2008年6月,全国,1442 えのきたけ,102.3,
指数,2008年6月,全国,1443 しめじ,104.4,
指数,2008年6月,全国,0023 乾物・加工品類,89.4,
指数,2008年6月,全国,0024 乾物・海藻,74.7,
指数,2008年6月,全国,1453 干ししいたけ,85,
指数,2008年6月,全国,1461 干しのり,82.5,
指数,2008年6月,全国,1462 わかめ,67.1,
指数,2008年6月,全国,1463 こんぶ,76,
指数,2008年6月,全国,1464 ひじき,53.7,
指数,2008年6月,全国,0025 大豆加工品,103,
指数,2008年6月,全国,1471 豆腐,99.8,
指数,2008年6月,全国,1472 油揚げ,99.5,
指数,2008年6月,全国,1473 納豆,113,
指数,2008年6月,全国,0026 他の野菜・海藻加工品,88.7,
指数,2008年6月,全国,1481 こんにゃく,101.3,
指数,2008年6月,全国,1482 梅干し,71.6,
指数,2008年6月,全国,1483 だいこん漬,86.1,
指数,2008年6月,全国,1486 はくさい漬,87.2,
指数,2008年6月,全国,1487 キムチ,103.9,
指数,2008年6月,全国,1485 こんぶつくだ煮,87.5,
指数,2008年6月,全国,1491 野菜缶詰,97,
指数,2008年6月,全国,0027 果物,77.9,
指数,2008年6月,全国,0028 生鮮果物,77.7,
指数,2008年6月,全国,1502 りんご,84.6,
