指数,年月,地域,カテゴリ,数値,単位
指数,1974年10月,全国,0001 総合,50.1,
指数,1974年10月,全国,0002 食料,48.3,
指数,1974年10月,全国,0003 穀類,55.2,
指数,1974年10月,全国,0004 米類,65.1,
指数,1974年10月,全国,0005 パン,48.4,
指数,1974年10月,全国,1021 食パン,51.2,
指数,1974年10月,全国,1022 あんパン,43.6,
指数,1974年10月,全国,0006 麺類,49.8,
指数,1974年10月,全国,1041 そうめん,41.1,
指数,1974年10月,全国,1051 カップ麺,51.5,
指数,1974年10月,全国,0007 他の穀類,62.5,
指数,1974年10月,全国,1071 小麦粉,49.3,
指数,1974年10月,全国,0008 魚介類,37.8,
指数,1974年10月,全国,0009 生鮮魚介,40.4,
指数,1974年10月,全国,1101 まぐろ,53.6,
指数,1974年10月,全国,1102 あじ,56.7,
指数,1974年10月,全国,1103 いわし,35.5,
指数,1974年10月,全国,1104 かつお,44.2,
指数,1974年10月,全国,1106 さけ,42.4,
指数,1974年10月,全国,1107 さば,25.8,
指数,1974年10月,全国,1108 さんま,25.9,
指数,1974年10月,全国,1110 たい,69.3,
指数,1974年10月,全国,1111 ぶり,59.6,
指数,1974年10月,全国,1112 いか,33.9,
指数,1974年10月,全国,1113 たこ,30.1,
指数,1974年10月,全国,1131 あさり,17.3,
指数,1974年10月,全国,1132 かき（貝）,39.7,
指数,1974年10月,全国,0010 塩干魚介,35.3,
指数,1974年10月,全国,1141 塩さけ,45.1,
指数,1974年10月,全国,1142 たらこ,28,
指数,1974年10月,全国,1143 しらす干し,23.8,
指数,1974年10月,全国,1146 煮干し,35.6,
指数,1974年10月,全国,0011 魚肉練製品,34.4,
指数,1974年10月,全国,1151 揚げかまぼこ,29.4,
指数,1974年10月,全国,1152 ちくわ,34.9,
指数,1974年10月,全国,1153 かまぼこ,37,
指数,1974年10月,全国,0012 他の魚介加工品,37.2,
指数,1974年10月,全国,1161 かつお節,47.1,
指数,1974年10月,全国,0013 肉類,55.1,
指数,1974年10月,全国,0014 生鮮肉,52.4,
指数,1974年10月,全国,1201 牛肉（国産品）,37.6,
指数,1974年10月,全国,1211 豚肉（国産品）,51.9,
指数,1974年10月,全国,1221 鶏肉,71.4,
指数,1974年10月,全国,0015 加工肉,68.3,
指数,1974年10月,全国,1261 ソーセージ,64.7,
指数,1974年10月,全国,0016 乳卵類,80.3,
指数,1974年10月,全国,0017 牛乳・乳製品,70.9,
指数,1974年10月,全国,0018 牛乳,73,
指数,1974年10月,全国,0019 乳製品,62.4,
指数,1974年10月,全国,1311 粉ミルク,40.7,
指数,1974年10月,全国,1321 バター,45,
指数,1974年10月,全国,1331 チーズ（国産品）,58.3,
指数,1974年10月,全国,0020 卵,101.4,
指数,1974年10月,全国,1341 鶏卵,101.4,
指数,1974年10月,全国,0021 野菜・海藻,41.4,
指数,1974年10月,全国,0022 生鮮野菜,42.1,
指数,1974年10月,全国,1401 キャベツ,44.6,
指数,1974年10月,全国,1402 ほうれんそう,30.2,
指数,1974年10月,全国,1403 はくさい,38.1,
指数,1974年10月,全国,1405 ねぎ,31,
指数,1974年10月,全国,1406 レタス,61.6,
指数,1974年10月,全国,1411 さつまいも,32.5,
指数,1974年10月,全国,1412 じゃがいも,32.1,
指数,1974年10月,全国,1413 さといも,36.9,
指数,1974年10月,全国,1414 だいこん,55.4,
指数,1974年10月,全国,1415 にんじん,40.5,
指数,1974年10月,全国,1416 ごぼう,37.4,
指数,1974年10月,全国,1417 たまねぎ,41.7,
指数,1974年10月,全国,1419 れんこん,32.5,
指数,1974年10月,全国,1433 かぼちゃ,23,
指数,1974年10月,全国,1434 きゅうり,35.4,
指数,1974年10月,全国,1435 なす,41.6,
指数,1974年10月,全国,1436 トマト,38.7,
指数,1974年10月,全国,1437 ピーマン,40.7,
指数,1974年10月,全国,0023 乾物・加工品類,41.1,
指数,1974年10月,全国,0024 乾物・海藻,33.8,
指数,1974年10月,全国,1453 干ししいたけ,37.9,
指数,1974年10月,全国,1461 干しのり,48.9,
指数,1974年10月,全国,1462 わかめ,27.6,
指数,1974年10月,全国,1463 こんぶ,27.1,
指数,1974年10月,全国,0025 大豆加工品,55.2,
指数,1974年10月,全国,1471 豆腐,53.5,
指数,1974年10月,全国,1472 油揚げ,52.9,
指数,1974年10月,全国,1473 納豆,62.1,
指数,1974年10月,全国,0026 他の野菜・海藻加工品,37.1,
