指数,年月,地域,カテゴリ,数値,単位
指数,1994年12月,全国,0001 総合,96.1,
指数,1994年12月,全国,0002 食料,87.1,
指数,1994年12月,全国,0003 穀類,102.6,
指数,1994年12月,全国,0004 米類,120.7,
指数,1994年12月,全国,1001 うるち米Ａ,125.6,
指数,1994年12月,全国,1002 うるち米Ｂ,124.5,
指数,1994年12月,全国,0005 パン,87.5,
指数,1994年12月,全国,1021 食パン,87.9,
指数,1994年12月,全国,1022 あんパン,89.1,
指数,1994年12月,全国,0006 麺類,89.9,
指数,1994年12月,全国,1031 ゆでうどん,93.9,
指数,1994年12月,全国,1041 そうめん,84.1,
指数,1994年12月,全国,1042 スパゲッティ,89.9,
指数,1994年12月,全国,1051 カップ麺,85.2,
指数,1994年12月,全国,1052 中華麺,99.2,
指数,1994年12月,全国,0007 他の穀類,112.3,
指数,1994年12月,全国,1071 小麦粉,76.1,
指数,1994年12月,全国,1081 もち,129.6,
指数,1994年12月,全国,0008 魚介類,77.3,
指数,1994年12月,全国,0009 生鮮魚介,79.4,
指数,1994年12月,全国,1101 まぐろ,99,
指数,1994年12月,全国,1102 あじ,103,
指数,1994年12月,全国,1103 いわし,61.4,
指数,1994年12月,全国,1106 さけ,62.4,
指数,1994年12月,全国,1107 さば,69.1,
指数,1994年12月,全国,1108 さんま,45.1,
指数,1994年12月,全国,1110 たい,98.5,
指数,1994年12月,全国,1111 ぶり,90.3,
指数,1994年12月,全国,1112 いか,51.6,
指数,1994年12月,全国,1113 たこ,61.6,
指数,1994年12月,全国,1114 えび,92.1,
指数,1994年12月,全国,1131 あさり,69.6,
指数,1994年12月,全国,1132 かき（貝）,73.2,
指数,1994年12月,全国,1133 ほたて貝,72.8,
指数,1994年12月,全国,0010 塩干魚介,71.5,
指数,1994年12月,全国,1141 塩さけ,67.7,
指数,1994年12月,全国,1142 たらこ,87.2,
指数,1994年12月,全国,1143 しらす干し,63.2,
指数,1994年12月,全国,1144 干しあじ,73.7,
指数,1994年12月,全国,1146 煮干し,88.8,
指数,1994年12月,全国,1150 ししゃも,77.9,
指数,1994年12月,全国,0011 魚肉練製品,90.4,
指数,1994年12月,全国,1151 揚げかまぼこ,85.7,
指数,1994年12月,全国,1152 ちくわ,95.1,
指数,1994年12月,全国,1153 かまぼこ,91.8,
指数,1994年12月,全国,0012 他の魚介加工品,68.7,
指数,1994年12月,全国,1161 かつお節,79,
指数,1994年12月,全国,1165 魚介漬物,64.8,
指数,1994年12月,全国,1166 魚介つくだ煮,67.9,
指数,1994年12月,全国,1173 魚介缶詰,70.2,
指数,1994年12月,全国,0013 肉類,74,
指数,1994年12月,全国,0014 生鮮肉,69.4,
指数,1994年12月,全国,1201 牛肉（国産品）,65,
指数,1994年12月,全国,1203 牛肉（輸入品）,63,
指数,1994年12月,全国,1211 豚肉（国産品）,69.1,
指数,1994年12月,全国,1221 鶏肉,75.1,
指数,1994年12月,全国,0015 加工肉,96.3,
指数,1994年12月,全国,1252 ハム,105.9,
指数,1994年12月,全国,1261 ソーセージ,94.3,
指数,1994年12月,全国,1271 ベーコン,80.5,
指数,1994年12月,全国,0016 乳卵類,88.6,
指数,1994年12月,全国,0017 牛乳・乳製品,91.9,
指数,1994年12月,全国,0018 牛乳,89.3,
指数,1994年12月,全国,1303 牛乳,97.5,
指数,1994年12月,全国,0019 乳製品,96.8,
指数,1994年12月,全国,1311 粉ミルク,93,
指数,1994年12月,全国,1333 ヨーグルト,111.3,
指数,1994年12月,全国,1321 バター,72.3,
指数,1994年12月,全国,1331 チーズ（国産品）,77.7,
指数,1994年12月,全国,0020 卵,77.9,
指数,1994年12月,全国,1341 鶏卵,77.9,
指数,1994年12月,全国,0021 野菜・海藻,85.6,
指数,1994年12月,全国,0022 生鮮野菜,84.4,
指数,1994年12月,全国,1401 キャベツ,110.6,
指数,1994年12月,全国,1402 ほうれんそう,50,
指数,1994年12月,全国,1403 はくさい,85.3,
指数,1994年12月,全国,1405 ねぎ,78.5,
指数,1994年12月,全国,1406 レタス,95.7,
指数,1994年12月,全国,1409 ブロッコリー,105.9,
指数,1994年12月,全国,1407 もやし,106,
指数,1994年12月,全国,1411 さつまいも,60.8,
指数,1994年12月,全国,1412 じゃがいも,57.3,
指数,1994年12月,全国,1413 さといも,62.1,
指数,1994年12月,全国,1414 だいこん,92.9,
指数,1994年12月,全国,1415 にんじん,90,
指数,1994年12月,全国,1416 ごぼう,62.4,
指数,1994年12月,全国,1417 たまねぎ,97.8,
指数,1994年12月,全国,1419 れんこん,53.9,
指数,1994年12月,全国,1420 ながいも,110.9,
指数,1994年12月,全国,1432 さやいんげん,72.3,
指数,1994年12月,全国,1433 かぼちゃ,54.3,
指数,1994年12月,全国,1434 きゅうり,99.4,
指数,1994年12月,全国,1435 なす,97.3,
指数,1994年12月,全国,1436 トマト,96.5,
指数,1994年12月,全国,1437 ピーマン,55.2,
指数,1994年12月,全国,1438 生しいたけ,107.5,
指数,1994年12月,全国,1442 えのきたけ,195.6,
指数,1994年12月,全国,0023 乾物・加工品類,87.7,
指数,1994年12月,全国,0024 乾物・海藻,69.8,
指数,1994年12月,全国,1453 干ししいたけ,74.1,
指数,1994年12月,全国,1461 干しのり,83.3,
指数,1994年12月,全国,1462 わかめ,55.5,
指数,1994年12月,全国,1463 こんぶ,65.1,
指数,1994年12月,全国,0025 大豆加工品,104,
指数,1994年12月,全国,1471 豆腐,97.8,
指数,1994年12月,全国,1472 油揚げ,98.1,
指数,1994年12月,全国,1473 納豆,122.5,
指数,1994年12月,全国,0026 他の野菜・海藻加工品,87.4,
指数,1994年12月,全国,1481 こんにゃく,109.3,
指数,1994年12月,全国,1482 梅干し,75,
指数,1994年12月,全国,1483 だいこん漬,86,
指数,1994年12月,全国,1486 はくさい漬,77.6,
指数,1994年12月,全国,1485 こんぶつくだ煮,79,
指数,1994年12月,全国,1491 野菜缶詰,102,
指数,1994年12月,全国,0027 果物,76.3,
指数,1994年12月,全国,0028 生鮮果物,75.3,
指数,1994年12月,全国,1502 りんご,79.2,
指数,1994年12月,全国,1511 みかん,68.3,
指数,1994年12月,全国,1515 オレンジ,80.5,
指数,1994年12月,全国,1541 柿,82.6,
指数,1994年12月,全国,1581 バナナ,55.8,
指数,1994年12月,全国,1582 キウイフルーツ,61.6,
指数,1994年12月,全国,0029 果物加工品,96.3,
指数,1994年12月,全国,0030 油脂・調味料,108.2,
指数,1994年12月,全国,0031 油脂,127.7,
指数,1994年12月,全国,1601 食用油,141.8,
指数,1994年12月,全国,1602 マーガリン,87.6,
