指数,年月,地域,カテゴリ,数値,単位
指数,1991年10月,全国,0001 総合,93.7,
指数,1991年10月,全国,0002 食料,87.3,
指数,1991年10月,全国,0003 穀類,99.6,
指数,1991年10月,全国,0004 米類,116.2,
指数,1991年10月,全国,1001 うるち米Ａ,118,
指数,1991年10月,全国,1002 うるち米Ｂ,118,
指数,1991年10月,全国,0005 パン,86.2,
指数,1991年10月,全国,1021 食パン,87,
指数,1991年10月,全国,1022 あんパン,87.4,
指数,1991年10月,全国,0006 麺類,90.1,
指数,1991年10月,全国,1031 ゆでうどん,94.2,
指数,1991年10月,全国,1041 そうめん,81.6,
指数,1991年10月,全国,1042 スパゲッティ,92.6,
指数,1991年10月,全国,1051 カップ麺,85.5,
指数,1991年10月,全国,1052 中華麺,100.6,
指数,1991年10月,全国,0007 他の穀類,99.3,
指数,1991年10月,全国,1071 小麦粉,76.8,
指数,1991年10月,全国,1081 もち,111.5,
指数,1991年10月,全国,0008 魚介類,77.3,
指数,1991年10月,全国,0009 生鮮魚介,80.8,
指数,1991年10月,全国,1101 まぐろ,97.3,
指数,1991年10月,全国,1102 あじ,126.7,
指数,1991年10月,全国,1103 いわし,75.7,
指数,1991年10月,全国,1104 かつお,80.7,
指数,1991年10月,全国,1106 さけ,64.6,
指数,1991年10月,全国,1107 さば,95.5,
指数,1991年10月,全国,1108 さんま,46.8,
指数,1991年10月,全国,1110 たい,103.3,
指数,1991年10月,全国,1111 ぶり,88.9,
指数,1991年10月,全国,1112 いか,52.3,
指数,1991年10月,全国,1113 たこ,68.2,
指数,1991年10月,全国,1114 えび,97.2,
指数,1991年10月,全国,1131 あさり,66.8,
指数,1991年10月,全国,1132 かき（貝）,78.6,
指数,1991年10月,全国,1133 ほたて貝,85,
指数,1991年10月,全国,0010 塩干魚介,72.4,
指数,1991年10月,全国,1141 塩さけ,75.1,
指数,1991年10月,全国,1142 たらこ,82.5,
指数,1991年10月,全国,1143 しらす干し,58.7,
