指数,年月,地域,カテゴリ,数値,単位
指数,1980年5月,全国,0001 総合,73.2,
指数,1980年5月,全国,0002 食料,66.6,
指数,1980年5月,全国,0003 穀類,79.4,
指数,1980年5月,全国,0004 米類,97.2,
指数,1980年5月,全国,1001 うるち米Ａ,95.3,
指数,1980年5月,全国,1002 うるち米Ｂ,97.9,
指数,1980年5月,全国,0005 パン,66.5,
指数,1980年5月,全国,1021 食パン,69.9,
指数,1980年5月,全国,1022 あんパン,62.5,
指数,1980年5月,全国,0006 麺類,64.1,
指数,1980年5月,全国,1031 ゆでうどん,69.5,
指数,1980年5月,全国,1041 そうめん,53.3,
指数,1980年5月,全国,1051 カップ麺,62.7,
指数,1980年5月,全国,0007 他の穀類,75.8,
指数,1980年5月,全国,1071 小麦粉,66.9,
指数,1980年5月,全国,1081 もち,80.7,
指数,1980年5月,全国,0008 魚介類,62.8,
指数,1980年5月,全国,0009 生鮮魚介,69.6,
指数,1980年5月,全国,1101 まぐろ,79.1,
指数,1980年5月,全国,1102 あじ,109.8,
指数,1980年5月,全国,1103 いわし,34.5,
指数,1980年5月,全国,1104 かつお,67.7,
指数,1980年5月,全国,1106 さけ,73.8,
指数,1980年5月,全国,1107 さば,35.1,
指数,1980年5月,全国,1108 さんま,41,
指数,1980年5月,全国,1110 たい,104.6,
指数,1980年5月,全国,1111 ぶり,75.9,
指数,1980年5月,全国,1112 いか,60.2,
指数,1980年5月,全国,1113 たこ,70.2,
指数,1980年5月,全国,1114 えび,115.6,
指数,1980年5月,全国,1131 あさり,49.4,
指数,1980年5月,全国,1133 ほたて貝,71.1,
指数,1980年5月,全国,0010 塩干魚介,59.3,
指数,1980年5月,全国,1141 塩さけ,69.6,
指数,1980年5月,全国,1142 たらこ,68.7,
指数,1980年5月,全国,1143 しらす干し,39.4,
指数,1980年5月,全国,1144 干しあじ,70.2,
指数,1980年5月,全国,1146 煮干し,52.5,
指数,1980年5月,全国,0011 魚肉練製品,53.1,
指数,1980年5月,全国,1151 揚げかまぼこ,50.7,
指数,1980年5月,全国,1152 ちくわ,55.8,
指数,1980年5月,全国,1153 かまぼこ,52.8,
指数,1980年5月,全国,0012 他の魚介加工品,49.2,
指数,1980年5月,全国,1161 かつお節,64.1,
指数,1980年5月,全国,0013 肉類,68,
指数,1980年5月,全国,0014 生鮮肉,64.1,
指数,1980年5月,全国,1201 牛肉（国産品）,53.3,
指数,1980年5月,全国,1203 牛肉（輸入品）,87.1,
指数,1980年5月,全国,1211 豚肉（国産品）,60.8,
指数,1980年5月,全国,1221 鶏肉,78.6,
指数,1980年5月,全国,0015 加工肉,85.6,
指数,1980年5月,全国,1252 ハム,97.2,
指数,1980年5月,全国,1261 ソーセージ,82.5,
指数,1980年5月,全国,1271 ベーコン,71.5,
指数,1980年5月,全国,0016 乳卵類,87.3,
指数,1980年5月,全国,0017 牛乳・乳製品,84.3,
指数,1980年5月,全国,0018 牛乳,86.2,
指数,1980年5月,全国,1303 牛乳,102.7,
指数,1980年5月,全国,0019 乳製品,77.1,
指数,1980年5月,全国,1311 粉ミルク,52.2,
指数,1980年5月,全国,1321 バター,69.1,
指数,1980年5月,全国,1331 チーズ（国産品）,60,
指数,1980年5月,全国,0020 卵,93.6,
指数,1980年5月,全国,1341 鶏卵,93.6,
指数,1980年5月,全国,0021 野菜・海藻,54.5,
指数,1980年5月,全国,0022 生鮮野菜,54,
指数,1980年5月,全国,1401 キャベツ,77.1,
指数,1980年5月,全国,1402 ほうれんそう,29.8,
指数,1980年5月,全国,1403 はくさい,56,
指数,1980年5月,全国,1405 ねぎ,43.5,
指数,1980年5月,全国,1406 レタス,48,
指数,1980年5月,全国,1407 もやし,91.3,
指数,1980年5月,全国,1411 さつまいも,55.4,
指数,1980年5月,全国,1412 じゃがいも,54.1,
指数,1980年5月,全国,1413 さといも,29.8,
指数,1980年5月,全国,1414 だいこん,75.6,
指数,1980年5月,全国,1415 にんじん,60.9,
指数,1980年5月,全国,1416 ごぼう,67.2,
指数,1980年5月,全国,1417 たまねぎ,41.1,
指数,1980年5月,全国,1419 れんこん,54.2,
指数,1980年5月,全国,1420 ながいも,52,
指数,1980年5月,全国,1432 さやいんげん,44.7,
指数,1980年5月,全国,1433 かぼちゃ,93.7,
指数,1980年5月,全国,1434 きゅうり,42.9,
指数,1980年5月,全国,1435 なす,56.8,
指数,1980年5月,全国,1436 トマト,50.7,
指数,1980年5月,全国,1437 ピーマン,44.2,
指数,1980年5月,全国,1438 生しいたけ,73.8,
指数,1980年5月,全国,0023 乾物・加工品類,55.6,
指数,1980年5月,全国,0024 乾物・海藻,48.1,
指数,1980年5月,全国,1453 干ししいたけ,52.9,
指数,1980年5月,全国,1461 干しのり,74.5,
指数,1980年5月,全国,1462 わかめ,34.7,
指数,1980年5月,全国,1463 こんぶ,34.1,
指数,1980年5月,全国,0025 大豆加工品,68.6,
指数,1980年5月,全国,1471 豆腐,67,
指数,1980年5月,全国,1472 油揚げ,68.6,
指数,1980年5月,全国,1473 納豆,65.1,
指数,1980年5月,全国,0026 他の野菜・海藻加工品,50.5,
指数,1980年5月,全国,1481 こんにゃく,56.6,
指数,1980年5月,全国,1482 梅干し,35.4,
指数,1980年5月,全国,1483 だいこん漬,52.5,
指数,1980年5月,全国,1485 こんぶつくだ煮,47.5,
指数,1980年5月,全国,1491 野菜缶詰,86,
指数,1980年5月,全国,0027 果物,53.4,
指数,1980年5月,全国,0028 生鮮果物,52.4,
指数,1980年5月,全国,1502 りんご,92.3,
指数,1980年5月,全国,1515 オレンジ,115.4,
指数,1980年5月,全国,1561 すいか,91.4,
指数,1980年5月,全国,1571 いちご,42.3,
指数,1980年5月,全国,1581 バナナ,73.5,
指数,1980年5月,全国,0029 果物加工品,76,
指数,1980年5月,全国,0030 油脂・調味料,92.7,
指数,1980年5月,全国,0031 油脂,123.5,
指数,1980年5月,全国,1601 食用油,138.7,
指数,1980年5月,全国,1602 マーガリン,81.6,
指数,1980年5月,全国,0032 調味料,89.1,
指数,1980年5月,全国,1611 食塩,50.6,
指数,1980年5月,全国,1621 しょう油,94.4,
指数,1980年5月,全国,1631 みそ,81.8,
指数,1980年5月,全国,1632 砂糖,126.3,
指数,1980年5月,全国,1633 酢,87.7,
指数,1980年5月,全国,1641 ソース,105.2,
指数,1980年5月,全国,1642 ケチャップ,145,
指数,1980年5月,全国,1643 マヨネーズ,100.2,
指数,1980年5月,全国,1652 カレールウ,76.5,
指数,1980年5月,全国,1653 乾燥スープ,57.7,
指数,1980年5月,全国,1654 風味調味料,91.7,
指数,1980年5月,全国,0033 菓子類,62.7,
指数,1980年5月,全国,1701 ようかん,46.2,
指数,1980年5月,全国,1702 まんじゅう,56.9,
指数,1980年5月,全国,1711 カステラ,63,
指数,1980年5月,全国,1712 ケーキ,50.2,
指数,1980年5月,全国,1713 シュークリーム,71.6,
指数,1980年5月,全国,1741 せんべい,75.2,
指数,1980年5月,全国,1721 ビスケット,57.2,
指数,1980年5月,全国,1783 ポテトチップス,66.7,
指数,1980年5月,全国,1732 キャンデー,65.4,
指数,1980年5月,全国,1761 チョコレート,104.9,
指数,1980年5月,全国,1782 アイスクリーム,75.8,
指数,1980年5月,全国,1772 落花生,89.3,
指数,1980年5月,全国,1781 チューインガム,60.1,
指数,1980年5月,全国,0034 調理食品,62.5,
指数,1980年5月,全国,0036 他の調理食品,61.4,
指数,1980年5月,全国,1801 うなぎかば焼き,42.3,
指数,1980年5月,全国,1811 サラダ,46.4,
指数,1980年5月,全国,1821 コロッケ,58.3,
指数,1980年5月,全国,1831 豚カツ,64.8,
指数,1980年5月,全国,1851 冷凍調理コロッケ,70.1,
