指数,年月,地域,カテゴリ,数値,単位
指数,1988年6月,全国,0001 総合,84.8,
指数,1988年6月,全国,0002 食料,76.3,
指数,1988年6月,全国,0003 穀類,93.7,
指数,1988年6月,全国,0004 米類,113.3,
指数,1988年6月,全国,1001 うるち米Ａ,114.1,
指数,1988年6月,全国,1002 うるち米Ｂ,115.1,
指数,1988年6月,全国,0005 パン,79.4,
指数,1988年6月,全国,1021 食パン,81.1,
指数,1988年6月,全国,1022 あんパン,78.5,
指数,1988年6月,全国,0006 麺類,77.4,
指数,1988年6月,全国,1031 ゆでうどん,79.5,
指数,1988年6月,全国,1041 そうめん,69.5,
指数,1988年6月,全国,1042 スパゲッティ,81.7,
指数,1988年6月,全国,1051 カップ麺,73.5,
指数,1988年6月,全国,1052 中華麺,87.6,
指数,1988年6月,全国,0007 他の穀類,92.7,
指数,1988年6月,全国,1071 小麦粉,77.4,
指数,1988年6月,全国,1081 もち,101.6,
指数,1988年6月,全国,0008 魚介類,70.3,
指数,1988年6月,全国,0009 生鮮魚介,74.7,
指数,1988年6月,全国,1101 まぐろ,85.5,
指数,1988年6月,全国,1102 あじ,109.4,
指数,1988年6月,全国,1103 いわし,44,
指数,1988年6月,全国,1104 かつお,70.7,
指数,1988年6月,全国,1106 さけ,76.8,
指数,1988年6月,全国,1107 さば,58.9,
指数,1988年6月,全国,1108 さんま,60.1,
指数,1988年6月,全国,1110 たい,98.5,
指数,1988年6月,全国,1111 ぶり,80.6,
指数,1988年6月,全国,1112 いか,64.3,
指数,1988年6月,全国,1113 たこ,59.4,
指数,1988年6月,全国,1114 えび,102.2,
指数,1988年6月,全国,1131 あさり,59.3,
指数,1988年6月,全国,1133 ほたて貝,76.6,
指数,1988年6月,全国,0010 塩干魚介,67.4,
指数,1988年6月,全国,1141 塩さけ,77.3,
指数,1988年6月,全国,1142 たらこ,68.5,
指数,1988年6月,全国,1143 しらす干し,52,
指数,1988年6月,全国,1144 干しあじ,79,
指数,1988年6月,全国,1146 煮干し,72,
指数,1988年6月,全国,0011 魚肉練製品,66.8,
指数,1988年6月,全国,1151 揚げかまぼこ,64.9,
指数,1988年6月,全国,1152 ちくわ,70.4,
指数,1988年6月,全国,1153 かまぼこ,66.3,
指数,1988年6月,全国,0012 他の魚介加工品,59.9,
指数,1988年6月,全国,1161 かつお節,71.9,
指数,1988年6月,全国,1173 魚介缶詰,61.3,
指数,1988年6月,全国,0013 肉類,69.9,
指数,1988年6月,全国,0014 生鮮肉,65.5,
指数,1988年6月,全国,1201 牛肉（国産品）,58.8,
指数,1988年6月,全国,1203 牛肉（輸入品）,62.6,
指数,1988年6月,全国,1211 豚肉（国産品）,65.3,
指数,1988年6月,全国,1221 鶏肉,73.5,
指数,1988年6月,全国,0015 加工肉,91,
指数,1988年6月,全国,1252 ハム,101.9,
指数,1988年6月,全国,1261 ソーセージ,88.8,
指数,1988年6月,全国,1271 ベーコン,75.3,
指数,1988年6月,全国,0016 乳卵類,77,
指数,1988年6月,全国,0017 牛乳・乳製品,85.2,
指数,1988年6月,全国,0018 牛乳,83.5,
指数,1988年6月,全国,1303 牛乳,95.9,
指数,1988年6月,全国,0019 乳製品,88.3,
指数,1988年6月,全国,1311 粉ミルク,69.4,
指数,1988年6月,全国,1333 ヨーグルト,113.4,
指数,1988年6月,全国,1321 バター,72.8,
指数,1988年6月,全国,1331 チーズ（国産品）,65.6,
指数,1988年6月,全国,0020 卵,55.1,
指数,1988年6月,全国,1341 鶏卵,55.1,
指数,1988年6月,全国,0021 野菜・海藻,65.3,
指数,1988年6月,全国,0022 生鮮野菜,63.9,
指数,1988年6月,全国,1401 キャベツ,59,
指数,1988年6月,全国,1402 ほうれんそう,61.1,
指数,1988年6月,全国,1403 はくさい,72.4,
指数,1988年6月,全国,1405 ねぎ,60.5,
指数,1988年6月,全国,1406 レタス,68.2,
指数,1988年6月,全国,1407 もやし,88.9,
指数,1988年6月,全国,1411 さつまいも,76.5,
指数,1988年6月,全国,1412 じゃがいも,53.6,
指数,1988年6月,全国,1413 さといも,64,
指数,1988年6月,全国,1414 だいこん,78.7,
指数,1988年6月,全国,1415 にんじん,60.5,
指数,1988年6月,全国,1416 ごぼう,66.7,
指数,1988年6月,全国,1417 たまねぎ,58.1,
指数,1988年6月,全国,1419 れんこん,89.2,
指数,1988年6月,全国,1420 ながいも,93.1,
指数,1988年6月,全国,1432 さやいんげん,47.5,
指数,1988年6月,全国,1433 かぼちゃ,75.1,
指数,1988年6月,全国,1434 きゅうり,54.8,
指数,1988年6月,全国,1435 なす,67.9,
指数,1988年6月,全国,1436 トマト,54.3,
指数,1988年6月,全国,1437 ピーマン,46.2,
指数,1988年6月,全国,1438 生しいたけ,104.1,
指数,1988年6月,全国,0023 乾物・加工品類,68.2,
指数,1988年6月,全国,0024 乾物・海藻,54.8,
指数,1988年6月,全国,1453 干ししいたけ,62.8,
指数,1988年6月,全国,1461 干しのり,77.4,
指数,1988年6月,全国,1462 わかめ,41.9,
指数,1988年6月,全国,1463 こんぶ,45.2,
指数,1988年6月,全国,0025 大豆加工品,81.3,
指数,1988年6月,全国,1471 豆腐,78.2,
指数,1988年6月,全国,1472 油揚げ,80.5,
指数,1988年6月,全国,1473 納豆,84.5,
指数,1988年6月,全国,0026 他の野菜・海藻加工品,67.2,
指数,1988年6月,全国,1481 こんにゃく,94.1,
指数,1988年6月,全国,1482 梅干し,55.4,
指数,1988年6月,全国,1483 だいこん漬,60.1,
指数,1988年6月,全国,1485 こんぶつくだ煮,62.8,
指数,1988年6月,全国,1491 野菜缶詰,96.5,
指数,1988年6月,全国,0027 果物,62.9,
指数,1988年6月,全国,0028 生鮮果物,62,
指数,1988年6月,全国,1502 りんご,78.5,
指数,1988年6月,全国,1515 オレンジ,89.8,
指数,1988年6月,全国,1531 ぶどうＡ,97.2,
指数,1988年6月,全国,1561 すいか,70.7,
指数,1988年6月,全国,1563 メロン,87,
指数,1988年6月,全国,1581 バナナ,79.3,
指数,1988年6月,全国,0029 果物加工品,83.6,
指数,1988年6月,全国,0030 油脂・調味料,98.9,
指数,1988年6月,全国,0031 油脂,117.5,
指数,1988年6月,全国,1601 食用油,130.4,
指数,1988年6月,全国,1602 マーガリン,80.5,
指数,1988年6月,全国,0032 調味料,97,
指数,1988年6月,全国,1611 食塩,63.2,
指数,1988年6月,全国,1621 しょう油,95.2,
指数,1988年6月,全国,1631 みそ,97.4,
指数,1988年6月,全国,1632 砂糖,117.4,
指数,1988年6月,全国,1633 酢,92.3,
指数,1988年6月,全国,1641 ソース,106.9,
指数,1988年6月,全国,1642 ケチャップ,148.7,
指数,1988年6月,全国,1643 マヨネーズ,108.1,
指数,1988年6月,全国,1652 カレールウ,88.1,
指数,1988年6月,全国,1653 乾燥スープ,85.7,
指数,1988年6月,全国,1654 風味調味料,102.3,
指数,1988年6月,全国,1656 ふりかけ,84.4,
指数,1988年6月,全国,1655 たれ,88.8,
指数,1988年6月,全国,0033 菓子類,71.6,
指数,1988年6月,全国,1701 ようかん,56.3,
指数,1988年6月,全国,1702 まんじゅう,69,
指数,1988年6月,全国,1711 カステラ,74.7,
指数,1988年6月,全国,1712 ケーキ,57.5,
指数,1988年6月,全国,1714 プリン,73.2,
指数,1988年6月,全国,1713 シュークリーム,85.6,
指数,1988年6月,全国,1741 せんべい,85,
指数,1988年6月,全国,1721 ビスケット,61.9,
指数,1988年6月,全国,1783 ポテトチップス,71.3,
指数,1988年6月,全国,1732 キャンデー,69.6,
