指数,年月,地域,カテゴリ,数値,単位
指数,1982年5月,全国,0001 総合,78.8,
指数,1982年5月,全国,0002 食料,71.7,
指数,1982年5月,全国,0003 穀類,86.6,
指数,1982年5月,全国,0004 米類,105.2,
指数,1982年5月,全国,1001 うるち米Ａ,104.6,
指数,1982年5月,全国,1002 うるち米Ｂ,106.1,
指数,1982年5月,全国,0005 パン,73.8,
指数,1982年5月,全国,1021 食パン,76.9,
指数,1982年5月,全国,1022 あんパン,70.6,
指数,1982年5月,全国,0006 麺類,68.6,
指数,1982年5月,全国,1031 ゆでうどん,72.2,
指数,1982年5月,全国,1041 そうめん,59.9,
指数,1982年5月,全国,1051 カップ麺,65.8,
指数,1982年5月,全国,0007 他の穀類,88.3,
指数,1982年5月,全国,1071 小麦粉,72.6,
指数,1982年5月,全国,1081 もち,97.5,
指数,1982年5月,全国,0008 魚介類,68.5,
指数,1982年5月,全国,0009 生鮮魚介,75.7,
指数,1982年5月,全国,1101 まぐろ,90.1,
指数,1982年5月,全国,1102 あじ,123.6,
指数,1982年5月,全国,1103 いわし,37.2,
指数,1982年5月,全国,1104 かつお,78.8,
指数,1982年5月,全国,1106 さけ,81.4,
指数,1982年5月,全国,1107 さば,46.9,
指数,1982年5月,全国,1108 さんま,71.2,
指数,1982年5月,全国,1110 たい,106.2,
指数,1982年5月,全国,1111 ぶり,85.4,
指数,1982年5月,全国,1112 いか,64.3,
指数,1982年5月,全国,1113 たこ,54.2,
指数,1982年5月,全国,1114 えび,119.6,
指数,1982年5月,全国,1131 あさり,47.5,
指数,1982年5月,全国,1133 ほたて貝,76,
指数,1982年5月,全国,0010 塩干魚介,64.6,
指数,1982年5月,全国,1141 塩さけ,75.8,
指数,1982年5月,全国,1142 たらこ,72.1,
指数,1982年5月,全国,1143 しらす干し,46.6,
指数,1982年5月,全国,1144 干しあじ,86.1,
指数,1982年5月,全国,1146 煮干し,53.9,
指数,1982年5月,全国,0011 魚肉練製品,57.9,
指数,1982年5月,全国,1151 揚げかまぼこ,56.2,
指数,1982年5月,全国,1152 ちくわ,60.7,
指数,1982年5月,全国,1153 かまぼこ,55.8,
指数,1982年5月,全国,0012 他の魚介加工品,55.1,
指数,1982年5月,全国,1161 かつお節,70.3,
指数,1982年5月,全国,0013 肉類,71.4,
指数,1982年5月,全国,0014 生鮮肉,67.5,
指数,1982年5月,全国,1201 牛肉（国産品）,55,
指数,1982年5月,全国,1203 牛肉（輸入品）,86.8,
指数,1982年5月,全国,1211 豚肉（国産品）,66,
指数,1982年5月,全国,1221 鶏肉,81.9,
指数,1982年5月,全国,0015 加工肉,89.7,
指数,1982年5月,全国,1252 ハム,99.2,
指数,1982年5月,全国,1261 ソーセージ,87.9,
指数,1982年5月,全国,1271 ベーコン,75.1,
指数,1982年5月,全国,0016 乳卵類,86.9,
指数,1982年5月,全国,0017 牛乳・乳製品,85.1,
指数,1982年5月,全国,0018 牛乳,85.9,
指数,1982年5月,全国,1303 牛乳,101.3,
指数,1982年5月,全国,0019 乳製品,81.4,
