指数,年月,地域,カテゴリ,数値,単位
指数,2000年8月,全国,0001 総合,97.4,
指数,2000年8月,全国,0002 食料,87.1,
指数,2000年8月,全国,0003 穀類,97.9,
指数,2000年8月,全国,0004 米類,108.6,
指数,2000年8月,全国,1001 うるち米Ａ,111.6,
指数,2000年8月,全国,1002 うるち米Ｂ,107.5,
指数,2000年8月,全国,0005 パン,88.5,
指数,2000年8月,全国,1021 食パン,90.5,
指数,2000年8月,全国,1022 あんパン,87.3,
指数,2000年8月,全国,0006 麺類,91.7,
指数,2000年8月,全国,1031 ゆでうどん,95.1,
指数,2000年8月,全国,1041 そうめん,89.5,
指数,2000年8月,全国,1042 スパゲッティ,89.6,
指数,2000年8月,全国,1051 カップ麺,85.9,
指数,2000年8月,全国,1052 中華麺,100.9,
指数,2000年8月,全国,0007 他の穀類,108.1,
指数,2000年8月,全国,1071 小麦粉,73.2,
指数,2000年8月,全国,1081 もち,124.7,
指数,2000年8月,全国,0008 魚介類,78.6,
指数,2000年8月,全国,0009 生鮮魚介,80.7,
指数,2000年8月,全国,1101 まぐろ,98.2,
指数,2000年8月,全国,1102 あじ,102.1,
指数,2000年8月,全国,1103 いわし,89.8,
指数,2000年8月,全国,1104 かつお,78.5,
指数,2000年8月,全国,1106 さけ,66.7,
指数,2000年8月,全国,1107 さば,82.7,
指数,2000年8月,全国,1108 さんま,108.8,
指数,2000年8月,全国,1110 たい,79.6,
指数,2000年8月,全国,1111 ぶり,97.2,
指数,2000年8月,全国,1112 いか,47.3,
指数,2000年8月,全国,1113 たこ,60.8,
指数,2000年8月,全国,1114 えび,96.8,
指数,2000年8月,全国,1131 あさり,75,
指数,2000年8月,全国,1133 ほたて貝,70,
指数,2000年8月,全国,0010 塩干魚介,71.3,
指数,2000年8月,全国,1141 塩さけ,65.4,
指数,2000年8月,全国,1142 たらこ,91.2,
指数,2000年8月,全国,1143 しらす干し,59.2,
指数,2000年8月,全国,1144 干しあじ,75.9,
指数,2000年8月,全国,1146 煮干し,94.8,
指数,2000年8月,全国,1150 ししゃも,67.2,
指数,2000年8月,全国,0011 魚肉練製品,87.7,
指数,2000年8月,全国,1151 揚げかまぼこ,83.4,
指数,2000年8月,全国,1152 ちくわ,90.1,
指数,2000年8月,全国,1153 かまぼこ,89.9,
指数,2000年8月,全国,0012 他の魚介加工品,74.1,
指数,2000年8月,全国,1161 かつお節,81,
指数,2000年8月,全国,1165 魚介漬物,71.7,
指数,2000年8月,全国,1166 魚介つくだ煮,75.3,
指数,2000年8月,全国,1173 魚介缶詰,77,
指数,2000年8月,全国,0013 肉類,77,
指数,2000年8月,全国,0014 生鮮肉,72.5,
指数,2000年8月,全国,1201 牛肉（国産品）,68.4,
指数,2000年8月,全国,1203 牛肉（輸入品）,62.1,
指数,2000年8月,全国,1211 豚肉（国産品）,74.3,
指数,2000年8月,全国,1221 鶏肉,78.6,
指数,2000年8月,全国,0015 加工肉,98.1,
指数,2000年8月,全国,1252 ハム,105.9,
指数,2000年8月,全国,1261 ソーセージ,96.3,
指数,2000年8月,全国,1271 ベーコン,85.7,
指数,2000年8月,全国,0016 乳卵類,86.5,
指数,2000年8月,全国,0017 牛乳・乳製品,89.8,
指数,2000年8月,全国,0018 牛乳,87.9,
指数,2000年8月,全国,1303 牛乳,94.3,
指数,2000年8月,全国,0019 乳製品,93.1,
指数,2000年8月,全国,1311 粉ミルク,97.6,
指数,2000年8月,全国,1333 ヨーグルト,102,
指数,2000年8月,全国,1321 バター,74.3,
指数,2000年8月,全国,1331 チーズ（国産品）,77,
指数,2000年8月,全国,1332 チーズ（輸入品）,80.4,
指数,2000年8月,全国,0020 卵,75.3,
指数,2000年8月,全国,1341 鶏卵,75.3,
指数,2000年8月,全国,0021 野菜・海藻,79.6,
指数,2000年8月,全国,0022 生鮮野菜,73.7,
指数,2000年8月,全国,1401 キャベツ,70.5,
指数,2000年8月,全国,1402 ほうれんそう,103.7,
指数,2000年8月,全国,1403 はくさい,88.7,
指数,2000年8月,全国,1405 ねぎ,82.3,
指数,2000年8月,全国,1406 レタス,100.7,
指数,2000年8月,全国,1409 ブロッコリー,93.4,
指数,2000年8月,全国,1407 もやし,108.3,
指数,2000年8月,全国,1410 アスパラガス,85.4,
指数,2000年8月,全国,1411 さつまいも,86.8,
指数,2000年8月,全国,1412 じゃがいも,62.5,
指数,2000年8月,全国,1413 さといも,78.2,
指数,2000年8月,全国,1414 だいこん,95.8,
指数,2000年8月,全国,1415 にんじん,74.4,
指数,2000年8月,全国,1416 ごぼう,63.2,
指数,2000年8月,全国,1417 たまねぎ,62.5,
指数,2000年8月,全国,1419 れんこん,101.3,
指数,2000年8月,全国,1420 ながいも,80.8,
指数,2000年8月,全国,1430 えだまめ,61,
指数,2000年8月,全国,1432 さやいんげん,58.3,
指数,2000年8月,全国,1433 かぼちゃ,57,
指数,2000年8月,全国,1434 きゅうり,61.7,
指数,2000年8月,全国,1435 なす,49,
指数,2000年8月,全国,1436 トマト,68.9,
指数,2000年8月,全国,1437 ピーマン,48.2,
指数,2000年8月,全国,1438 生しいたけ,112.1,
指数,2000年8月,全国,1442 えのきたけ,101.5,
指数,2000年8月,全国,1443 しめじ,99.4,
指数,2000年8月,全国,0023 乾物・加工品類,89.7,
指数,2000年8月,全国,0024 乾物・海藻,70.1,
指数,2000年8月,全国,1453 干ししいたけ,70.6,
指数,2000年8月,全国,1461 干しのり,84,
指数,2000年8月,全国,1462 わかめ,57.7,
指数,2000年8月,全国,1463 こんぶ,70.2,
指数,2000年8月,全国,0025 大豆加工品,105.7,
指数,2000年8月,全国,1471 豆腐,99.7,
指数,2000年8月,全国,1472 油揚げ,97.1,
指数,2000年8月,全国,1473 納豆,127.6,
指数,2000年8月,全国,0026 他の野菜・海藻加工品,91.1,
指数,2000年8月,全国,1481 こんにゃく,108.3,
指数,2000年8月,全国,1482 梅干し,77,
指数,2000年8月,全国,1483 だいこん漬,88.8,
指数,2000年8月,全国,1486 はくさい漬,86.7,
指数,2000年8月,全国,1487 キムチ,105,
指数,2000年8月,全国,1485 こんぶつくだ煮,83.9,
指数,2000年8月,全国,1491 野菜缶詰,100.8,
指数,2000年8月,全国,0027 果物,73.7,
指数,2000年8月,全国,0028 生鮮果物,72.8,
指数,2000年8月,全国,1515 オレンジ,71.5,
指数,2000年8月,全国,1521 梨,72,
指数,2000年8月,全国,1531 ぶどうＡ,59,
指数,2000年8月,全国,1532 ぶどうＢ,72.4,
指数,2000年8月,全国,1551 桃,63.3,
指数,2000年8月,全国,1561 すいか,58.5,
指数,2000年8月,全国,1563 メロン,66.4,
指数,2000年8月,全国,1581 バナナ,69.7,
指数,2000年8月,全国,1582 キウイフルーツ,72.2,
指数,2000年8月,全国,0029 果物加工品,93.4,
指数,2000年8月,全国,0030 油脂・調味料,103.7,
指数,2000年8月,全国,0031 油脂,112.7,
指数,2000年8月,全国,1601 食用油,126.2,
指数,2000年8月,全国,1602 マーガリン,75.5,
指数,2000年8月,全国,0032 調味料,102.7,
指数,2000年8月,全国,1611 食塩,94.4,
指数,2000年8月,全国,1621 しょう油,106.5,
指数,2000年8月,全国,1631 みそ,105.1,
指数,2000年8月,全国,1632 砂糖,97.6,
指数,2000年8月,全国,1633 酢,102.7,
指数,2000年8月,全国,1641 ソース,118.3,
指数,2000年8月,全国,1642 ケチャップ,136,
