指数,年月,地域,カテゴリ,数値,単位
指数,1994年10月,全国,0001 総合,96.6,
指数,1994年10月,全国,0002 食料,88.7,
指数,1994年10月,全国,0003 穀類,104.1,
指数,1994年10月,全国,0004 米類,123.5,
指数,1994年10月,全国,1001 うるち米Ａ,129.3,
指数,1994年10月,全国,1002 うるち米Ｂ,129.9,
指数,1994年10月,全国,0005 パン,87.5,
指数,1994年10月,全国,1021 食パン,88.1,
指数,1994年10月,全国,1022 あんパン,88.8,
指数,1994年10月,全国,0006 麺類,90.3,
指数,1994年10月,全国,1031 ゆでうどん,94.6,
指数,1994年10月,全国,1041 そうめん,84.1,
指数,1994年10月,全国,1042 スパゲッティ,91.2,
指数,1994年10月,全国,1051 カップ麺,85.3,
指数,1994年10月,全国,1052 中華麺,99.7,
指数,1994年10月,全国,0007 他の穀類,117.1,
指数,1994年10月,全国,1071 小麦粉,76.3,
指数,1994年10月,全国,1081 もち,136.1,
指数,1994年10月,全国,0008 魚介類,75.6,
指数,1994年10月,全国,0009 生鮮魚介,76.3,
指数,1994年10月,全国,1101 まぐろ,98.7,
指数,1994年10月,全国,1102 あじ,102.4,
指数,1994年10月,全国,1103 いわし,61.2,
指数,1994年10月,全国,1104 かつお,88.4,
指数,1994年10月,全国,1106 さけ,61.6,
指数,1994年10月,全国,1107 さば,78.1,
指数,1994年10月,全国,1108 さんま,44.5,
指数,1994年10月,全国,1110 たい,95.8,
指数,1994年10月,全国,1111 ぶり,90.4,
指数,1994年10月,全国,1112 いか,46.4,
指数,1994年10月,全国,1113 たこ,62,
指数,1994年10月,全国,1114 えび,91.6,
指数,1994年10月,全国,1131 あさり,69.6,
指数,1994年10月,全国,1132 かき（貝）,79.3,
指数,1994年10月,全国,1133 ほたて貝,71,
指数,1994年10月,全国,0010 塩干魚介,71.4,
指数,1994年10月,全国,1141 塩さけ,66.7,
指数,1994年10月,全国,1142 たらこ,87.2,
指数,1994年10月,全国,1143 しらす干し,61.9,
指数,1994年10月,全国,1144 干しあじ,75.5,
指数,1994年10月,全国,1146 煮干し,89.1,
指数,1994年10月,全国,1150 ししゃも,79.1,
指数,1994年10月,全国,0011 魚肉練製品,90.5,
指数,1994年10月,全国,1151 揚げかまぼこ,85.7,
指数,1994年10月,全国,1152 ちくわ,95.6,
指数,1994年10月,全国,1153 かまぼこ,91.7,
指数,1994年10月,全国,0012 他の魚介加工品,68.6,
指数,1994年10月,全国,1161 かつお節,79.1,
指数,1994年10月,全国,1165 魚介漬物,64.3,
指数,1994年10月,全国,1166 魚介つくだ煮,67.9,
指数,1994年10月,全国,1173 魚介缶詰,70.6,
指数,1994年10月,全国,0013 肉類,74.2,
指数,1994年10月,全国,0014 生鮮肉,69.6,
指数,1994年10月,全国,1201 牛肉（国産品）,65.2,
指数,1994年10月,全国,1203 牛肉（輸入品）,64.1,
指数,1994年10月,全国,1211 豚肉（国産品）,69.5,
指数,1994年10月,全国,1221 鶏肉,75.2,
指数,1994年10月,全国,0015 加工肉,96.1,
指数,1994年10月,全国,1252 ハム,105.2,
指数,1994年10月,全国,1261 ソーセージ,94.5,
指数,1994年10月,全国,1271 ベーコン,80.3,
指数,1994年10月,全国,0016 乳卵類,88.4,
指数,1994年10月,全国,0017 牛乳・乳製品,92,
指数,1994年10月,全国,0018 牛乳,89.5,
指数,1994年10月,全国,1303 牛乳,97.7,
指数,1994年10月,全国,0019 乳製品,96.6,
指数,1994年10月,全国,1311 粉ミルク,93.1,
指数,1994年10月,全国,1333 ヨーグルト,110,
指数,1994年10月,全国,1321 バター,73.6,
指数,1994年10月,全国,1331 チーズ（国産品）,78.2,
指数,1994年10月,全国,0020 卵,77.2,
指数,1994年10月,全国,1341 鶏卵,77.2,
指数,1994年10月,全国,0021 野菜・海藻,96.4,
指数,1994年10月,全国,0022 生鮮野菜,102.1,
指数,1994年10月,全国,1401 キャベツ,133.4,
指数,1994年10月,全国,1402 ほうれんそう,98.9,
指数,1994年10月,全国,1403 はくさい,109.8,
指数,1994年10月,全国,1405 ねぎ,112.1,
指数,1994年10月,全国,1406 レタス,140.8,
指数,1994年10月,全国,1409 ブロッコリー,121,
指数,1994年10月,全国,1407 もやし,106.7,
指数,1994年10月,全国,1411 さつまいも,67.1,
指数,1994年10月,全国,1412 じゃがいも,60.9,
指数,1994年10月,全国,1413 さといも,78.7,
指数,1994年10月,全国,1414 だいこん,130.6,
指数,1994年10月,全国,1415 にんじん,96.6,
指数,1994年10月,全国,1416 ごぼう,70.2,
指数,1994年10月,全国,1417 たまねぎ,96.8,
指数,1994年10月,全国,1419 れんこん,64.1,
指数,1994年10月,全国,1420 ながいも,144.1,
指数,1994年10月,全国,1432 さやいんげん,71.6,
指数,1994年10月,全国,1433 かぼちゃ,52.3,
指数,1994年10月,全国,1434 きゅうり,83.1,
指数,1994年10月,全国,1435 なす,79.9,
指数,1994年10月,全国,1436 トマト,102.2,
指数,1994年10月,全国,1437 ピーマン,61.5,
指数,1994年10月,全国,1438 生しいたけ,114.4,
指数,1994年10月,全国,1442 えのきたけ,181.4,
指数,1994年10月,全国,0023 乾物・加工品類,88,
指数,1994年10月,全国,0024 乾物・海藻,70.4,
指数,1994年10月,全国,1453 干ししいたけ,74,
指数,1994年10月,全国,1461 干しのり,83.1,
指数,1994年10月,全国,1462 わかめ,55.3,
指数,1994年10月,全国,1463 こんぶ,64.7,
指数,1994年10月,全国,0025 大豆加工品,104.1,
