指数,年月,地域,カテゴリ,数値,単位
指数,2005年2月,全国,0001 総合,95,
指数,2005年2月,全国,0002 食料,86.8,
指数,2005年2月,全国,0003 穀類,93.9,
指数,2005年2月,全国,0004 米類,104.5,
指数,2005年2月,全国,1001 うるち米Ａ,107.1,
指数,2005年2月,全国,1002 うるち米Ｂ,102.9,
指数,2005年2月,全国,0005 パン,85.7,
指数,2005年2月,全国,1021 食パン,88.4,
指数,2005年2月,全国,1022 あんパン,83.2,
指数,2005年2月,全国,1023 カレーパン,84.9,
指数,2005年2月,全国,0006 麺類,86.6,
指数,2005年2月,全国,1031 ゆでうどん,90.7,
指数,2005年2月,全国,1041 そうめん,88.2,
指数,2005年2月,全国,1042 スパゲッティ,86.9,
指数,2005年2月,全国,1051 カップ麺,77.8,
指数,2005年2月,全国,1052 中華麺,94.7,
指数,2005年2月,全国,0007 他の穀類,102.9,
指数,2005年2月,全国,1071 小麦粉,69.5,
指数,2005年2月,全国,1081 もち,118.8,
指数,2005年2月,全国,0008 魚介類,75.6,
指数,2005年2月,全国,0009 生鮮魚介,76.2,
指数,2005年2月,全国,1101 まぐろ,87.9,
指数,2005年2月,全国,1102 あじ,101.6,
指数,2005年2月,全国,1103 いわし,115.7,
指数,2005年2月,全国,1106 さけ,62.1,
指数,2005年2月,全国,1107 さば,103.1,
指数,2005年2月,全国,1108 さんま,49.1,
指数,2005年2月,全国,1110 たい,74,
指数,2005年2月,全国,1111 ぶり,82.2,
指数,2005年2月,全国,1112 いか,57.8,
指数,2005年2月,全国,1113 たこ,68.6,
指数,2005年2月,全国,1114 えび,81.8,
指数,2005年2月,全国,1131 あさり,80.8,
指数,2005年2月,全国,1132 かき（貝）,68.4,
指数,2005年2月,全国,1133 ほたて貝,68.8,
指数,2005年2月,全国,0010 塩干魚介,73.2,
指数,2005年2月,全国,1141 塩さけ,58.7,
指数,2005年2月,全国,1142 たらこ,100.5,
指数,2005年2月,全国,1143 しらす干し,69.2,
指数,2005年2月,全国,1144 干しあじ,76.4,
指数,2005年2月,全国,1146 煮干し,92.8,
指数,2005年2月,全国,1150 ししゃも,64.3,
指数,2005年2月,全国,0011 魚肉練製品,81.1,
指数,2005年2月,全国,1151 揚げかまぼこ,76.8,
指数,2005年2月,全国,1152 ちくわ,81,
指数,2005年2月,全国,1153 かまぼこ,84.9,
指数,2005年2月,全国,0012 他の魚介加工品,72.3,
指数,2005年2月,全国,1161 かつお節,76.7,
指数,2005年2月,全国,1165 魚介漬物,68.9,
指数,2005年2月,全国,1166 魚介つくだ煮,74.4,
指数,2005年2月,全国,1173 魚介缶詰,78,
指数,2005年2月,全国,0013 肉類,81.6,
指数,2005年2月,全国,0014 生鮮肉,78,
指数,2005年2月,全国,1201 牛肉（国産品）,74.6,
指数,2005年2月,全国,1203 牛肉（輸入品）,65.6,
指数,2005年2月,全国,1211 豚肉（国産品）,78.4,
指数,2005年2月,全国,1221 鶏肉,84.4,
指数,2005年2月,全国,0015 加工肉,98.3,
指数,2005年2月,全国,1252 ハム,103.6,
指数,2005年2月,全国,1261 ソーセージ,96.3,
指数,2005年2月,全国,1271 ベーコン,91.9,
指数,2005年2月,全国,0016 乳卵類,89.7,
指数,2005年2月,全国,0017 牛乳・乳製品,88.1,
指数,2005年2月,全国,0018 牛乳,87.2,
指数,2005年2月,全国,1303 牛乳,91.9,
指数,2005年2月,全国,0019 乳製品,89.8,
指数,2005年2月,全国,1311 粉ミルク,94.9,
指数,2005年2月,全国,1333 ヨーグルト,98,
指数,2005年2月,全国,1321 バター,71.6,
指数,2005年2月,全国,1331 チーズ（国産品）,68.6,
指数,2005年2月,全国,1332 チーズ（輸入品）,80.5,
指数,2005年2月,全国,0020 卵,96.5,
指数,2005年2月,全国,1341 鶏卵,96.5,
指数,2005年2月,全国,0021 野菜・海藻,86.8,
指数,2005年2月,全国,0022 生鮮野菜,86.1,
指数,2005年2月,全国,1401 キャベツ,129.1,
指数,2005年2月,全国,1402 ほうれんそう,64.3,
指数,2005年2月,全国,1403 はくさい,75.4,
指数,2005年2月,全国,1405 ねぎ,83.8,
指数,2005年2月,全国,1406 レタス,113,
指数,2005年2月,全国,1409 ブロッコリー,104.2,
指数,2005年2月,全国,1407 もやし,104.9,
指数,2005年2月,全国,1410 アスパラガス,81.4,
指数,2005年2月,全国,1411 さつまいも,66.9,
指数,2005年2月,全国,1412 じゃがいも,65.2,
指数,2005年2月,全国,1413 さといも,53.5,
指数,2005年2月,全国,1414 だいこん,84,
指数,2005年2月,全国,1415 にんじん,77.9,
指数,2005年2月,全国,1416 ごぼう,68.7,
指数,2005年2月,全国,1417 たまねぎ,90.2,
指数,2005年2月,全国,1419 れんこん,67.1,
指数,2005年2月,全国,1420 ながいも,78.2,
指数,2005年2月,全国,1432 さやいんげん,81.4,
指数,2005年2月,全国,1433 かぼちゃ,67.3,
指数,2005年2月,全国,1434 きゅうり,96.4,
指数,2005年2月,全国,1435 なす,93.9,
指数,2005年2月,全国,1436 トマト,88.6,
指数,2005年2月,全国,1437 ピーマン,92.4,
指数,2005年2月,全国,1438 生しいたけ,102.4,
指数,2005年2月,全国,1442 えのきたけ,130.6,
指数,2005年2月,全国,1443 しめじ,124.7,
指数,2005年2月,全国,0023 乾物・加工品類,87.7,
指数,2005年2月,全国,0024 乾物・海藻,71.9,
指数,2005年2月,全国,1453 干ししいたけ,76.1,
指数,2005年2月,全国,1461 干しのり,83.7,
指数,2005年2月,全国,1462 わかめ,59.9,
指数,2005年2月,全国,1463 こんぶ,72.1,
指数,2005年2月,全国,1464 ひじき,47.4,
指数,2005年2月,全国,0025 大豆加工品,100.9,
指数,2005年2月,全国,1471 豆腐,95.5,
指数,2005年2月,全国,1472 油揚げ,93.1,
指数,2005年2月,全国,1473 納豆,120.5,
指数,2005年2月,全国,0026 他の野菜・海藻加工品,88.2,
指数,2005年2月,全国,1481 こんにゃく,100.3,
指数,2005年2月,全国,1482 梅干し,71.8,
指数,2005年2月,全国,1483 だいこん漬,86.3,
指数,2005年2月,全国,1486 はくさい漬,90,
指数,2005年2月,全国,1487 キムチ,104.8,
指数,2005年2月,全国,1485 こんぶつくだ煮,83.1,
指数,2005年2月,全国,1491 野菜缶詰,91.8,
指数,2005年2月,全国,0027 果物,73.7,
指数,2005年2月,全国,0028 生鮮果物,73.2,
指数,2005年2月,全国,1502 りんご,83.9,
指数,2005年2月,全国,1511 みかん,73,
指数,2005年2月,全国,1515 オレンジ,77.2,
指数,2005年2月,全国,1571 いちご,78.7,
指数,2005年2月,全国,1581 バナナ,77.2,
指数,2005年2月,全国,1582 キウイフルーツ,77.6,
指数,2005年2月,全国,0029 果物加工品,82.9,
指数,2005年2月,全国,0030 油脂・調味料,97.9,
指数,2005年2月,全国,0031 油脂,106.4,
指数,2005年2月,全国,1601 食用油,119.2,
指数,2005年2月,全国,1602 マーガリン,71.3,
指数,2005年2月,全国,0032 調味料,96.8,
指数,2005年2月,全国,1611 食塩,94.1,
指数,2005年2月,全国,1621 しょう油,101.2,
指数,2005年2月,全国,1631 みそ,98.4,
指数,2005年2月,全国,1632 砂糖,85.9,
指数,2005年2月,全国,1633 酢,100.8,
指数,2005年2月,全国,1641 ソース,113.5,
指数,2005年2月,全国,1642 ケチャップ,125.8,
指数,2005年2月,全国,1643 マヨネーズ,98,
指数,2005年2月,全国,1644 ジャム,86.5,
指数,2005年2月,全国,1652 カレールウ,89.9,
指数,2005年2月,全国,1653 乾燥スープ,72.6,
指数,2005年2月,全国,1654 風味調味料,103.2,
指数,2005年2月,全国,1656 ふりかけ,97.9,
指数,2005年2月,全国,1655 たれ,99.8,
指数,2005年2月,全国,1657 合わせ調味料,107.8,
指数,2005年2月,全国,0033 菓子類,80.2,
指数,2005年2月,全国,1701 ようかん,82.6,
指数,2005年2月,全国,1702 まんじゅう,75.9,
指数,2005年2月,全国,1703 だいふく餅,77.1,
指数,2005年2月,全国,1711 カステラ,88.6,
指数,2005年2月,全国,1712 ケーキ,71.8,
指数,2005年2月,全国,1784 ゼリー,92.9,
指数,2005年2月,全国,1714 プリン,86.3,
指数,2005年2月,全国,1713 シュークリーム,83,
指数,2005年2月,全国,1741 せんべい,98.3,
指数,2005年2月,全国,1721 ビスケット,83.3,
指数,2005年2月,全国,1783 ポテトチップス,93.6,
指数,2005年2月,全国,1732 キャンデー,74.1,
指数,2005年2月,全国,1761 チョコレート,61.5,
指数,2005年2月,全国,1782 アイスクリーム,83.5,
指数,2005年2月,全国,1772 落花生,73.3,
指数,2005年2月,全国,1781 チューインガム,98.4,
指数,2005年2月,全国,0034 調理食品,84.8,
指数,2005年2月,全国,0035 主食的調理食品,90,
指数,2005年2月,全国,1795 すし（弁当）Ａ,85.9,
指数,2005年2月,全国,1791 弁当Ａ,85.6,
指数,2005年2月,全国,1793 おにぎり,92.7,
指数,2005年2月,全国,1792 調理パン,81.1,
指数,2005年2月,全国,1794 冷凍米飯,116.3,
指数,2005年2月,全国,1796 調理パスタ,109.8,
指数,2005年2月,全国,0036 他の調理食品,81.6,
指数,2005年2月,全国,1801 うなぎかば焼き,46,
指数,2005年2月,全国,1811 サラダ,84.1,
指数,2005年2月,全国,1821 コロッケ,89.8,
指数,2005年2月,全国,1831 豚カツ,91.6,
指数,2005年2月,全国,1842 からあげ,84.7,
指数,2005年2月,全国,1881 ぎょうざ,94.6,
指数,2005年2月,全国,1851 冷凍調理コロッケ,90.7,
指数,2005年2月,全国,1852 冷凍調理ハンバーグ,89.3,
指数,2005年2月,全国,1871 調理カレー,104.8,
指数,2005年2月,全国,1891 混ぜごはんのもと,97.3,
指数,2005年2月,全国,1812 煮豆,81.5,
指数,2005年2月,全国,0037 飲料,110.2,
指数,2005年2月,全国,0038 茶類,113.8,
指数,2005年2月,全国,1902 緑茶,101.2,
指数,2005年2月,全国,1911 紅茶,97.5,
指数,2005年2月,全国,1914 茶飲料,133.3,
指数,2005年2月,全国,0039 コーヒー・ココア,104.5,
指数,2005年2月,全国,1921 インスタントコーヒー,88.2,
指数,2005年2月,全国,1922 コーヒー豆,102.7,
指数,2005年2月,全国,1923 コーヒー飲料Ａ,118.6,
