指数,年月,地域,カテゴリ,数値,単位
指数,2023年6月,全国,0001 総合,105.2,
指数,2023年6月,全国,0002 食料,112.2,
指数,2023年6月,全国,0003 穀類,110.4,
指数,2023年6月,全国,0004 米類,95,
指数,2023年6月,全国,1001 うるち米Ａ,95.3,
指数,2023年6月,全国,1002 うるち米Ｂ,94.8,
指数,2023年6月,全国,0005 パン,114.9,
指数,2023年6月,全国,1021 食パン,115,
指数,2023年6月,全国,1022 あんパン,115.2,
指数,2023年6月,全国,1023 カレーパン,114.3,
指数,2023年6月,全国,0006 麺類,121.3,
指数,2023年6月,全国,1031 ゆでうどん,121.6,
指数,2023年6月,全国,1041 そうめん,109,
指数,2023年6月,全国,1042 スパゲッティ,121.2,
指数,2023年6月,全国,1051 カップ麺,124.3,
指数,2023年6月,全国,1052 中華麺,122.6,
指数,2023年6月,全国,0007 他の穀類,110.6,
指数,2023年6月,全国,1071 小麦粉,123.8,
指数,2023年6月,全国,1081 もち,101.8,
指数,2023年6月,全国,1090 シリアル,115.5,
指数,2023年6月,全国,0008 魚介類,124.2,
指数,2023年6月,全国,0009 生鮮魚介,124,
指数,2023年6月,全国,1101 まぐろ,122.1,
指数,2023年6月,全国,1102 あじ,114.4,
指数,2023年6月,全国,1103 いわし,110.4,
指数,2023年6月,全国,1104 かつお,124.6,
指数,2023年6月,全国,1106 さけ,137.4,
指数,2023年6月,全国,1107 さば,117.2,
指数,2023年6月,全国,1108 さんま,129.8,
指数,2023年6月,全国,1110 たい,117.6,
指数,2023年6月,全国,1111 ぶり,115.6,
指数,2023年6月,全国,1112 いか,128.9,
指数,2023年6月,全国,1113 たこ,130,
指数,2023年6月,全国,1114 えび,107.1,
指数,2023年6月,全国,1131 あさり,143.5,
指数,2023年6月,全国,1133 ほたて貝,130.8,
指数,2023年6月,全国,0010 塩干魚介,125.2,
指数,2023年6月,全国,1141 塩さけ,131.4,
指数,2023年6月,全国,1142 たらこ,119.3,
指数,2023年6月,全国,1143 しらす干し,128.8,
指数,2023年6月,全国,1144 干しあじ,117.4,
指数,2023年6月,全国,1146 煮干し,111.4,
指数,2023年6月,全国,1150 ししゃも,109.8,
指数,2023年6月,全国,1167 いくら,137.5,
指数,2023年6月,全国,0011 魚肉練製品,124.7,
指数,2023年6月,全国,1151 揚げかまぼこ,122,
指数,2023年6月,全国,1152 ちくわ,125.7,
指数,2023年6月,全国,1153 かまぼこ,126.2,
指数,2023年6月,全国,0012 他の魚介加工品,122.8,
指数,2023年6月,全国,1161 かつお節,102.2,
指数,2023年6月,全国,1165 魚介漬物,132.7,
指数,2023年6月,全国,1166 魚介つくだ煮,114.7,
指数,2023年6月,全国,1173 魚介缶詰,121.6,
指数,2023年6月,全国,0013 肉類,111.7,
指数,2023年6月,全国,0014 生鮮肉,112.6,
指数,2023年6月,全国,1201 牛肉（国産品）,104,
指数,2023年6月,全国,1203 牛肉（輸入品）,124.5,
指数,2023年6月,全国,1211 豚肉（国産品）,113.1,
指数,2023年6月,全国,1214 豚肉（輸入品）,112.1,
指数,2023年6月,全国,1221 鶏肉,113.2,
指数,2023年6月,全国,0015 加工肉,107.6,
指数,2023年6月,全国,1252 ハム,106.8,
指数,2023年6月,全国,1261 ソーセージ,109,
指数,2023年6月,全国,1271 ベーコン,106.4,
指数,2023年6月,全国,1292 味付け肉,106.3,
指数,2023年6月,全国,0016 乳卵類,118.7,
指数,2023年6月,全国,0017 牛乳・乳製品,113,
指数,2023年6月,全国,0018 牛乳,109.7,
指数,2023年6月,全国,1303 牛乳,109.7,
指数,2023年6月,全国,0019 乳製品,115.3,
指数,2023年6月,全国,1311 粉ミルク,117,
指数,2023年6月,全国,1333 ヨーグルト,108.7,
指数,2023年6月,全国,1321 バター,111.4,
指数,2023年6月,全国,1331 チーズ（国産品）,134.8,
指数,2023年6月,全国,1332 チーズ（輸入品）,122.6,
指数,2023年6月,全国,0020 卵,141.2,
指数,2023年6月,全国,1341 鶏卵,141.2,
指数,2023年6月,全国,0021 野菜・海藻,103.6,
指数,2023年6月,全国,0022 生鮮野菜,100.5,
指数,2023年6月,全国,1401 キャベツ,97.2,
指数,2023年6月,全国,1402 ほうれんそう,98.9,
指数,2023年6月,全国,1403 はくさい,116.7,
指数,2023年6月,全国,1405 ねぎ,111.4,
指数,2023年6月,全国,1406 レタス,83.7,
指数,2023年6月,全国,1409 ブロッコリー,112.4,
指数,2023年6月,全国,1407 もやし,108,
指数,2023年6月,全国,1410 アスパラガス,116.2,
指数,2023年6月,全国,1411 さつまいも,116,
指数,2023年6月,全国,1412 じゃがいも,110.1,
指数,2023年6月,全国,1413 さといも,161.9,
指数,2023年6月,全国,1414 だいこん,108.4,
指数,2023年6月,全国,1415 にんじん,102.4,
指数,2023年6月,全国,1416 ごぼう,118.2,
指数,2023年6月,全国,1417 たまねぎ,105.8,
指数,2023年6月,全国,1419 れんこん,162,
指数,2023年6月,全国,1420 ながいも,108.2,
指数,2023年6月,全国,1421 しょうが,92,
指数,2023年6月,全国,1430 えだまめ,122.5,
指数,2023年6月,全国,1432 さやいんげん,101.3,
指数,2023年6月,全国,1433 かぼちゃ,149.8,
指数,2023年6月,全国,1434 きゅうり,84.8,
指数,2023年6月,全国,1435 なす,87.1,
指数,2023年6月,全国,1436 トマト,91.5,
指数,2023年6月,全国,1437 ピーマン,88.1,
指数,2023年6月,全国,1438 生しいたけ,107,
指数,2023年6月,全国,1442 えのきたけ,104,
指数,2023年6月,全国,1443 しめじ,99.3,
指数,2023年6月,全国,1444 カット野菜,101.6,
指数,2023年6月,全国,0023 乾物・加工品類,109.7,
指数,2023年6月,全国,0024 乾物・海藻,105.6,
指数,2023年6月,全国,1453 干ししいたけ,102.7,
指数,2023年6月,全国,1461 干しのり,105.8,
指数,2023年6月,全国,1462 わかめ,105.9,
指数,2023年6月,全国,1463 こんぶ,105.9,
指数,2023年6月,全国,1464 ひじき,105.8,
指数,2023年6月,全国,0025 大豆加工品,112.8,
指数,2023年6月,全国,1471 豆腐,115.2,
指数,2023年6月,全国,1472 油揚げ,119.8,
指数,2023年6月,全国,1473 納豆,105.3,
指数,2023年6月,全国,0026 他の野菜・海藻加工品,109.4,
指数,2023年6月,全国,1481 こんにゃく,104.8,
指数,2023年6月,全国,1482 梅干し,103.2,
指数,2023年6月,全国,1483 だいこん漬,111.7,
指数,2023年6月,全国,1486 はくさい漬,105.5,
指数,2023年6月,全国,1487 キムチ,104.7,
指数,2023年6月,全国,1485 こんぶつくだ煮,118.9,
指数,2023年6月,全国,1491 野菜缶詰,129.5,
指数,2023年6月,全国,0027 果物,109.9,
指数,2023年6月,全国,0028 生鮮果物,111.1,
指数,2023年6月,全国,1502 りんご,130.1,
指数,2023年6月,全国,1515 オレンジ,127.8,
指数,2023年6月,全国,1531 ぶどうＡ,132.5,
指数,2023年6月,全国,1561 すいか,114.8,
指数,2023年6月,全国,1563 メロン,112.1,
