指数,年月,地域,カテゴリ,数値,単位
指数,2014年11月,全国,0001 総合,97.9,
指数,2014年11月,全国,0002 食料,91.7,
指数,2014年11月,全国,0003 穀類,93.9,
指数,2014年11月,全国,0004 米類,89.2,
指数,2014年11月,全国,1001 うるち米Ａ,90.6,
指数,2014年11月,全国,1002 うるち米Ｂ,87.7,
指数,2014年11月,全国,0005 パン,96.1,
指数,2014年11月,全国,1021 食パン,97.4,
指数,2014年11月,全国,1022 あんパン,93.4,
指数,2014年11月,全国,1023 カレーパン,97.8,
指数,2014年11月,全国,0006 麺類,94.6,
指数,2014年11月,全国,1031 ゆでうどん,96.1,
指数,2014年11月,全国,1041 そうめん,97.8,
指数,2014年11月,全国,1042 スパゲッティ,92.5,
指数,2014年11月,全国,1051 カップ麺,90.8,
指数,2014年11月,全国,1052 中華麺,97.1,
指数,2014年11月,全国,0007 他の穀類,99.6,
指数,2014年11月,全国,1071 小麦粉,89.5,
指数,2014年11月,全国,1081 もち,104,
指数,2014年11月,全国,0008 魚介類,87.1,
指数,2014年11月,全国,0009 生鮮魚介,87.4,
指数,2014年11月,全国,1101 まぐろ,94.9,
指数,2014年11月,全国,1102 あじ,97.9,
指数,2014年11月,全国,1103 いわし,106.5,
指数,2014年11月,全国,1106 さけ,87.4,
指数,2014年11月,全国,1107 さば,103.1,
指数,2014年11月,全国,1108 さんま,54.1,
指数,2014年11月,全国,1110 たい,88.4,
指数,2014年11月,全国,1111 ぶり,92.9,
指数,2014年11月,全国,1112 いか,52.6,
指数,2014年11月,全国,1113 たこ,82.8,
指数,2014年11月,全国,1114 えび,102,
指数,2014年11月,全国,1131 あさり,97.7,
指数,2014年11月,全国,1132 かき（貝）,106.9,
指数,2014年11月,全国,1133 ほたて貝,90,
指数,2014年11月,全国,0010 塩干魚介,82.5,
指数,2014年11月,全国,1141 塩さけ,81.1,
指数,2014年11月,全国,1142 たらこ,89.8,
指数,2014年11月,全国,1143 しらす干し,76.4,
指数,2014年11月,全国,1144 干しあじ,89.3,
指数,2014年11月,全国,1146 煮干し,91.7,
指数,2014年11月,全国,1150 ししゃも,70,
指数,2014年11月,全国,1167 いくら,74.7,
指数,2014年11月,全国,0011 魚肉練製品,93.6,
指数,2014年11月,全国,1151 揚げかまぼこ,92.1,
指数,2014年11月,全国,1152 ちくわ,93,
指数,2014年11月,全国,1153 かまぼこ,95.2,
指数,2014年11月,全国,0012 他の魚介加工品,88.1,
指数,2014年11月,全国,1161 かつお節,93.9,
指数,2014年11月,全国,1165 魚介漬物,85.9,
指数,2014年11月,全国,1166 魚介つくだ煮,83,
指数,2014年11月,全国,1173 魚介缶詰,95.6,
指数,2014年11月,全国,0013 肉類,93,
指数,2014年11月,全国,0014 生鮮肉,89.6,
指数,2014年11月,全国,1201 牛肉（国産品）,84.5,
指数,2014年11月,全国,1203 牛肉（輸入品）,79.9,
指数,2014年11月,全国,1211 豚肉（国産品）,88.5,
指数,2014年11月,全国,1221 鶏肉,96.7,
指数,2014年11月,全国,0015 加工肉,108,
指数,2014年11月,全国,1252 ハム,108.2,
指数,2014年11月,全国,1261 ソーセージ,109.1,
指数,2014年11月,全国,1271 ベーコン,104.7,
指数,2014年11月,全国,0016 乳卵類,94.6,
指数,2014年11月,全国,0017 牛乳・乳製品,93.2,
指数,2014年11月,全国,0018 牛乳,94.6,
指数,2014年11月,全国,1303 牛乳,94.8,
指数,2014年11月,全国,0019 乳製品,92.2,
指数,2014年11月,全国,1311 粉ミルク,100.8,
指数,2014年11月,全国,1333 ヨーグルト,89.5,
指数,2014年11月,全国,1321 バター,95.1,
指数,2014年11月,全国,1331 チーズ（国産品）,99.1,
指数,2014年11月,全国,1332 チーズ（輸入品）,94.8,
指数,2014年11月,全国,0020 卵,99.8,
指数,2014年11月,全国,1341 鶏卵,99.8,
指数,2014年11月,全国,0021 野菜・海藻,85.3,
指数,2014年11月,全国,0022 生鮮野菜,82.2,
指数,2014年11月,全国,1401 キャベツ,65,
指数,2014年11月,全国,1402 ほうれんそう,77,
指数,2014年11月,全国,1403 はくさい,66.3,
指数,2014年11月,全国,1405 ねぎ,66.2,
指数,2014年11月,全国,1406 レタス,71.3,
指数,2014年11月,全国,1409 ブロッコリー,79.2,
指数,2014年11月,全国,1407 もやし,92,
指数,2014年11月,全国,1410 アスパラガス,94.4,
指数,2014年11月,全国,1411 さつまいも,76.7,
指数,2014年11月,全国,1412 じゃがいも,74.7,
指数,2014年11月,全国,1413 さといも,73.6,
指数,2014年11月,全国,1414 だいこん,69.6,
指数,2014年11月,全国,1415 にんじん,76.6,
指数,2014年11月,全国,1416 ごぼう,89.6,
指数,2014年11月,全国,1417 たまねぎ,97.9,
指数,2014年11月,全国,1419 れんこん,78.6,
指数,2014年11月,全国,1420 ながいも,103.4,
指数,2014年11月,全国,1421 しょうが,92,
指数,2014年11月,全国,1432 さやいんげん,87.6,
指数,2014年11月,全国,1433 かぼちゃ,86.2,
指数,2014年11月,全国,1434 きゅうり,90.2,
指数,2014年11月,全国,1435 なす,80.6,
指数,2014年11月,全国,1436 トマト,88.4,
指数,2014年11月,全国,1437 ピーマン,70.4,
指数,2014年11月,全国,1438 生しいたけ,99,
指数,2014年11月,全国,1442 えのきたけ,103.2,
指数,2014年11月,全国,1443 しめじ,110.2,
指数,2014年11月,全国,0023 乾物・加工品類,90.6,
指数,2014年11月,全国,0024 乾物・海藻,83.3,
指数,2014年11月,全国,1453 干ししいたけ,87.8,
指数,2014年11月,全国,1461 干しのり,84.1,
指数,2014年11月,全国,1462 わかめ,83,
指数,2014年11月,全国,1463 こんぶ,88.4,
指数,2014年11月,全国,1464 ひじき,74.5,
指数,2014年11月,全国,0025 大豆加工品,97.7,
指数,2014年11月,全国,1471 豆腐,97.5,
指数,2014年11月,全国,1472 油揚げ,98.3,
指数,2014年11月,全国,1473 納豆,97.6,
指数,2014年11月,全国,0026 他の野菜・海藻加工品,89.4,
指数,2014年11月,全国,1481 こんにゃく,101.3,
指数,2014年11月,全国,1482 梅干し,72.1,
指数,2014年11月,全国,1483 だいこん漬,85.5,
指数,2014年11月,全国,1486 はくさい漬,87.6,
指数,2014年11月,全国,1487 キムチ,99.2,
指数,2014年11月,全国,1485 こんぶつくだ煮,95.3,
