指数,年月,地域,カテゴリ,数値,単位
指数,1981年7月,全国,0001 総合,76.8,
指数,1981年7月,全国,0002 食料,70.6,
指数,1981年7月,全国,0003 穀類,83.7,
指数,1981年7月,全国,0004 米類,101.2,
指数,1981年7月,全国,1001 うるち米Ａ,99.8,
指数,1981年7月,全国,1002 うるち米Ｂ,102,
指数,1981年7月,全国,0005 パン,71.8,
指数,1981年7月,全国,1021 食パン,74.9,
指数,1981年7月,全国,1022 あんパン,68.7,
指数,1981年7月,全国,0006 麺類,67.6,
指数,1981年7月,全国,1031 ゆでうどん,70.8,
指数,1981年7月,全国,1041 そうめん,58.4,
指数,1981年7月,全国,1051 カップ麺,65.5,
指数,1981年7月,全国,0007 他の穀類,83.2,
指数,1981年7月,全国,1071 小麦粉,71.4,
指数,1981年7月,全国,1081 もち,89.8,
指数,1981年7月,全国,0008 魚介類,65.3,
指数,1981年7月,全国,0009 生鮮魚介,71.2,
指数,1981年7月,全国,1101 まぐろ,79.4,
指数,1981年7月,全国,1102 あじ,148.4,
指数,1981年7月,全国,1103 いわし,39.5,
指数,1981年7月,全国,1104 かつお,76.2,
指数,1981年7月,全国,1106 さけ,81.2,
指数,1981年7月,全国,1107 さば,48.9,
指数,1981年7月,全国,1108 さんま,53.9,
指数,1981年7月,全国,1110 たい,106.2,
指数,1981年7月,全国,1111 ぶり,82.6,
指数,1981年7月,全国,1112 いか,51.3,
指数,1981年7月,全国,1113 たこ,60.1,
指数,1981年7月,全国,1114 えび,109.5,
指数,1981年7月,全国,1131 あさり,49.2,
指数,1981年7月,全国,1133 ほたて貝,81.5,
指数,1981年7月,全国,0010 塩干魚介,62.9,
指数,1981年7月,全国,1141 塩さけ,73.6,
指数,1981年7月,全国,1142 たらこ,69.9,
指数,1981年7月,全国,1143 しらす干し,44.1,
指数,1981年7月,全国,1144 干しあじ,88.9,
指数,1981年7月,全国,1146 煮干し,52.7,
指数,1981年7月,全国,0011 魚肉練製品,57.6,
指数,1981年7月,全国,1151 揚げかまぼこ,55.6,
指数,1981年7月,全国,1152 ちくわ,60.3,
指数,1981年7月,全国,1153 かまぼこ,55.7,
指数,1981年7月,全国,0012 他の魚介加工品,51.8,
指数,1981年7月,全国,1161 かつお節,69,
指数,1981年7月,全国,0013 肉類,71.3,
指数,1981年7月,全国,0014 生鮮肉,67.4,
指数,1981年7月,全国,1201 牛肉（国産品）,54.6,
指数,1981年7月,全国,1203 牛肉（輸入品）,88.9,
指数,1981年7月,全国,1211 豚肉（国産品）,65.8,
指数,1981年7月,全国,1221 鶏肉,82.3,
指数,1981年7月,全国,0015 加工肉,89.6,
指数,1981年7月,全国,1252 ハム,99.5,
指数,1981年7月,全国,1261 ソーセージ,87.8,
