指数,年月,地域,カテゴリ,数値,単位
指数,1970年12月,全国,0001 総合,31.9,
指数,1970年12月,全国,0002 食料,29.6,
指数,1970年12月,全国,0003 穀類,34.1,
指数,1970年12月,全国,0004 米類,41.9,
指数,1970年12月,全国,0005 パン,27.6,
指数,1970年12月,全国,1021 食パン,29.2,
指数,1970年12月,全国,1022 あんパン,25,
指数,1970年12月,全国,0006 麺類,25.6,
指数,1970年12月,全国,1041 そうめん,19.2,
指数,1970年12月,全国,1051 カップ麺,29.9,
指数,1970年12月,全国,0007 他の穀類,37.6,
指数,1970年12月,全国,1071 小麦粉,30.3,
指数,1970年12月,全国,0008 魚介類,22.4,
指数,1970年12月,全国,0009 生鮮魚介,24.8,
指数,1970年12月,全国,1101 まぐろ,33.9,
指数,1970年12月,全国,1102 あじ,28.4,
指数,1970年12月,全国,1103 いわし,38,
指数,1970年12月,全国,1104 かつお,29.8,
指数,1970年12月,全国,1106 さけ,26.7,
指数,1970年12月,全国,1107 さば,14.7,
指数,1970年12月,全国,1108 さんま,30.5,
指数,1970年12月,全国,1110 たい,38,
指数,1970年12月,全国,1111 ぶり,41.2,
指数,1970年12月,全国,1112 いか,17.1,
指数,1970年12月,全国,1113 たこ,20.3,
指数,1970年12月,全国,1131 あさり,7.5,
指数,1970年12月,全国,1132 かき（貝）,21.7,
指数,1970年12月,全国,0010 塩干魚介,21.1,
指数,1970年12月,全国,1141 塩さけ,25.5,
指数,1970年12月,全国,1142 たらこ,18.7,
指数,1970年12月,全国,1143 しらす干し,16.8,
指数,1970年12月,全国,1146 煮干し,20.2,
指数,1970年12月,全国,0011 魚肉練製品,19,
指数,1970年12月,全国,1151 揚げかまぼこ,14.2,
指数,1970年12月,全国,1152 ちくわ,17,
指数,1970年12月,全国,1153 かまぼこ,23.3,
指数,1970年12月,全国,0012 他の魚介加工品,18.6,
指数,1970年12月,全国,1161 かつお節,29.8,
指数,1970年12月,全国,0013 肉類,34.8,
指数,1970年12月,全国,0014 生鮮肉,32.8,
指数,1970年12月,全国,1201 牛肉（国産品）,20,
指数,1970年12月,全国,1211 豚肉（国産品）,35.1,
指数,1970年12月,全国,1221 鶏肉,49.5,
指数,1970年12月,全国,0015 加工肉,43.9,
指数,1970年12月,全国,1261 ソーセージ,41.1,
指数,1970年12月,全国,0016 乳卵類,49,
指数,1970年12月,全国,0017 牛乳・乳製品,40.2,
指数,1970年12月,全国,0018 牛乳,40.3,
指数,1970年12月,全国,0019 乳製品,40.5,
指数,1970年12月,全国,1311 粉ミルク,24.6,
指数,1970年12月,全国,1321 バター,35.3,
指数,1970年12月,全国,1331 チーズ（国産品）,37.1,
指数,1970年12月,全国,0020 卵,69,
指数,1970年12月,全国,1341 鶏卵,69,
指数,1970年12月,全国,0021 野菜・海藻,24.2,
指数,1970年12月,全国,0022 生鮮野菜,25.5,
指数,1970年12月,全国,1401 キャベツ,39.7,
指数,1970年12月,全国,1402 ほうれんそう,11.7,
指数,1970年12月,全国,1403 はくさい,18.6,
指数,1970年12月,全国,1405 ねぎ,15.1,
指数,1970年12月,全国,1406 レタス,52.4,
指数,1970年12月,全国,1411 さつまいも,14.3,
指数,1970年12月,全国,1412 じゃがいも,16,
指数,1970年12月,全国,1413 さといも,15.5,
指数,1970年12月,全国,1414 だいこん,24.3,
指数,1970年12月,全国,1415 にんじん,21.8,
指数,1970年12月,全国,1416 ごぼう,19.2,
指数,1970年12月,全国,1417 たまねぎ,45.5,
指数,1970年12月,全国,1419 れんこん,26.5,
指数,1970年12月,全国,1433 かぼちゃ,21.5,
指数,1970年12月,全国,1434 きゅうり,41.1,
指数,1970年12月,全国,1435 なす,59.6,
指数,1970年12月,全国,1436 トマト,37.5,
指数,1970年12月,全国,1437 ピーマン,23.3,
指数,1970年12月,全国,0023 乾物・加工品類,22.7,
指数,1970年12月,全国,0024 乾物・海藻,25,
指数,1970年12月,全国,1453 干ししいたけ,24.4,
指数,1970年12月,全国,1461 干しのり,45.3,
指数,1970年12月,全国,1462 わかめ,21,
指数,1970年12月,全国,1463 こんぶ,11.7,
指数,1970年12月,全国,0025 大豆加工品,27.8,
指数,1970年12月,全国,1471 豆腐,28.3,
指数,1970年12月,全国,1472 油揚げ,25.1,
指数,1970年12月,全国,1473 納豆,30,
指数,1970年12月,全国,0026 他の野菜・海藻加工品,17.4,
指数,1970年12月,全国,1481 こんにゃく,21.9,
指数,1970年12月,全国,1482 梅干し,16.6,
指数,1970年12月,全国,1483 だいこん漬,19.1,
指数,1970年12月,全国,1485 こんぶつくだ煮,12.4,
指数,1970年12月,全国,0027 果物,25.1,
指数,1970年12月,全国,0028 生鮮果物,24.3,
指数,1970年12月,全国,1502 りんご,24.1,
指数,1970年12月,全国,1511 みかん,19.9,
指数,1970年12月,全国,1541 柿,25.5,
指数,1970年12月,全国,1581 バナナ,46,
指数,1970年12月,全国,0029 果物加工品,51,
指数,1970年12月,全国,0030 油脂・調味料,49.3,
指数,1970年12月,全国,0031 油脂,69,
指数,1970年12月,全国,1601 食用油,75.7,
指数,1970年12月,全国,1602 マーガリン,49,
指数,1970年12月,全国,0032 調味料,46.4,
指数,1970年12月,全国,1611 食塩,25.7,
指数,1970年12月,全国,1621 しょう油,46.3,
指数,1970年12月,全国,1631 みそ,41.5,
指数,1970年12月,全国,1632 砂糖,64.7,
指数,1970年12月,全国,1633 酢,48.9,
指数,1970年12月,全国,1641 ソース,54.1,
指数,1970年12月,全国,1642 ケチャップ,67.8,
指数,1970年12月,全国,1643 マヨネーズ,58.2,
指数,1970年12月,全国,1652 カレールウ,37.6,
指数,1970年12月,全国,1653 乾燥スープ,37.4,
指数,1970年12月,全国,0033 菓子類,27.4,
指数,1970年12月,全国,1701 ようかん,18.6,
指数,1970年12月,全国,1711 カステラ,28.1,
指数,1970年12月,全国,1713 シュークリーム,31,
指数,1970年12月,全国,1741 せんべい,38.2,
指数,1970年12月,全国,1721 ビスケット,25.8,
指数,1970年12月,全国,1732 キャンデー,25,
指数,1970年12月,全国,1761 チョコレート,53,
指数,1970年12月,全国,1782 アイスクリーム,34.9,
指数,1970年12月,全国,1772 落花生,39,
指数,1970年12月,全国,1781 チューインガム,37.6,
指数,1970年12月,全国,0034 調理食品,24.9,
指数,1970年12月,全国,0036 他の調理食品,24.5,
指数,1970年12月,全国,1801 うなぎかば焼き,18.3,
指数,1970年12月,全国,1811 サラダ,17.9,
指数,1970年12月,全国,1821 コロッケ,22.3,
指数,1970年12月,全国,0037 飲料,54.1,
指数,1970年12月,全国,0038 茶類,42.8,
指数,1970年12月,全国,1902 緑茶,30.2,
指数,1970年12月,全国,1911 紅茶,66.5,
指数,1970年12月,全国,0039 コーヒー・ココア,53.7,
指数,1970年12月,全国,1921 インスタントコーヒー,50.4,
指数,1970年12月,全国,0040 他の飲料,59.9,
指数,1970年12月,全国,1931 果汁入り飲料,73.7,
指数,1970年12月,全国,1951 炭酸飲料,71.9,
指数,1970年12月,全国,0041 酒類,45.5,
指数,1970年12月,全国,2003 清酒,48.1,
指数,1970年12月,全国,2011 焼酎,29.6,
指数,1970年12月,全国,2021 ビール,44.2,
指数,1970年12月,全国,2033 ウイスキー,66.8,
指数,1970年12月,全国,0042 外食,23.9,
指数,1970年12月,全国,0043 一般外食,23.7,
指数,1970年12月,全国,2101 うどん（外食）,14.6,
指数,1970年12月,全国,2102 中華そば（外食）,17.2,
指数,1970年12月,全国,2121 すし（外食）Ｂ,21.5,
指数,1970年12月,全国,2133 カレーライス（外食）,21.4,
指数,1970年12月,全国,2162 コーヒー（外食）Ａ,23.2,
指数,1970年12月,全国,2171 ビール（外食）,29.7,
指数,1970年12月,全国,0045 住居,27.3,
指数,1970年12月,全国,0046 家賃,29.7,
指数,1970年12月,全国,0047 民営家賃,33.9,
指数,1970年12月,全国,3000 民営家賃,33.9,
指数,1970年12月,全国,0048 公営・都市再生機構・公社家賃,21,
指数,1970年12月,全国,3016 公営家賃,22.1,
指数,1970年12月,全国,3017 都市再生機構・公社家賃,19.7,
指数,1970年12月,全国,0050 持家の帰属家賃,29,
指数,1970年12月,全国,3030 持家の帰属家賃,29,
指数,1970年12月,全国,0051 設備修繕・維持,19.3,
指数,1970年12月,全国,0052 設備材料,32.2,
指数,1970年12月,全国,3121 修繕材料,16.8,
指数,1970年12月,全国,0053 工事その他のサービス,17,
指数,1970年12月,全国,3151 畳替え代,18.9,
指数,1970年12月,全国,3176 水道工事費,6.7,
指数,1970年12月,全国,3175 塀工事費,14.4,
指数,1970年12月,全国,3171 ふすま張替費,14.4,
指数,1970年12月,全国,3172 大工手間代,16.1,
指数,1970年12月,全国,3180 火災・地震保険料,40.5,
指数,1970年12月,全国,0054 光熱・水道,31,
指数,1970年12月,全国,0056 電気代,54.9,
指数,1970年12月,全国,3500 電気代,54.9,
指数,1970年12月,全国,0057 ガス代,26.3,
指数,1970年12月,全国,3600 都市ガス代,32.5,
指数,1970年12月,全国,3612 プロパンガス,19.9,
指数,1970年12月,全国,0058 他の光熱,19.1,
指数,1970年12月,全国,3701 灯油,21,
指数,1970年12月,全国,3810 水道料,19.9,
指数,1970年12月,全国,0060 家具・家事用品,74.2,
指数,1970年12月,全国,0061 家庭用耐久財,211.9,
指数,1970年12月,全国,0062 家事用耐久財,600.7,
指数,1970年12月,全国,4002 電気炊飯器,227.9,
指数,1970年12月,全国,4011 ガステーブル,101.2,
指数,1970年12月,全国,4021 電気冷蔵庫,2094.5,
指数,1970年12月,全国,4032 電気掃除機,661.4,
指数,1970年12月,全国,0063 冷暖房用器具,192.9,
指数,1970年12月,全国,4072 温風ヒーター,89.6,
指数,1970年12月,全国,0064 一般家具,33.4,
指数,1970年12月,全国,0066 室内装備品,74.8,
指数,1970年12月,全国,4121 カーペット,114.1,
指数,1970年12月,全国,4141 カーテン,37.2,
指数,1970年12月,全国,0070 寝具類,60.1,
指数,1970年12月,全国,4211 布団,90.3,
指数,1970年12月,全国,4251 敷布,34.2,
指数,1970年12月,全国,0073 家事雑貨,29.5,
指数,1970年12月,全国,0074 食器類,20.3,
指数,1970年12月,全国,4301 茶わん,15.8,
指数,1970年12月,全国,4302 皿,23.1,
指数,1970年12月,全国,0075 台所用品,31.8,
指数,1970年12月,全国,4331 鍋,27.2,
指数,1970年12月,全国,4342 スポンジたわし,21.6,
指数,1970年12月,全国,0076 他の家事雑貨,37.3,
指数,1970年12月,全国,4352 電球・ランプ,63.9,
指数,1970年12月,全国,4361 タオル,28.8,
指数,1970年12月,全国,0077 家事用消耗品,68.2,
指数,1970年12月,全国,0078 ティシュ・トイレットペーパー,58,
指数,1970年12月,全国,0079 洗剤,91.6,
指数,1970年12月,全国,4431 台所用洗剤,100.1,
指数,1970年12月,全国,4441 洗濯用洗剤,103.9,
指数,1970年12月,全国,0080 他の家事用消耗品,59.5,
指数,1970年12月,全国,4451 殺虫剤,60.9,
指数,1970年12月,全国,0081 家事サービス,18.7,
指数,1970年12月,全国,0174 家事代行料,17.4,
指数,1970年12月,全国,4501 家事代行料,17.4,
指数,1970年12月,全国,0175 清掃代,18.1,
指数,1970年12月,全国,0082 被服及び履物,29.4,
指数,1970年12月,全国,0083 衣料,27.9,
指数,1970年12月,全国,0084 和服,24,
指数,1970年12月,全国,5011 婦人用着物,21.9,
指数,1970年12月,全国,5041 婦人用帯,21.4,
指数,1970年12月,全国,0085 洋服,29.5,
指数,1970年12月,全国,0086 男子用洋服,32.1,
指数,1970年12月,全国,5102 背広服（秋冬物，中級品）,36,
指数,1970年12月,全国,5121 男子用ズボン（秋冬物）,28.5,
指数,1970年12月,全国,5131 男子用コート,34.5,
指数,1970年12月,全国,5141 男子用学校制服,23.6,
指数,1970年12月,全国,0087 婦人用洋服,20.1,
指数,1970年12月,全国,5162 婦人用スーツ（秋冬物，中級品）,20.7,
指数,1970年12月,全国,5182 婦人用コート,21.6,
指数,1970年12月,全国,0089 シャツ・セーター・下着類,32.2,
指数,1970年12月,全国,0090 シャツ・セーター類,31.2,
指数,1970年12月,全国,0091 男子用シャツ・セーター類,34.5,
指数,1970年12月,全国,5202 ワイシャツ,44.3,
指数,1970年12月,全国,0092 婦人用シャツ・セーター類,27,
指数,1970年12月,全国,5241 婦人用セーター（長袖）,26.4,
指数,1970年12月,全国,0094 下着類,31.8,
指数,1970年12月,全国,0095 男子用下着類,40.2,
指数,1970年12月,全国,5301 男子用シャツ（半袖）,39.1,
指数,1970年12月,全国,5311 男子用パンツ,37.9,
指数,1970年12月,全国,0096 婦人用下着類,24.7,
指数,1970年12月,全国,5351 婦人用ショーツ,35.5,
指数,1970年12月,全国,5361 ランジェリー,22.4,
指数,1970年12月,全国,0097 子供用下着類,36.6,
指数,1970年12月,全国,0098 履物類,27.6,
指数,1970年12月,全国,5601 男子靴,30.5,
指数,1970年12月,全国,5611 婦人靴,26.8,
指数,1970年12月,全国,5641 子供靴,22.8,
指数,1970年12月,全国,5631 運動靴,31.6,
指数,1970年12月,全国,5671 サンダル,26.2,
指数,1970年12月,全国,0103 他の被服,39.2,
指数,1970年12月,全国,5501 帽子,21.9,
指数,1970年12月,全国,5511 ネクタイ,44.9,
指数,1970年12月,全国,5521 男子用靴下,40.9,
指数,1970年12月,全国,5531 婦人用ストッキング,115.4,
指数,1970年12月,全国,5541 婦人用ソックス,47.5,
指数,1970年12月,全国,0106 被服関連サービス,24.6,
指数,1970年12月,全国,5711 クリーニング代Ａ,21.3,
指数,1970年12月,全国,5712 クリーニング代Ｂ,31.2,
指数,1970年12月,全国,5721 履物修理代,13.5,
