指数,年月,地域,カテゴリ,数値,単位
指数,2002年6月,全国,0001 総合,96,
指数,2002年6月,全国,0002 食料,86.3,
指数,2002年6月,全国,0003 穀類,95.1,
指数,2002年6月,全国,0004 米類,104.3,
指数,2002年6月,全国,1001 うるち米Ａ,105.8,
指数,2002年6月,全国,1002 うるち米Ｂ,103.9,
指数,2002年6月,全国,0005 パン,87.5,
指数,2002年6月,全国,1021 食パン,90.3,
指数,2002年6月,全国,1022 あんパン,84.9,
指数,2002年6月,全国,0006 麺類,88.8,
指数,2002年6月,全国,1031 ゆでうどん,92.8,
指数,2002年6月,全国,1041 そうめん,90.7,
指数,2002年6月,全国,1042 スパゲッティ,87.5,
指数,2002年6月,全国,1051 カップ麺,79.4,
指数,2002年6月,全国,1052 中華麺,98.4,
指数,2002年6月,全国,0007 他の穀類,105,
指数,2002年6月,全国,1071 小麦粉,72.1,
指数,2002年6月,全国,1081 もち,120.6,
指数,2002年6月,全国,0008 魚介類,78.5,
指数,2002年6月,全国,0009 生鮮魚介,80.8,
指数,2002年6月,全国,1101 まぐろ,94.1,
指数,2002年6月,全国,1102 あじ,99.7,
指数,2002年6月,全国,1103 いわし,122.1,
指数,2002年6月,全国,1104 かつお,105.5,
指数,2002年6月,全国,1106 さけ,62.3,
指数,2002年6月,全国,1107 さば,85.5,
指数,2002年6月,全国,1108 さんま,55.4,
指数,2002年6月,全国,1110 たい,75.1,
指数,2002年6月,全国,1111 ぶり,84.3,
指数,2002年6月,全国,1112 いか,56.8,
指数,2002年6月,全国,1113 たこ,62.6,
指数,2002年6月,全国,1114 えび,92.5,
指数,2002年6月,全国,1131 あさり,74.9,
指数,2002年6月,全国,1133 ほたて貝,66,
指数,2002年6月,全国,0010 塩干魚介,72.2,
指数,2002年6月,全国,1141 塩さけ,59.7,
指数,2002年6月,全国,1142 たらこ,100.6,
指数,2002年6月,全国,1143 しらす干し,63.6,
指数,2002年6月,全国,1144 干しあじ,74.4,
指数,2002年6月,全国,1146 煮干し,95.2,
指数,2002年6月,全国,1150 ししゃも,62.1,
指数,2002年6月,全国,0011 魚肉練製品,84.8,
指数,2002年6月,全国,1151 揚げかまぼこ,81.6,
指数,2002年6月,全国,1152 ちくわ,86.1,
指数,2002年6月,全国,1153 かまぼこ,86.7,
指数,2002年6月,全国,0012 他の魚介加工品,73.4,
指数,2002年6月,全国,1161 かつお節,76.9,
指数,2002年6月,全国,1165 魚介漬物,70.5,
指数,2002年6月,全国,1166 魚介つくだ煮,75.3,
指数,2002年6月,全国,1173 魚介缶詰,78,
指数,2002年6月,全国,0013 肉類,77.2,
指数,2002年6月,全国,0014 生鮮肉,72.8,
指数,2002年6月,全国,1201 牛肉（国産品）,67.2,
指数,2002年6月,全国,1203 牛肉（輸入品）,57.8,
指数,2002年6月,全国,1211 豚肉（国産品）,75.5,
指数,2002年6月,全国,1221 鶏肉,83.3,
指数,2002年6月,全国,0015 加工肉,98.4,
指数,2002年6月,全国,1252 ハム,105.2,
指数,2002年6月,全国,1261 ソーセージ,95.5,
指数,2002年6月,全国,1271 ベーコン,91.4,
指数,2002年6月,全国,0016 乳卵類,85.4,
指数,2002年6月,全国,0017 牛乳・乳製品,88.5,
指数,2002年6月,全国,0018 牛乳,87.4,
指数,2002年6月,全国,1303 牛乳,93.1,
指数,2002年6月,全国,0019 乳製品,90.6,
指数,2002年6月,全国,1311 粉ミルク,96.4,
指数,2002年6月,全国,1333 ヨーグルト,99.1,
指数,2002年6月,全国,1321 バター,71.5,
指数,2002年6月,全国,1331 チーズ（国産品）,71.4,
指数,2002年6月,全国,1332 チーズ（輸入品）,79.8,
指数,2002年6月,全国,0020 卵,75.1,
指数,2002年6月,全国,1341 鶏卵,75.1,
指数,2002年6月,全国,0021 野菜・海藻,80.8,
指数,2002年6月,全国,0022 生鮮野菜,76.2,
指数,2002年6月,全国,1401 キャベツ,89.5,
指数,2002年6月,全国,1402 ほうれんそう,63.4,
指数,2002年6月,全国,1403 はくさい,102,
指数,2002年6月,全国,1405 ねぎ,83.9,
指数,2002年6月,全国,1406 レタス,90.4,
指数,2002年6月,全国,1409 ブロッコリー,91.6,
指数,2002年6月,全国,1407 もやし,105.8,
指数,2002年6月,全国,1410 アスパラガス,81.6,
指数,2002年6月,全国,1411 さつまいも,88.2,
指数,2002年6月,全国,1412 じゃがいも,61.5,
指数,2002年6月,全国,1413 さといも,81.1,
指数,2002年6月,全国,1414 だいこん,89.5,
指数,2002年6月,全国,1415 にんじん,65.4,
指数,2002年6月,全国,1416 ごぼう,78.9,
指数,2002年6月,全国,1417 たまねぎ,60,
指数,2002年6月,全国,1419 れんこん,98.1,
指数,2002年6月,全国,1420 ながいも,98.4,
指数,2002年6月,全国,1430 えだまめ,91.4,
指数,2002年6月,全国,1432 さやいんげん,57.3,
指数,2002年6月,全国,1433 かぼちゃ,79.9,
指数,2002年6月,全国,1434 きゅうり,55.6,
指数,2002年6月,全国,1435 なす,68.4,
指数,2002年6月,全国,1436 トマト,64.3,
指数,2002年6月,全国,1437 ピーマン,53.8,
指数,2002年6月,全国,1438 生しいたけ,100.7,
指数,2002年6月,全国,1442 えのきたけ,107.2,
指数,2002年6月,全国,1443 しめじ,102.2,
指数,2002年6月,全国,0023 乾物・加工品類,88.9,
指数,2002年6月,全国,0024 乾物・海藻,70.4,
指数,2002年6月,全国,1453 干ししいたけ,69.3,
指数,2002年6月,全国,1461 干しのり,84.4,
指数,2002年6月,全国,1462 わかめ,56.6,
指数,2002年6月,全国,1463 こんぶ,72.2,
指数,2002年6月,全国,0025 大豆加工品,104,
指数,2002年6月,全国,1471 豆腐,96.7,
指数,2002年6月,全国,1472 油揚げ,97.1,
指数,2002年6月,全国,1473 納豆,126.8,
指数,2002年6月,全国,0026 他の野菜・海藻加工品,90,
指数,2002年6月,全国,1481 こんにゃく,106,
指数,2002年6月,全国,1482 梅干し,75,
指数,2002年6月,全国,1483 だいこん漬,88.7,
指数,2002年6月,全国,1486 はくさい漬,86,
指数,2002年6月,全国,1487 キムチ,103.6,
指数,2002年6月,全国,1485 こんぶつくだ煮,83.2,
指数,2002年6月,全国,1491 野菜缶詰,99,
指数,2002年6月,全国,0027 果物,73.2,
指数,2002年6月,全国,0028 生鮮果物,72.5,
指数,2002年6月,全国,1502 りんご,78.1,
指数,2002年6月,全国,1515 オレンジ,76.6,
指数,2002年6月,全国,1531 ぶどうＡ,86.2,
指数,2002年6月,全国,1561 すいか,68.5,
指数,2002年6月,全国,1563 メロン,77.5,
指数,2002年6月,全国,1581 バナナ,87.4,
指数,2002年6月,全国,1582 キウイフルーツ,71.6,
指数,2002年6月,全国,1572 さくらんぼ,89.9,
指数,2002年6月,全国,0029 果物加工品,87.2,
指数,2002年6月,全国,0030 油脂・調味料,101.7,
指数,2002年6月,全国,0031 油脂,107.2,
指数,2002年6月,全国,1601 食用油,120.3,
指数,2002年6月,全国,1602 マーガリン,71.3,
指数,2002年6月,全国,0032 調味料,101,
指数,2002年6月,全国,1611 食塩,94.3,
指数,2002年6月,全国,1621 しょう油,102.5,
指数,2002年6月,全国,1631 みそ,100.9,
指数,2002年6月,全国,1632 砂糖,91.7,
指数,2002年6月,全国,1633 酢,101.9,
指数,2002年6月,全国,1641 ソース,118.9,
指数,2002年6月,全国,1642 ケチャップ,131.6,
指数,2002年6月,全国,1643 マヨネーズ,102,
指数,2002年6月,全国,1644 ジャム,87.9,
指数,2002年6月,全国,1652 カレールウ,94.4,
指数,2002年6月,全国,1653 乾燥スープ,85.5,
指数,2002年6月,全国,1654 風味調味料,112.3,
指数,2002年6月,全国,1656 ふりかけ,97.9,
指数,2002年6月,全国,1655 たれ,103,
指数,2002年6月,全国,0033 菓子類,80.5,
指数,2002年6月,全国,1701 ようかん,81.6,
指数,2002年6月,全国,1702 まんじゅう,77.3,
指数,2002年6月,全国,1703 だいふく餅,75.5,
指数,2002年6月,全国,1711 カステラ,90.9,
指数,2002年6月,全国,1712 ケーキ,70.5,
指数,2002年6月,全国,1784 ゼリー,96.7,
指数,2002年6月,全国,1714 プリン,89.1,
指数,2002年6月,全国,1713 シュークリーム,85.5,
