指数,年月,地域,カテゴリ,数値,単位
指数,1974年7月,全国,0001 総合,47.8,
指数,1974年7月,全国,0002 食料,45.2,
指数,1974年7月,全国,0003 穀類,45.9,
指数,1974年7月,全国,0004 米類,49.9,
指数,1974年7月,全国,0005 パン,48.1,
指数,1974年7月,全国,1021 食パン,51,
指数,1974年7月,全国,1022 あんパン,43.3,
指数,1974年7月,全国,0006 麺類,49.5,
指数,1974年7月,全国,1041 そうめん,40.6,
指数,1974年7月,全国,1051 カップ麺,51.6,
指数,1974年7月,全国,0007 他の穀類,62,
指数,1974年7月,全国,1071 小麦粉,49.1,
指数,1974年7月,全国,0008 魚介類,37.7,
指数,1974年7月,全国,0009 生鮮魚介,41.3,
指数,1974年7月,全国,1101 まぐろ,45.8,
指数,1974年7月,全国,1102 あじ,59.5,
指数,1974年7月,全国,1103 いわし,32.1,
指数,1974年7月,全国,1104 かつお,38.7,
指数,1974年7月,全国,1106 さけ,45.8,
指数,1974年7月,全国,1107 さば,24.4,
指数,1974年7月,全国,1108 さんま,28.3,
指数,1974年7月,全国,1110 たい,65.5,
指数,1974年7月,全国,1111 ぶり,56.1,
指数,1974年7月,全国,1112 いか,32.7,
指数,1974年7月,全国,1113 たこ,29.4,
指数,1974年7月,全国,1131 あさり,16,
指数,1974年7月,全国,0010 塩干魚介,34,
指数,1974年7月,全国,1141 塩さけ,44.8,
指数,1974年7月,全国,1142 たらこ,27.5,
指数,1974年7月,全国,1143 しらす干し,20.7,
指数,1974年7月,全国,1146 煮干し,33.1,
指数,1974年7月,全国,0011 魚肉練製品,33.4,
指数,1974年7月,全国,1151 揚げかまぼこ,28.1,
指数,1974年7月,全国,1152 ちくわ,34.1,
指数,1974年7月,全国,1153 かまぼこ,36.5,
指数,1974年7月,全国,0012 他の魚介加工品,36.2,
指数,1974年7月,全国,1161 かつお節,46.2,
指数,1974年7月,全国,0013 肉類,53.7,
指数,1974年7月,全国,0014 生鮮肉,50.8,
指数,1974年7月,全国,1201 牛肉（国産品）,36.9,
指数,1974年7月,全国,1211 豚肉（国産品）,49.4,
指数,1974年7月,全国,1221 鶏肉,70.1,
指数,1974年7月,全国,0015 加工肉,67.5,
指数,1974年7月,全国,1261 ソーセージ,63.7,
指数,1974年7月,全国,0016 乳卵類,69.2,
指数,1974年7月,全国,0017 牛乳・乳製品,66.2,
指数,1974年7月,全国,0018 牛乳,67.6,
指数,1974年7月,全国,0019 乳製品,61.5,
指数,1974年7月,全国,1311 粉ミルク,40.4,
指数,1974年7月,全国,1321 バター,44.3,
指数,1974年7月,全国,1331 チーズ（国産品）,56.8,
指数,1974年7月,全国,0020 卵,75.4,
指数,1974年7月,全国,1341 鶏卵,75.4,
指数,1974年7月,全国,0021 野菜・海藻,37.7,
指数,1974年7月,全国,0022 生鮮野菜,36.6,
指数,1974年7月,全国,1401 キャベツ,39.9,
指数,1974年7月,全国,1402 ほうれんそう,38,
指数,1974年7月,全国,1403 はくさい,54,
指数,1974年7月,全国,1405 ねぎ,31.3,
指数,1974年7月,全国,1406 レタス,64.8,
指数,1974年7月,全国,1411 さつまいも,59,
指数,1974年7月,全国,1412 じゃがいも,30.8,
指数,1974年7月,全国,1413 さといも,72.3,
指数,1974年7月,全国,1414 だいこん,82.4,
指数,1974年7月,全国,1415 にんじん,31.1,
指数,1974年7月,全国,1416 ごぼう,30.3,
指数,1974年7月,全国,1417 たまねぎ,37.8,
指数,1974年7月,全国,1419 れんこん,62.3,
指数,1974年7月,全国,1433 かぼちゃ,21.7,
指数,1974年7月,全国,1434 きゅうり,33.2,
指数,1974年7月,全国,1435 なす,36.8,
指数,1974年7月,全国,1436 トマト,27.7,
指数,1974年7月,全国,1437 ピーマン,32.5,
指数,1974年7月,全国,0023 乾物・加工品類,39.9,
指数,1974年7月,全国,0024 乾物・海藻,33.6,
指数,1974年7月,全国,1453 干ししいたけ,40.2,
指数,1974年7月,全国,1461 干しのり,48.5,
指数,1974年7月,全国,1462 わかめ,27.4,
指数,1974年7月,全国,1463 こんぶ,25.9,
指数,1974年7月,全国,0025 大豆加工品,54,
指数,1974年7月,全国,1471 豆腐,52.5,
指数,1974年7月,全国,1472 油揚げ,51,
指数,1974年7月,全国,1473 納豆,62.8,
指数,1974年7月,全国,0026 他の野菜・海藻加工品,35.3,
指数,1974年7月,全国,1481 こんにゃく,53.1,
指数,1974年7月,全国,1482 梅干し,22.1,
指数,1974年7月,全国,1483 だいこん漬,34.8,
指数,1974年7月,全国,1485 こんぶつくだ煮,28.8,
指数,1974年7月,全国,0027 果物,38.3,
指数,1974年7月,全国,0028 生鮮果物,37.4,
指数,1974年7月,全国,1502 りんご,47.6,
指数,1974年7月,全国,1531 ぶどうＡ,65.6,
指数,1974年7月,全国,1551 桃,25.9,
指数,1974年7月,全国,1561 すいか,30.1,
指数,1974年7月,全国,1581 バナナ,57.2,
指数,1974年7月,全国,0029 果物加工品,61.4,
指数,1974年7月,全国,0030 油脂・調味料,74.7,
指数,1974年7月,全国,0031 油脂,105.1,
指数,1974年7月,全国,1601 食用油,117.2,
指数,1974年7月,全国,1602 マーガリン,70.8,
指数,1974年7月,全国,0032 調味料,70.4,
指数,1974年7月,全国,1611 食塩,25.7,
指数,1974年7月,全国,1621 しょう油,76.1,
指数,1974年7月,全国,1631 みそ,71.5,
指数,1974年7月,全国,1632 砂糖,92.3,
指数,1974年7月,全国,1633 酢,71.9,
指数,1974年7月,全国,1641 ソース,85.3,
指数,1974年7月,全国,1642 ケチャップ,97.5,
指数,1974年7月,全国,1643 マヨネーズ,88.8,
指数,1974年7月,全国,1652 カレールウ,58.6,
指数,1974年7月,全国,1653 乾燥スープ,45.9,
指数,1974年7月,全国,0033 菓子類,48.1,
指数,1974年7月,全国,1701 ようかん,31.5,
指数,1974年7月,全国,1711 カステラ,45.2,
指数,1974年7月,全国,1713 シュークリーム,53.3,
指数,1974年7月,全国,1741 せんべい,67.3,
指数,1974年7月,全国,1721 ビスケット,51.3,
指数,1974年7月,全国,1732 キャンデー,54.7,
指数,1974年7月,全国,1761 チョコレート,84.3,
指数,1974年7月,全国,1782 アイスクリーム,61.6,
指数,1974年7月,全国,1772 落花生,64.5,
