指数,年月,地域,カテゴリ,数値,単位
指数,1997年1月,全国,0001 総合,96.2,
指数,1997年1月,全国,0002 食料,87.2,
指数,1997年1月,全国,0003 穀類,101,
指数,1997年1月,全国,0004 米類,117.2,
指数,1997年1月,全国,1001 うるち米Ａ,121.5,
指数,1997年1月,全国,1002 うるち米Ｂ,117.3,
指数,1997年1月,全国,0005 パン,87.7,
指数,1997年1月,全国,1021 食パン,87.8,
指数,1997年1月,全国,1022 あんパン,90.1,
指数,1997年1月,全国,0006 麺類,89.9,
指数,1997年1月,全国,1031 ゆでうどん,94.5,
指数,1997年1月,全国,1041 そうめん,85.2,
指数,1997年1月,全国,1042 スパゲッティ,89,
指数,1997年1月,全国,1051 カップ麺,84.9,
指数,1997年1月,全国,1052 中華麺,98.4,
指数,1997年1月,全国,0007 他の穀類,107.7,
指数,1997年1月,全国,1071 小麦粉,74.1,
指数,1997年1月,全国,1081 もち,123.7,
指数,1997年1月,全国,0008 魚介類,78.7,
指数,1997年1月,全国,0009 生鮮魚介,82.1,
指数,1997年1月,全国,1101 まぐろ,101,
指数,1997年1月,全国,1102 あじ,115.7,
指数,1997年1月,全国,1103 いわし,96.3,
指数,1997年1月,全国,1106 さけ,62,
指数,1997年1月,全国,1107 さば,92.2,
指数,1997年1月,全国,1108 さんま,75,
指数,1997年1月,全国,1110 たい,96.5,
指数,1997年1月,全国,1111 ぶり,95.9,
指数,1997年1月,全国,1112 いか,55.5,
指数,1997年1月,全国,1113 たこ,71.6,
指数,1997年1月,全国,1114 えび,89.9,
指数,1997年1月,全国,1131 あさり,71.1,
指数,1997年1月,全国,1132 かき（貝）,75.1,
指数,1997年1月,全国,1133 ほたて貝,66.8,
指数,1997年1月,全国,0010 塩干魚介,69.9,
指数,1997年1月,全国,1141 塩さけ,62.2,
指数,1997年1月,全国,1142 たらこ,82.8,
指数,1997年1月,全国,1143 しらす干し,63,
指数,1997年1月,全国,1144 干しあじ,80.7,
指数,1997年1月,全国,1146 煮干し,95,
指数,1997年1月,全国,1150 ししゃも,74.6,
指数,1997年1月,全国,0011 魚肉練製品,88.8,
指数,1997年1月,全国,1151 揚げかまぼこ,83.8,
指数,1997年1月,全国,1152 ちくわ,93.2,
指数,1997年1月,全国,1153 かまぼこ,90.4,
指数,1997年1月,全国,0012 他の魚介加工品,69.9,
指数,1997年1月,全国,1161 かつお節,79.3,
指数,1997年1月,全国,1165 魚介漬物,66.7,
指数,1997年1月,全国,1166 魚介つくだ煮,70.7,
指数,1997年1月,全国,1173 魚介缶詰,70.3,
指数,1997年1月,全国,0013 肉類,76.2,
指数,1997年1月,全国,0014 生鮮肉,71.8,
指数,1997年1月,全国,1201 牛肉（国産品）,65.4,
