指数,年月,地域,カテゴリ,数値,単位
指数,1988年3月,全国,0001 総合,84.5,
指数,1988年3月,全国,0002 食料,76.6,
指数,1988年3月,全国,0003 穀類,93.8,
指数,1988年3月,全国,0004 米類,113.3,
指数,1988年3月,全国,1001 うるち米Ａ,114,
指数,1988年3月,全国,1002 うるち米Ｂ,115.1,
指数,1988年3月,全国,0005 パン,79.9,
指数,1988年3月,全国,1021 食パン,82,
指数,1988年3月,全国,1022 あんパン,78.6,
指数,1988年3月,全国,0006 麺類,77.3,
指数,1988年3月,全国,1031 ゆでうどん,79.4,
指数,1988年3月,全国,1041 そうめん,69.7,
指数,1988年3月,全国,1042 スパゲッティ,81.4,
指数,1988年3月,全国,1051 カップ麺,73.4,
指数,1988年3月,全国,1052 中華麺,87.6,
指数,1988年3月,全国,0007 他の穀類,92.5,
指数,1988年3月,全国,1071 小麦粉,78.1,
指数,1988年3月,全国,1081 もち,100.8,
指数,1988年3月,全国,0008 魚介類,71.1,
指数,1988年3月,全国,0009 生鮮魚介,76.7,
指数,1988年3月,全国,1101 まぐろ,86.5,
指数,1988年3月,全国,1102 あじ,126.1,
指数,1988年3月,全国,1103 いわし,44.4,
指数,1988年3月,全国,1104 かつお,83.8,
指数,1988年3月,全国,1106 さけ,72.1,
指数,1988年3月,全国,1107 さば,65.4,
指数,1988年3月,全国,1108 さんま,61.8,
指数,1988年3月,全国,1110 たい,102.8,
指数,1988年3月,全国,1111 ぶり,79,
指数,1988年3月,全国,1112 いか,66.6,
指数,1988年3月,全国,1113 たこ,58.9,
指数,1988年3月,全国,1114 えび,101.9,
指数,1988年3月,全国,1131 あさり,58.9,
指数,1988年3月,全国,1132 かき（貝）,36.5,
指数,1988年3月,全国,1133 ほたて貝,76.1,
指数,1988年3月,全国,0010 塩干魚介,66.2,
指数,1988年3月,全国,1141 塩さけ,75.3,
指数,1988年3月,全国,1142 たらこ,65.6,
指数,1988年3月,全国,1143 しらす干し,57.1,
指数,1988年3月,全国,1144 干しあじ,79.1,
指数,1988年3月,全国,1146 煮干し,69.9,
指数,1988年3月,全国,0011 魚肉練製品,66.6,
指数,1988年3月,全国,1151 揚げかまぼこ,64.5,
指数,1988年3月,全国,1152 ちくわ,70.3,
指数,1988年3月,全国,1153 かまぼこ,66,
指数,1988年3月,全国,0012 他の魚介加工品,60,
指数,1988年3月,全国,1161 かつお節,71.9,
指数,1988年3月,全国,1173 魚介缶詰,62.2,
指数,1988年3月,全国,0013 肉類,69.9,
指数,1988年3月,全国,0014 生鮮肉,65.5,
指数,1988年3月,全国,1201 牛肉（国産品）,58.8,
指数,1988年3月,全国,1203 牛肉（輸入品）,65.1,
指数,1988年3月,全国,1211 豚肉（国産品）,65.1,
指数,1988年3月,全国,1221 鶏肉,74,
指数,1988年3月,全国,0015 加工肉,91.3,
指数,1988年3月,全国,1252 ハム,102.2,
指数,1988年3月,全国,1261 ソーセージ,88.9,
指数,1988年3月,全国,1271 ベーコン,76.2,
指数,1988年3月,全国,0016 乳卵類,80.1,
指数,1988年3月,全国,0017 牛乳・乳製品,85.4,
指数,1988年3月,全国,0018 牛乳,83.7,
指数,1988年3月,全国,1303 牛乳,96.2,
指数,1988年3月,全国,0019 乳製品,88.4,
指数,1988年3月,全国,1311 粉ミルク,69.8,
指数,1988年3月,全国,1333 ヨーグルト,113.1,
指数,1988年3月,全国,1321 バター,72.8,
指数,1988年3月,全国,1331 チーズ（国産品）,65.7,
指数,1988年3月,全国,0020 卵,65.5,
指数,1988年3月,全国,1341 鶏卵,65.5,
指数,1988年3月,全国,0021 野菜・海藻,70.7,
指数,1988年3月,全国,0022 生鮮野菜,72.8,
指数,1988年3月,全国,1401 キャベツ,89.1,
指数,1988年3月,全国,1402 ほうれんそう,36.7,
指数,1988年3月,全国,1403 はくさい,72.8,
指数,1988年3月,全国,1405 ねぎ,54.8,
指数,1988年3月,全国,1406 レタス,112.2,
指数,1988年3月,全国,1407 もやし,88.5,
指数,1988年3月,全国,1411 さつまいも,56.7,
指数,1988年3月,全国,1412 じゃがいも,51.3,
指数,1988年3月,全国,1413 さといも,41.3,
指数,1988年3月,全国,1414 だいこん,85.2,
指数,1988年3月,全国,1415 にんじん,55.6,
指数,1988年3月,全国,1416 ごぼう,59.4,
指数,1988年3月,全国,1417 たまねぎ,75.5,
指数,1988年3月,全国,1419 れんこん,62.7,
指数,1988年3月,全国,1420 ながいも,84.5,
指数,1988年3月,全国,1432 さやいんげん,77.6,
指数,1988年3月,全国,1433 かぼちゃ,59.1,
指数,1988年3月,全国,1434 きゅうり,87.7,
指数,1988年3月,全国,1435 なす,85.5,
指数,1988年3月,全国,1436 トマト,80,
指数,1988年3月,全国,1437 ピーマン,72.5,
指数,1988年3月,全国,1438 生しいたけ,104.3,
指数,1988年3月,全国,0023 乾物・加工品類,67.8,
指数,1988年3月,全国,0024 乾物・海藻,54.3,
指数,1988年3月,全国,1453 干ししいたけ,63,
指数,1988年3月,全国,1461 干しのり,77.3,
指数,1988年3月,全国,1462 わかめ,41.4,
指数,1988年3月,全国,1463 こんぶ,43.5,
指数,1988年3月,全国,0025 大豆加工品,81.4,
指数,1988年3月,全国,1471 豆腐,78.3,
指数,1988年3月,全国,1472 油揚げ,80.4,
指数,1988年3月,全国,1473 納豆,84.6,
指数,1988年3月,全国,0026 他の野菜・海藻加工品,66.7,
指数,1988年3月,全国,1481 こんにゃく,93.9,
指数,1988年3月,全国,1482 梅干し,54.8,
指数,1988年3月,全国,1483 だいこん漬,59.9,
指数,1988年3月,全国,1485 こんぶつくだ煮,61.4,
指数,1988年3月,全国,1491 野菜缶詰,96.3,
指数,1988年3月,全国,0027 果物,54.6,
指数,1988年3月,全国,0028 生鮮果物,53.4,
指数,1988年3月,全国,1502 りんご,67.8,
指数,1988年3月,全国,1511 みかん,38.6,
指数,1988年3月,全国,1515 オレンジ,95,
指数,1988年3月,全国,1571 いちご,59.7,
指数,1988年3月,全国,1581 バナナ,72.9,
指数,1988年3月,全国,0029 果物加工品,85.3,
指数,1988年3月,全国,0030 油脂・調味料,99.3,
指数,1988年3月,全国,0031 油脂,118.6,
指数,1988年3月,全国,1601 食用油,131.6,
指数,1988年3月,全国,1602 マーガリン,81.6,
指数,1988年3月,全国,0032 調味料,97.1,
指数,1988年3月,全国,1611 食塩,63.2,
指数,1988年3月,全国,1621 しょう油,95.5,
指数,1988年3月,全国,1631 みそ,97.3,
指数,1988年3月,全国,1632 砂糖,117.9,
指数,1988年3月,全国,1633 酢,92.3,
指数,1988年3月,全国,1641 ソース,107.7,
指数,1988年3月,全国,1642 ケチャップ,147.5,
指数,1988年3月,全国,1643 マヨネーズ,107.9,
指数,1988年3月,全国,1652 カレールウ,88.2,
指数,1988年3月,全国,1653 乾燥スープ,84.7,
指数,1988年3月,全国,1654 風味調味料,103.5,
指数,1988年3月,全国,1656 ふりかけ,84.6,
指数,1988年3月,全国,1655 たれ,88.8,
指数,1988年3月,全国,0033 菓子類,71.7,
指数,1988年3月,全国,1701 ようかん,56.1,
