指数,年月,地域,カテゴリ,数値,単位
指数,2026年4月,全国,0001 総合,113,
指数,2026年4月,全国,0002 食料,128.4,
指数,2026年4月,全国,0003 穀類,148.5,
指数,2026年4月,全国,0004 米類,204.1,
指数,2026年4月,全国,1001 うるち米Ａ,202.8,
指数,2026年4月,全国,1002 うるち米Ｂ,204.8,
指数,2026年4月,全国,0005 パン,124.7,
指数,2026年4月,全国,1021 食パン,125.7,
指数,2026年4月,全国,1022 あんパン,121,
指数,2026年4月,全国,1023 カレーパン,130.4,
指数,2026年4月,全国,0006 麺類,122.4,
指数,2026年4月,全国,1031 ゆでうどん,130.6,
指数,2026年4月,全国,1041 そうめん,117,
指数,2026年4月,全国,1042 スパゲッティ,119.2,
指数,2026年4月,全国,1051 カップ麺,122.5,
指数,2026年4月,全国,1052 中華麺,119.4,
指数,2026年4月,全国,0007 他の穀類,143.2,
指数,2026年4月,全国,1071 小麦粉,135.7,
指数,2026年4月,全国,1081 もち,158,
指数,2026年4月,全国,1090 シリアル,127,
指数,2026年4月,全国,0008 魚介類,138.5,
指数,2026年4月,全国,0009 生鮮魚介,139.6,
指数,2026年4月,全国,1101 まぐろ,129.9,
指数,2026年4月,全国,1102 あじ,121.2,
指数,2026年4月,全国,1103 いわし,119.7,
指数,2026年4月,全国,1104 かつお,126,
指数,2026年4月,全国,1106 さけ,147,
指数,2026年4月,全国,1107 さば,149.1,
指数,2026年4月,全国,1108 さんま,134.2,
指数,2026年4月,全国,1110 たい,122.5,
指数,2026年4月,全国,1111 ぶり,149.4,
指数,2026年4月,全国,1112 いか,163.8,
指数,2026年4月,全国,1113 たこ,154.2,
指数,2026年4月,全国,1114 えび,114.3,
指数,2026年4月,全国,1131 あさり,138.1,
指数,2026年4月,全国,1133 ほたて貝,192.6,
指数,2026年4月,全国,0010 塩干魚介,141.8,
指数,2026年4月,全国,1141 塩さけ,149.8,
指数,2026年4月,全国,1142 たらこ,120.6,
指数,2026年4月,全国,1143 しらす干し,152.3,
指数,2026年4月,全国,1144 干しあじ,135.2,
指数,2026年4月,全国,1146 煮干し,158.6,
指数,2026年4月,全国,1150 ししゃも,137.5,
指数,2026年4月,全国,1167 いくら,152.8,
指数,2026年4月,全国,0011 魚肉練製品,133,
指数,2026年4月,全国,1151 揚げかまぼこ,130.8,
指数,2026年4月,全国,1152 ちくわ,132,
指数,2026年4月,全国,1153 かまぼこ,135.1,
指数,2026年4月,全国,0012 他の魚介加工品,134.7,
指数,2026年4月,全国,1161 かつお節,144.9,
指数,2026年4月,全国,1165 魚介漬物,143.6,
指数,2026年4月,全国,1166 魚介つくだ煮,125.7,
指数,2026年4月,全国,1173 魚介缶詰,125.9,
指数,2026年4月,全国,0013 肉類,124.5,
指数,2026年4月,全国,0014 生鮮肉,126.6,
指数,2026年4月,全国,1201 牛肉（国産品）,117.5,
指数,2026年4月,全国,1203 牛肉（輸入品）,147.7,
指数,2026年4月,全国,1211 豚肉（国産品）,127.8,
指数,2026年4月,全国,1214 豚肉（輸入品）,125.6,
指数,2026年4月,全国,1221 鶏肉,121.9,
指数,2026年4月,全国,0015 加工肉,115.8,
指数,2026年4月,全国,1252 ハム,118.9,
指数,2026年4月,全国,1261 ソーセージ,107.9,
指数,2026年4月,全国,1271 ベーコン,125.6,
指数,2026年4月,全国,1292 味付け肉,124.8,
指数,2026年4月,全国,0016 乳卵類,130.7,
指数,2026年4月,全国,0017 牛乳・乳製品,126.7,
指数,2026年4月,全国,0018 牛乳,125.8,
