指数,年月,地域,カテゴリ,数値,単位
指数,1981年12月,全国,0001 総合,77.9,
指数,1981年12月,全国,0002 食料,71.2,
指数,1981年12月,全国,0003 穀類,85.7,
指数,1981年12月,全国,0004 米類,103.7,
指数,1981年12月,全国,1001 うるち米Ａ,104.2,
指数,1981年12月,全国,1002 うるち米Ｂ,105.6,
指数,1981年12月,全国,0005 パン,73.5,
指数,1981年12月,全国,1021 食パン,76.7,
指数,1981年12月,全国,1022 あんパン,70.1,
指数,1981年12月,全国,0006 麺類,68.4,
指数,1981年12月,全国,1031 ゆでうどん,72.1,
指数,1981年12月,全国,1041 そうめん,59.4,
指数,1981年12月,全国,1051 カップ麺,65.8,
指数,1981年12月,全国,0007 他の穀類,86.2,
指数,1981年12月,全国,1071 小麦粉,72.5,
指数,1981年12月,全国,1081 もち,94,
指数,1981年12月,全国,0008 魚介類,67.2,
指数,1981年12月,全国,0009 生鮮魚介,74.3,
指数,1981年12月,全国,1101 まぐろ,90,
指数,1981年12月,全国,1102 あじ,136,
指数,1981年12月,全国,1103 いわし,42.7,
指数,1981年12月,全国,1104 かつお,81.3,
指数,1981年12月,全国,1106 さけ,66.7,
指数,1981年12月,全国,1107 さば,41.7,
指数,1981年12月,全国,1108 さんま,67.3,
指数,1981年12月,全国,1110 たい,106.7,
指数,1981年12月,全国,1111 ぶり,86.9,
指数,1981年12月,全国,1112 いか,60.2,
指数,1981年12月,全国,1113 たこ,56.6,
指数,1981年12月,全国,1114 えび,111.5,
指数,1981年12月,全国,1131 あさり,48.5,
指数,1981年12月,全国,1132 かき（貝）,51.3,
指数,1981年12月,全国,1133 ほたて貝,84.7,
指数,1981年12月,全国,0010 塩干魚介,63.3,
指数,1981年12月,全国,1141 塩さけ,72.6,
指数,1981年12月,全国,1142 たらこ,71.9,
指数,1981年12月,全国,1143 しらす干し,46.9,
指数,1981年12月,全国,1144 干しあじ,88.1,
指数,1981年12月,全国,1146 煮干し,53.4,
指数,1981年12月,全国,0011 魚肉練製品,57.9,
指数,1981年12月,全国,1151 揚げかまぼこ,56.1,
指数,1981年12月,全国,1152 ちくわ,60.6,
指数,1981年12月,全国,1153 かまぼこ,56.1,
指数,1981年12月,全国,0012 他の魚介加工品,53.1,
指数,1981年12月,全国,1161 かつお節,69.5,
指数,1981年12月,全国,0013 肉類,70.8,
指数,1981年12月,全国,0014 生鮮肉,66.8,
指数,1981年12月,全国,1201 牛肉（国産品）,54.6,
指数,1981年12月,全国,1203 牛肉（輸入品）,87.1,
指数,1981年12月,全国,1211 豚肉（国産品）,64.6,
指数,1981年12月,全国,1221 鶏肉,82,
指数,1981年12月,全国,0015 加工肉,89.6,
指数,1981年12月,全国,1252 ハム,99.1,
指数,1981年12月,全国,1261 ソーセージ,87.7,
指数,1981年12月,全国,1271 ベーコン,74.5,
指数,1981年12月,全国,0016 乳卵類,97.5,
指数,1981年12月,全国,0017 牛乳・乳製品,85.3,
指数,1981年12月,全国,0018 牛乳,86.2,
指数,1981年12月,全国,1303 牛乳,102,
指数,1981年12月,全国,0019 乳製品,81.2,
指数,1981年12月,全国,1311 粉ミルク,57.8,
指数,1981年12月,全国,1321 バター,69.5,
指数,1981年12月,全国,1331 チーズ（国産品）,62.1,
指数,1981年12月,全国,0020 卵,125.7,
指数,1981年12月,全国,1341 鶏卵,125.7,
指数,1981年12月,全国,0021 野菜・海藻,60.2,
指数,1981年12月,全国,0022 生鮮野菜,61.1,
指数,1981年12月,全国,1401 キャベツ,62.1,
指数,1981年12月,全国,1402 ほうれんそう,46.3,
指数,1981年12月,全国,1403 はくさい,29.3,
指数,1981年12月,全国,1405 ねぎ,33.3,
指数,1981年12月,全国,1406 レタス,76.6,
指数,1981年12月,全国,1407 もやし,89.9,
指数,1981年12月,全国,1411 さつまいも,44.9,
指数,1981年12月,全国,1412 じゃがいも,61.8,
指数,1981年12月,全国,1413 さといも,54.9,
指数,1981年12月,全国,1414 だいこん,53.5,
指数,1981年12月,全国,1415 にんじん,44.2,
指数,1981年12月,全国,1416 ごぼう,49.7,
指数,1981年12月,全国,1417 たまねぎ,105.8,
指数,1981年12月,全国,1419 れんこん,56.8,
指数,1981年12月,全国,1420 ながいも,108.4,
指数,1981年12月,全国,1433 かぼちゃ,52.4,
指数,1981年12月,全国,1434 きゅうり,84.5,
指数,1981年12月,全国,1435 なす,86.4,
指数,1981年12月,全国,1436 トマト,68.4,
指数,1981年12月,全国,1437 ピーマン,50.5,
指数,1981年12月,全国,1438 生しいたけ,97.5,
指数,1981年12月,全国,0023 乾物・加工品類,59.5,
指数,1981年12月,全国,0024 乾物・海藻,51.1,
指数,1981年12月,全国,1453 干ししいたけ,51.1,
指数,1981年12月,全国,1461 干しのり,74.4,
指数,1981年12月,全国,1462 わかめ,38.2,
指数,1981年12月,全国,1463 こんぶ,41.4,
指数,1981年12月,全国,0025 大豆加工品,72,
指数,1981年12月,全国,1471 豆腐,69.5,
指数,1981年12月,全国,1472 油揚げ,72,
指数,1981年12月,全国,1473 納豆,72.6,
指数,1981年12月,全国,0026 他の野菜・海藻加工品,55.2,
指数,1981年12月,全国,1481 こんにゃく,57.4,
指数,1981年12月,全国,1482 梅干し,40.8,
指数,1981年12月,全国,1483 だいこん漬,55.4,
指数,1981年12月,全国,1485 こんぶつくだ煮,57.6,
指数,1981年12月,全国,1491 野菜缶詰,101.2,
指数,1981年12月,全国,0027 果物,51.8,
指数,1981年12月,全国,0028 生鮮果物,50.9,
指数,1981年12月,全国,1502 りんご,78.2,
指数,1981年12月,全国,1511 みかん,32.8,
指数,1981年12月,全国,1515 オレンジ,164.1,
指数,1981年12月,全国,1541 柿,60.3,
指数,1981年12月,全国,1581 バナナ,66,
指数,1981年12月,全国,0029 果物加工品,76.2,
指数,1981年12月,全国,0030 油脂・調味料,98.3,
指数,1981年12月,全国,0031 油脂,124.1,
指数,1981年12月,全国,1601 食用油,139,
指数,1981年12月,全国,1602 マーガリン,82.8,
指数,1981年12月,全国,0032 調味料,95.4,
指数,1981年12月,全国,1611 食塩,63.2,
指数,1981年12月,全国,1621 しょう油,96.9,
指数,1981年12月,全国,1631 みそ,93.5,
指数,1981年12月,全国,1632 砂糖,133.3,
指数,1981年12月,全国,1633 酢,95,
指数,1981年12月,全国,1641 ソース,109.4,
指数,1981年12月,全国,1642 ケチャップ,151.4,
指数,1981年12月,全国,1643 マヨネーズ,101.9,
指数,1981年12月,全国,1652 カレールウ,87.9,
指数,1981年12月,全国,1653 乾燥スープ,64.3,
指数,1981年12月,全国,1654 風味調味料,90.8,
指数,1981年12月,全国,0033 菓子類,67.7,
指数,1981年12月,全国,1701 ようかん,50.5,
指数,1981年12月,全国,1702 まんじゅう,63.1,
指数,1981年12月,全国,1711 カステラ,69.1,
指数,1981年12月,全国,1712 ケーキ,52.4,
指数,1981年12月,全国,1713 シュークリーム,78,
指数,1981年12月,全国,1741 せんべい,81.8,
指数,1981年12月,全国,1721 ビスケット,60.6,
指数,1981年12月,全国,1783 ポテトチップス,73.1,
指数,1981年12月,全国,1732 キャンデー,74.2,
指数,1981年12月,全国,1761 チョコレート,115.7,
指数,1981年12月,全国,1782 アイスクリーム,77.4,
指数,1981年12月,全国,1772 落花生,103.4,
指数,1981年12月,全国,1781 チューインガム,72.9,
指数,1981年12月,全国,0034 調理食品,66.4,
指数,1981年12月,全国,0036 他の調理食品,65.2,
指数,1981年12月,全国,1801 うなぎかば焼き,40.9,
指数,1981年12月,全国,1811 サラダ,51.5,
指数,1981年12月,全国,1821 コロッケ,63.5,
指数,1981年12月,全国,1831 豚カツ,70.9,
指数,1981年12月,全国,1851 冷凍調理コロッケ,79.4,
指数,1981年12月,全国,0037 飲料,101.3,
指数,1981年12月,全国,0038 茶類,95.4,
指数,1981年12月,全国,1902 緑茶,72.7,
指数,1981年12月,全国,1911 紅茶,119.2,
指数,1981年12月,全国,0039 コーヒー・ココア,111.2,
指数,1981年12月,全国,1921 インスタントコーヒー,104.4,
指数,1981年12月,全国,0040 他の飲料,101.1,
指数,1981年12月,全国,1931 果汁入り飲料,113.2,
指数,1981年12月,全国,1941 野菜ジュース,82.7,
指数,1981年12月,全国,1951 炭酸飲料,121.7,
指数,1981年12月,全国,1972 乳酸菌飲料,68.4,
指数,1981年12月,全国,0041 酒類,86,
指数,1981年12月,全国,2003 清酒,90.5,
指数,1981年12月,全国,2011 焼酎,61.3,
指数,1981年12月,全国,2021 ビール,83.6,
指数,1981年12月,全国,2033 ウイスキー,105.6,
指数,1981年12月,全国,2041 ワイン（国産品）,110.3,
指数,1981年12月,全国,0042 外食,64.5,
指数,1981年12月,全国,0043 一般外食,64.3,
指数,1981年12月,全国,2101 うどん（外食）,52.9,
指数,1981年12月,全国,2102 中華そば（外食）,55.9,
指数,1981年12月,全国,2112 スパゲッティ（外食）,59.9,
指数,1981年12月,全国,2121 すし（外食）Ｂ,59.4,
指数,1981年12月,全国,2132 天丼（外食）,63.1,
指数,1981年12月,全国,2133 カレーライス（外食）,60.3,
指数,1981年12月,全国,2142 豚カツ定食（外食）,69.8,
指数,1981年12月,全国,2141 ハンバーグ（外食）,68.8,
指数,1981年12月,全国,2161 サンドイッチ（外食）,65,
指数,1981年12月,全国,2162 コーヒー（外食）Ａ,64.2,
指数,1981年12月,全国,2171 ビール（外食）,63.6,
指数,1981年12月,全国,0044 学校給食,69.3,
指数,1981年12月,全国,2182 学校給食（小学校）,68.5,
指数,1981年12月,全国,2183 学校給食（中学校）,70.7,
指数,1981年12月,全国,0045 住居,68.2,
指数,1981年12月,全国,0046 家賃,69.3,
指数,1981年12月,全国,0047 民営家賃,74.6,
指数,1981年12月,全国,3000 民営家賃,74.6,
指数,1981年12月,全国,0048 公営・都市再生機構・公社家賃,58.1,
指数,1981年12月,全国,3016 公営家賃,61.2,
指数,1981年12月,全国,3017 都市再生機構・公社家賃,54.5,
指数,1981年12月,全国,0050 持家の帰属家賃,69,
指数,1981年12月,全国,3030 持家の帰属家賃,69,
指数,1981年12月,全国,0051 設備修繕・維持,61.2,
指数,1981年12月,全国,0052 設備材料,97.1,
指数,1981年12月,全国,3101 システムバス,87.6,
指数,1981年12月,全国,3121 修繕材料,55.2,
指数,1981年12月,全国,0053 工事その他のサービス,54.4,
指数,1981年12月,全国,3151 畳替え代,55.3,
指数,1981年12月,全国,3176 水道工事費,35.3,
指数,1981年12月,全国,3175 塀工事費,52.5,
指数,1981年12月,全国,3174 植木職手間代,48.8,
指数,1981年12月,全国,3171 ふすま張替費,54.8,
指数,1981年12月,全国,3172 大工手間代,56.4,
指数,1981年12月,全国,3180 火災・地震保険料,69,
指数,1981年12月,全国,0054 光熱・水道,88.4,
指数,1981年12月,全国,0056 電気代,112.2,
指数,1981年12月,全国,3500 電気代,112.2,
指数,1981年12月,全国,0057 ガス代,81.9,
指数,1981年12月,全国,3600 都市ガス代,101.8,
指数,1981年12月,全国,3612 プロパンガス,61.7,
指数,1981年12月,全国,0058 他の光熱,95.1,
指数,1981年12月,全国,3701 灯油,98.4,
指数,1981年12月,全国,3810 水道料,54.9,
指数,1981年12月,全国,0060 家具・家事用品,148.7,
指数,1981年12月,全国,0061 家庭用耐久財,386.9,
指数,1981年12月,全国,0062 家事用耐久財,949.2,
指数,1981年12月,全国,4003 電子レンジ,1845.9,
指数,1981年12月,全国,4002 電気炊飯器,436.4,
指数,1981年12月,全国,4011 ガステーブル,174.1,
指数,1981年12月,全国,4021 電気冷蔵庫,3010,
指数,1981年12月,全国,4032 電気掃除機,909.4,
指数,1981年12月,全国,4042 電気洗濯機（全自動洗濯機）,1284.3,
指数,1981年12月,全国,0063 冷暖房用器具,349.1,
指数,1981年12月,全国,4072 温風ヒーター,172.1,
指数,1981年12月,全国,0064 一般家具,85.6,
指数,1981年12月,全国,4092 食堂セット,74.4,
指数,1981年12月,全国,0066 室内装備品,139.9,
指数,1981年12月,全国,4121 カーペット,140.5,
指数,1981年12月,全国,4141 カーテン,95.9,
指数,1981年12月,全国,0070 寝具類,117,
指数,1981年12月,全国,4201 ベッド,89.8,
指数,1981年12月,全国,4211 布団,138.3,
指数,1981年12月,全国,4251 敷布,83.7,
指数,1981年12月,全国,4271 布団カバー,112.9,
指数,1981年12月,全国,0073 家事雑貨,71.9,
指数,1981年12月,全国,0074 食器類,55.1,
指数,1981年12月,全国,4301 茶わん,49.3,
指数,1981年12月,全国,4302 皿,56.5,
指数,1981年12月,全国,0075 台所用品,73.9,
指数,1981年12月,全国,4331 鍋,73.1,
指数,1981年12月,全国,4342 スポンジたわし,66.3,
指数,1981年12月,全国,0076 他の家事雑貨,86.3,
指数,1981年12月,全国,4352 電球・ランプ,83.1,
指数,1981年12月,全国,4361 タオル,71.8,
指数,1981年12月,全国,0077 家事用消耗品,132.9,
指数,1981年12月,全国,0078 ティシュ・トイレットペーパー,115.4,
指数,1981年12月,全国,4412 ティシュペーパー,138.9,
指数,1981年12月,全国,4413 トイレットペーパー,103.4,
指数,1981年12月,全国,0079 洗剤,184.4,
指数,1981年12月,全国,4431 台所用洗剤,173.4,
指数,1981年12月,全国,4441 洗濯用洗剤,201.3,
指数,1981年12月,全国,0080 他の家事用消耗品,108.7,
指数,1981年12月,全国,4401 ラップ,121.7,
指数,1981年12月,全国,4451 殺虫剤,86.3,
指数,1981年12月,全国,0081 家事サービス,57.7,
指数,1981年12月,全国,0174 家事代行料,55.4,
指数,1981年12月,全国,4501 家事代行料,55.4,
指数,1981年12月,全国,0175 清掃代,54.9,
指数,1981年12月,全国,0082 被服及び履物,73.5,
指数,1981年12月,全国,0083 衣料,75.7,
指数,1981年12月,全国,0084 和服,74.9,
指数,1981年12月,全国,5011 婦人用着物,81.8,
指数,1981年12月,全国,5041 婦人用帯,61.7,
指数,1981年12月,全国,0085 洋服,76.4,
指数,1981年12月,全国,0086 男子用洋服,75.6,
指数,1981年12月,全国,5102 背広服（秋冬物，中級品）,81.9,
指数,1981年12月,全国,5111 男子用上着,65.6,
指数,1981年12月,全国,5121 男子用ズボン（秋冬物）,64.2,
指数,1981年12月,全国,5123 男子用ズボン（ジーンズ）,59.8,
指数,1981年12月,全国,5131 男子用コート,88.6,
指数,1981年12月,全国,5141 男子用学校制服,59.3,
指数,1981年12月,全国,0087 婦人用洋服,65.7,
指数,1981年12月,全国,5162 婦人用スーツ（秋冬物，中級品）,62.4,
指数,1981年12月,全国,5183 婦人用上着,61,
指数,1981年12月,全国,5172 スカート（秋冬物）,61.3,
指数,1981年12月,全国,5181 婦人用スラックス（秋冬物）,54.5,
指数,1981年12月,全国,5182 婦人用コート,62.2,
指数,1981年12月,全国,0088 子供用洋服,154,
指数,1981年12月,全国,5193 乳児服,76,
指数,1981年12月,全国,0089 シャツ・セーター・下着類,71.5,
指数,1981年12月,全国,0090 シャツ・セーター類,74.2,
指数,1981年12月,全国,0091 男子用シャツ・セーター類,75.5,
指数,1981年12月,全国,5202 ワイシャツ,86.9,
指数,1981年12月,全国,5211 男子用スポーツシャツ（長袖）,72.8,
指数,1981年12月,全国,5221 男子用セーター,79.2,
指数,1981年12月,全国,0092 婦人用シャツ・セーター類,72.6,
指数,1981年12月,全国,5231 ブラウス（長袖）,69.3,
指数,1981年12月,全国,5241 婦人用セーター（長袖）,74.3,
指数,1981年12月,全国,0093 子供用シャツ・セーター類,78.8,
指数,1981年12月,全国,0094 下着類,64.6,
指数,1981年12月,全国,0095 男子用下着類,76.6,
指数,1981年12月,全国,5301 男子用シャツ（半袖）,80.8,
指数,1981年12月,全国,5311 男子用パンツ,67.7,
指数,1981年12月,全国,5331 男子用パジャマ,85,
指数,1981年12月,全国,0096 婦人用下着類,52.8,
指数,1981年12月,全国,5341 ブラジャー,55.7,
指数,1981年12月,全国,5351 婦人用ショーツ,62.1,
指数,1981年12月,全国,5361 ランジェリー,53.3,
指数,1981年12月,全国,0097 子供用下着類,73.8,
指数,1981年12月,全国,0098 履物類,71.6,
指数,1981年12月,全国,5601 男子靴,72.3,
指数,1981年12月,全国,5611 婦人靴,75.8,
指数,1981年12月,全国,5641 子供靴,70.9,
指数,1981年12月,全国,5631 運動靴,71.4,
指数,1981年12月,全国,5671 サンダル,64.7,
指数,1981年12月,全国,0103 他の被服,80.3,
指数,1981年12月,全国,5501 帽子,67,
指数,1981年12月,全国,5511 ネクタイ,120.5,
指数,1981年12月,全国,5521 男子用靴下,72,
指数,1981年12月,全国,5531 婦人用ストッキング,100.8,
指数,1981年12月,全国,5541 婦人用ソックス,85.1,
指数,1981年12月,全国,0106 被服関連サービス,63.8,
指数,1981年12月,全国,5711 クリーニング代Ａ,65.8,
指数,1981年12月,全国,5712 クリーニング代Ｂ,63.2,
指数,1981年12月,全国,5721 履物修理代,57,
指数,1981年12月,全国,0107 保健医療,68.3,
指数,1981年12月,全国,0108 医薬品・健康保持用摂取品,86.1,
指数,1981年12月,全国,6001 総合かぜ薬,62.5,
指数,1981年12月,全国,6002 解熱鎮痛剤,81.1,
指数,1981年12月,全国,6012 胃腸薬,118,
指数,1981年12月,全国,6021 ビタミン剤Ａ,78.3,
指数,1981年12月,全国,6022 ビタミン剤Ｂ,133.1,
指数,1981年12月,全国,6031 ドリンク剤,88.9,
指数,1981年12月,全国,6051 皮膚病薬,82.7,
指数,1981年12月,全国,6061 はり薬,74.7,
指数,1981年12月,全国,0109 保健医療用品・器具,119.6,
指数,1981年12月,全国,6101 生理用ナプキン,133.3,
指数,1981年12月,全国,6121 眼鏡,88.7,
指数,1981年12月,全国,0110 保健医療サービス,48.4,
指数,1981年12月,全国,6200 診療代,52.2,
指数,1981年12月,全国,0111 交通・通信,95.7,
指数,1981年12月,全国,0112 交通,61.9,
指数,1981年12月,全国,0179 鉄道運賃（ＪＲ）,72,
指数,1981年12月,全国,7527 普通運賃（ＪＲ）,69.7,
指数,1981年12月,全国,7528 料金（ＪＲ，在来線）,80.1,
指数,1981年12月,全国,7530 料金（ＪＲ，新幹線）,81,
指数,1981年12月,全国,7029 通学定期（ＪＲ）,60.5,
指数,1981年12月,全国,7030 通勤定期（ＪＲ）,70.8,
指数,1981年12月,全国,0180 鉄道運賃（ＪＲ以外）,56.4,
指数,1981年12月,全国,7008 普通運賃（ＪＲ以外）,58.3,
指数,1981年12月,全国,7009 通学定期（ＪＲ以外）,54,
指数,1981年12月,全国,7010 通勤定期（ＪＲ以外）,53.5,
指数,1981年12月,全国,7050 一般路線バス代,55.3,
指数,1981年12月,全国,7060 タクシー代,53.7,
指数,1981年12月,全国,7070 航空運賃,83.8,
指数,1981年12月,全国,0182 有料道路料,49.6,
指数,1981年12月,全国,0113 自動車等関係費,98.4,
指数,1981年12月,全国,0114 自動車,94,
指数,1981年12月,全国,7105 軽乗用車,98.6,
指数,1981年12月,全国,7106 小型乗用車,91.1,
指数,1981年12月,全国,0115 自転車,89,
指数,1981年12月,全国,7201 自転車Ａ,85.9,
指数,1981年12月,全国,0116 自動車等維持,101,
指数,1981年12月,全国,7301 ガソリン,120.5,
指数,1981年12月,全国,7311 自動車タイヤ,92.4,
指数,1981年12月,全国,7331 自動車整備費（定期点検）,94,
指数,1981年12月,全国,7335 自動車整備費（パンク修理）,45.1,
指数,1981年12月,全国,7341 自動車オイル交換料,69.6,
指数,1981年12月,全国,7351 自動車免許手数料,64.1,
指数,1981年12月,全国,7370 自動車保険料（自賠責）,125.1,
指数,1981年12月,全国,0117 通信,167.8,
指数,1981年12月,全国,7401 はがき,63.5,
指数,1981年12月,全国,7402 封書,71.5,
指数,1981年12月,全国,7410 通信料（固定電話）,149,
指数,1981年12月,全国,0118 教育,56.7,
指数,1981年12月,全国,0119 授業料等,60.9,
指数,1981年12月,全国,8001 ＰＴＡ会費（小学校）,50.1,
指数,1981年12月,全国,8002 ＰＴＡ会費（中学校）,56.5,
指数,1981年12月,全国,8010 中学校授業料（私立）,49.7,
指数,1981年12月,全国,8020 高等学校授業料（公立）,196.3,
指数,1981年12月,全国,8030 高等学校授業料（私立）,59.6,
指数,1981年12月,全国,8040 大学授業料（国立）,32.5,
指数,1981年12月,全国,8060 大学授業料（私立）,39.5,
指数,1981年12月,全国,0120 教科書・学習参考教材,60.9,
指数,1981年12月,全国,8100 学習参考教材,57.8,
指数,1981年12月,全国,0121 補習教育,47.1,
指数,1981年12月,全国,8201 補習教育（中学校）,49.3,
指数,1981年12月,全国,0122 教養娯楽,91.8,
指数,1981年12月,全国,0123 教養娯楽用耐久財,2381,
指数,1981年12月,全国,9043 カメラ,4060.3,
指数,1981年12月,全国,9051 ピアノ,59.4,
指数,1981年12月,全国,9061 学習用机,71.8,
指数,1981年12月,全国,0128 教養娯楽用品,87,
指数,1981年12月,全国,0129 文房具,69.1,
指数,1981年12月,全国,9111 ボールペン,73.6,
指数,1981年12月,全国,9121 ノートブック,59.2,
指数,1981年12月,全国,0130 運動用具類,91.3,
指数,1981年12月,全国,9142 ゴルフクラブ,151.6,
指数,1981年12月,全国,9141 グローブ,51.5,
指数,1981年12月,全国,9143 テニスラケット,85.4,
指数,1981年12月,全国,9145 トレーニングパンツ,109,
指数,1981年12月,全国,0131 玩具,140.1,
指数,1981年12月,全国,9151 人形,90,
指数,1981年12月,全国,9152 玩具自動車,72.9,
指数,1981年12月,全国,9153 組立玩具,86.8,
指数,1981年12月,全国,0132 切り花,64.3,
指数,1981年12月,全国,9181 切り花（カーネーション）,69.3,
指数,1981年12月,全国,9182 切り花（きく）,62.5,
指数,1981年12月,全国,0133 他の教養娯楽用品,95.5,
指数,1981年12月,全国,0134 書籍・他の印刷物,56.2,
指数,1981年12月,全国,0135 新聞代,59.3,
指数,1981年12月,全国,0136 雑誌,63.8,
指数,1981年12月,全国,9230 週刊誌,46.4,
指数,1981年12月,全国,0137 書籍,45.4,
指数,1981年12月,全国,9261 単行本Ａ,42.9,
指数,1981年12月,全国,9263 単行本Ｂ,44.1,
指数,1981年12月,全国,0138 教養娯楽サービス,64.1,
指数,1981年12月,全国,0139 宿泊料,69.2,
指数,1981年12月,全国,9300 宿泊料,69.2,
指数,1981年12月,全国,0140 月謝類,51.9,
指数,1981年12月,全国,9313 講習料（水泳）,55.8,
指数,1981年12月,全国,9320 自動車教習料,50.7,
指数,1981年12月,全国,0141 他の教養娯楽サービス,72.8,
指数,1981年12月,全国,0142 放送受信料,65,
指数,1981年12月,全国,9330 放送受信料（ＮＨＫ）,67.3,
指数,1981年12月,全国,0143 入場・観覧・ゲーム代,68.8,
指数,1981年12月,全国,9341 映画観覧料,80.2,
指数,1981年12月,全国,9350 プロ野球観覧料,39.1,
指数,1981年12月,全国,9361 ボウリングゲーム代,59.4,
指数,1981年12月,全国,0144 他の娯楽サービス,135.2,
指数,1981年12月,全国,0145 諸雑費,69.2,
指数,1981年12月,全国,0146 理美容サービス,66,
指数,1981年12月,全国,9511 理髪料,64.4,
指数,1981年12月,全国,9521 パーマネント代,69.4,
指数,1981年12月,全国,9531 カット代,62.1,
指数,1981年12月,全国,0147 理美容用品,98.3,
指数,1981年12月,全国,0148 理容器具,223.2,
指数,1981年12月,全国,9611 歯ブラシ,125.6,
指数,1981年12月,全国,0149 石けん類,107.8,
指数,1981年12月,全国,9621 手洗い用石けん,105.2,
指数,1981年12月,全国,9622 シャンプー,97.3,
指数,1981年12月,全国,9623 歯磨き,129.8,
指数,1981年12月,全国,0150 化粧品,90.1,
指数,1981年12月,全国,9631 整髪料,88,
指数,1981年12月,全国,9641 養毛剤,105.6,
指数,1981年12月,全国,9650 化粧クリームＡ,86,
指数,1981年12月,全国,9661 化粧水Ｂ,100.7,
指数,1981年12月,全国,9690 乳液Ａ,79.8,
指数,1981年12月,全国,9670 ファンデーションＡ,77.1,
指数,1981年12月,全国,9680 口紅Ａ,72,
指数,1981年12月,全国,0151 身の回り用品,63.1,
指数,1981年12月,全国,0152 かばん類,52.7,
指数,1981年12月,全国,9721 バッグＡ,97.5,
指数,1981年12月,全国,9711 通学用かばん,39.3,
指数,1981年12月,全国,9731 旅行用かばん,107.5,
指数,1981年12月,全国,0153 腕時計・指輪,81.7,
指数,1981年12月,全国,9741 指輪,62,
指数,1981年12月,全国,9751 腕時計,106.7,
指数,1981年12月,全国,0154 他の身の回り用品,73.7,
指数,1981年12月,全国,9701 傘,92.3,
指数,1981年12月,全国,9761 ハンカチーフ,52.3,
指数,1981年12月,全国,0155 たばこ,36.6,
指数,1981年12月,全国,9799 たばこ（国産品）,35.6,
指数,1981年12月,全国,0156 他の諸雑費,40.3,
指数,1981年12月,全国,9901 行政証明書手数料,35.8,
指数,1981年12月,全国,0157 生鮮食品,62.8,
指数,1981年12月,全国,0158 生鮮魚介（再掲）,74.3,
指数,1981年12月,全国,0159 生鮮野菜（再掲）,61.1,
