指数,年月,地域,カテゴリ,数値,単位
指数,2025年3月,全国,0001 総合,111.1,
指数,2025年3月,全国,0002 食料,124.2,
指数,2025年3月,全国,0003 穀類,144.5,
指数,2025年3月,全国,0004 米類,195.3,
指数,2025年3月,全国,1001 うるち米Ａ,192.8,
指数,2025年3月,全国,1002 うるち米Ｂ,196.7,
指数,2025年3月,全国,0005 パン,125.6,
指数,2025年3月,全国,1021 食パン,127.5,
指数,2025年3月,全国,1022 あんパン,121.8,
指数,2025年3月,全国,1023 カレーパン,129.7,
指数,2025年3月,全国,0006 麺類,121.9,
指数,2025年3月,全国,1031 ゆでうどん,127.5,
指数,2025年3月,全国,1041 そうめん,118.2,
指数,2025年3月,全国,1042 スパゲッティ,119.8,
指数,2025年3月,全国,1051 カップ麺,120.8,
指数,2025年3月,全国,1052 中華麺,121.8,
指数,2025年3月,全国,0007 他の穀類,119.3,
指数,2025年3月,全国,1071 小麦粉,135,
指数,2025年3月,全国,1081 もち,111.6,
指数,2025年3月,全国,1090 シリアル,121.4,
指数,2025年3月,全国,0008 魚介類,131.7,
指数,2025年3月,全国,0009 生鮮魚介,131.8,
指数,2025年3月,全国,1101 まぐろ,115.7,
指数,2025年3月,全国,1102 あじ,134.4,
指数,2025年3月,全国,1103 いわし,119.2,
指数,2025年3月,全国,1104 かつお,121.2,
指数,2025年3月,全国,1106 さけ,137.8,
指数,2025年3月,全国,1107 さば,138.1,
指数,2025年3月,全国,1108 さんま,123.4,
指数,2025年3月,全国,1110 たい,120.1,
指数,2025年3月,全国,1111 ぶり,143.3,
指数,2025年3月,全国,1112 いか,163.2,
指数,2025年3月,全国,1113 たこ,146.7,
指数,2025年3月,全国,1114 えび,111.5,
指数,2025年3月,全国,1131 あさり,139.2,
指数,2025年3月,全国,1132 かき（貝）,122.2,
指数,2025年3月,全国,1133 ほたて貝,150,
指数,2025年3月,全国,0010 塩干魚介,134,
指数,2025年3月,全国,1141 塩さけ,146,
指数,2025年3月,全国,1142 たらこ,118.9,
指数,2025年3月,全国,1143 しらす干し,136.1,
指数,2025年3月,全国,1144 干しあじ,125.4,
指数,2025年3月,全国,1146 煮干し,157.2,
指数,2025年3月,全国,1150 ししゃも,117.9,
指数,2025年3月,全国,1167 いくら,139.5,
指数,2025年3月,全国,0011 魚肉練製品,125.8,
指数,2025年3月,全国,1151 揚げかまぼこ,121.9,
指数,2025年3月,全国,1152 ちくわ,126,
指数,2025年3月,全国,1153 かまぼこ,128.5,
指数,2025年3月,全国,0012 他の魚介加工品,132.9,
指数,2025年3月,全国,1161 かつお節,144,
指数,2025年3月,全国,1165 魚介漬物,140.2,
指数,2025年3月,全国,1166 魚介つくだ煮,122.5,
指数,2025年3月,全国,1173 魚介缶詰,125.9,
指数,2025年3月,全国,0013 肉類,119.3,
指数,2025年3月,全国,0014 生鮮肉,120.4,
指数,2025年3月,全国,1201 牛肉（国産品）,111.2,
指数,2025年3月,全国,1203 牛肉（輸入品）,139.6,
指数,2025年3月,全国,1211 豚肉（国産品）,123.4,
指数,2025年3月,全国,1214 豚肉（輸入品）,120.5,
指数,2025年3月,全国,1221 鶏肉,113.6,
指数,2025年3月,全国,0015 加工肉,114.9,
指数,2025年3月,全国,1252 ハム,119.2,
指数,2025年3月,全国,1261 ソーセージ,109.9,
指数,2025年3月,全国,1271 ベーコン,120,
指数,2025年3月,全国,1292 味付け肉,116.3,
指数,2025年3月,全国,0016 乳卵類,123.3,
指数,2025年3月,全国,0017 牛乳・乳製品,120.2,
指数,2025年3月,全国,0018 牛乳,119.6,
指数,2025年3月,全国,1303 牛乳,119.6,
指数,2025年3月,全国,0019 乳製品,120.6,
指数,2025年3月,全国,1311 粉ミルク,122.9,
