指数,年月,地域,カテゴリ,数値,単位
指数,1988年5月,全国,0001 総合,85,
指数,1988年5月,全国,0002 食料,76.6,
指数,1988年5月,全国,0003 穀類,93.7,
指数,1988年5月,全国,0004 米類,113.3,
指数,1988年5月,全国,1001 うるち米Ａ,114,
指数,1988年5月,全国,1002 うるち米Ｂ,115.1,
指数,1988年5月,全国,0005 パン,79.4,
指数,1988年5月,全国,1021 食パン,81.3,
指数,1988年5月,全国,1022 あんパン,78.3,
指数,1988年5月,全国,0006 麺類,77.4,
指数,1988年5月,全国,1031 ゆでうどん,79.4,
指数,1988年5月,全国,1041 そうめん,69.5,
指数,1988年5月,全国,1042 スパゲッティ,81.8,
指数,1988年5月,全国,1051 カップ麺,73.5,
指数,1988年5月,全国,1052 中華麺,87.8,
指数,1988年5月,全国,0007 他の穀類,92.9,
指数,1988年5月,全国,1071 小麦粉,77.5,
指数,1988年5月,全国,1081 もち,101.9,
指数,1988年5月,全国,0008 魚介類,71.5,
指数,1988年5月,全国,0009 生鮮魚介,77.1,
指数,1988年5月,全国,1101 まぐろ,86,
指数,1988年5月,全国,1102 あじ,118.8,
指数,1988年5月,全国,1103 いわし,43.5,
指数,1988年5月,全国,1104 かつお,82.2,
指数,1988年5月,全国,1106 さけ,77.6,
指数,1988年5月,全国,1107 さば,61.8,
指数,1988年5月,全国,1108 さんま,60.6,
指数,1988年5月,全国,1110 たい,100.4,
指数,1988年5月,全国,1111 ぶり,76.6,
指数,1988年5月,全国,1112 いか,66.8,
指数,1988年5月,全国,1113 たこ,59.5,
指数,1988年5月,全国,1114 えび,102,
指数,1988年5月,全国,1131 あさり,59.5,
指数,1988年5月,全国,1133 ほたて貝,77.4,
指数,1988年5月,全国,0010 塩干魚介,67,
指数,1988年5月,全国,1141 塩さけ,76.6,
指数,1988年5月,全国,1142 たらこ,67.2,
指数,1988年5月,全国,1143 しらす干し,53.5,
指数,1988年5月,全国,1144 干しあじ,80.4,
指数,1988年5月,全国,1146 煮干し,71.6,
指数,1988年5月,全国,0011 魚肉練製品,66.7,
指数,1988年5月,全国,1151 揚げかまぼこ,64.7,
指数,1988年5月,全国,1152 ちくわ,70.2,
指数,1988年5月,全国,1153 かまぼこ,66.2,
指数,1988年5月,全国,0012 他の魚介加工品,60,
指数,1988年5月,全国,1161 かつお節,72,
指数,1988年5月,全国,1173 魚介缶詰,61.9,
指数,1988年5月,全国,0013 肉類,69.9,
指数,1988年5月,全国,0014 生鮮肉,65.5,
指数,1988年5月,全国,1201 牛肉（国産品）,58.9,
指数,1988年5月,全国,1203 牛肉（輸入品）,64,
指数,1988年5月,全国,1211 豚肉（国産品）,65.2,
指数,1988年5月,全国,1221 鶏肉,73.5,
指数,1988年5月,全国,0015 加工肉,91,
