指数,年月,地域,カテゴリ,数値,単位
指数,2023年1月,全国,0001 総合,104.7,
指数,2023年1月,全国,0002 食料,109.5,
指数,2023年1月,全国,0003 穀類,107.5,
指数,2023年1月,全国,0004 米類,94.4,
指数,2023年1月,全国,1001 うるち米Ａ,95,
指数,2023年1月,全国,1002 うるち米Ｂ,94.1,
指数,2023年1月,全国,0005 パン,114,
指数,2023年1月,全国,1021 食パン,115,
指数,2023年1月,全国,1022 あんパン,113.2,
指数,2023年1月,全国,1023 カレーパン,113.6,
指数,2023年1月,全国,0006 麺類,112.3,
指数,2023年1月,全国,1031 ゆでうどん,114.5,
指数,2023年1月,全国,1041 そうめん,106.5,
指数,2023年1月,全国,1042 スパゲッティ,119.3,
指数,2023年1月,全国,1051 カップ麺,113.1,
指数,2023年1月,全国,1052 中華麺,110.1,
指数,2023年1月,全国,0007 他の穀類,108.2,
指数,2023年1月,全国,1071 小麦粉,123,
指数,2023年1月,全国,1081 もち,98.1,
指数,2023年1月,全国,1090 シリアル,114.1,
指数,2023年1月,全国,0008 魚介類,124.4,
指数,2023年1月,全国,0009 生鮮魚介,130.3,
指数,2023年1月,全国,1101 まぐろ,133,
指数,2023年1月,全国,1102 あじ,119.5,
指数,2023年1月,全国,1103 いわし,125.7,
指数,2023年1月,全国,1106 さけ,134,
指数,2023年1月,全国,1107 さば,128.2,
指数,2023年1月,全国,1108 さんま,133.8,
指数,2023年1月,全国,1110 たい,116.9,
指数,2023年1月,全国,1111 ぶり,147.1,
指数,2023年1月,全国,1112 いか,128,
指数,2023年1月,全国,1113 たこ,132,
指数,2023年1月,全国,1114 えび,113.8,
指数,2023年1月,全国,1131 あさり,133.6,
指数,2023年1月,全国,1132 かき（貝）,111.9,
指数,2023年1月,全国,1133 ほたて貝,125.6,
指数,2023年1月,全国,0010 塩干魚介,120.1,
指数,2023年1月,全国,1141 塩さけ,132.3,
指数,2023年1月,全国,1142 たらこ,114.8,
指数,2023年1月,全国,1143 しらす干し,111.1,
指数,2023年1月,全国,1144 干しあじ,113.6,
指数,2023年1月,全国,1146 煮干し,103.5,
