指数,年月,地域,カテゴリ,数値,単位
指数,1971年1月,全国,0001 総合,32.2,
指数,1971年1月,全国,0002 食料,30.1,
指数,1971年1月,全国,0003 穀類,34.2,
指数,1971年1月,全国,0004 米類,42,
指数,1971年1月,全国,0005 パン,27.9,
指数,1971年1月,全国,1021 食パン,29.5,
指数,1971年1月,全国,1022 あんパン,25.2,
指数,1971年1月,全国,0006 麺類,25.7,
指数,1971年1月,全国,1041 そうめん,19.4,
指数,1971年1月,全国,1051 カップ麺,30,
指数,1971年1月,全国,0007 他の穀類,37.7,
指数,1971年1月,全国,1071 小麦粉,30.4,
指数,1971年1月,全国,0008 魚介類,23.2,
指数,1971年1月,全国,0009 生鮮魚介,26,
指数,1971年1月,全国,1101 まぐろ,35.5,
指数,1971年1月,全国,1102 あじ,31.7,
指数,1971年1月,全国,1103 いわし,37.4,
指数,1971年1月,全国,1104 かつお,29.6,
指数,1971年1月,全国,1106 さけ,26.9,
指数,1971年1月,全国,1107 さば,16,
指数,1971年1月,全国,1108 さんま,32.9,
指数,1971年1月,全国,1110 たい,42.4,
指数,1971年1月,全国,1111 ぶり,43.8,
指数,1971年1月,全国,1112 いか,17.9,
指数,1971年1月,全国,1113 たこ,21.3,
指数,1971年1月,全国,1131 あさり,7.8,
指数,1971年1月,全国,1132 かき（貝）,21.7,
指数,1971年1月,全国,0010 塩干魚介,21.8,
指数,1971年1月,全国,1141 塩さけ,25.8,
指数,1971年1月,全国,1142 たらこ,20.8,
指数,1971年1月,全国,1143 しらす干し,17.3,
指数,1971年1月,全国,1146 煮干し,20.9,
指数,1971年1月,全国,0011 魚肉練製品,19,
指数,1971年1月,全国,1151 揚げかまぼこ,14.2,
指数,1971年1月,全国,1152 ちくわ,17,
指数,1971年1月,全国,1153 かまぼこ,23.6,
指数,1971年1月,全国,0012 他の魚介加工品,19,
指数,1971年1月,全国,1161 かつお節,30,
指数,1971年1月,全国,0013 肉類,34.8,
指数,1971年1月,全国,0014 生鮮肉,32.8,
指数,1971年1月,全国,1201 牛肉（国産品）,20,
指数,1971年1月,全国,1211 豚肉（国産品）,34.8,
指数,1971年1月,全国,1221 鶏肉,49.5,
指数,1971年1月,全国,0015 加工肉,44,
指数,1971年1月,全国,1261 ソーセージ,41.1,
指数,1971年1月,全国,0016 乳卵類,47.3,
指数,1971年1月,全国,0017 牛乳・乳製品,40.3,
指数,1971年1月,全国,0018 牛乳,40.4,
指数,1971年1月,全国,0019 乳製品,40.8,
指数,1971年1月,全国,1311 粉ミルク,25,
指数,1971年1月,全国,1321 バター,35.3,
指数,1971年1月,全国,1331 チーズ（国産品）,37.2,
指数,1971年1月,全国,0020 卵,62.9,
指数,1971年1月,全国,1341 鶏卵,62.9,
指数,1971年1月,全国,0021 野菜・海藻,26,
指数,1971年1月,全国,0022 生鮮野菜,28.3,
指数,1971年1月,全国,1401 キャベツ,44.8,
指数,1971年1月,全国,1402 ほうれんそう,13.5,
指数,1971年1月,全国,1403 はくさい,22.9,
指数,1971年1月,全国,1405 ねぎ,15.4,
指数,1971年1月,全国,1406 レタス,61,
指数,1971年1月,全国,1411 さつまいも,17.8,
指数,1971年1月,全国,1412 じゃがいも,16.2,
指数,1971年1月,全国,1413 さといも,16.7,
指数,1971年1月,全国,1414 だいこん,26.6,
指数,1971年1月,全国,1415 にんじん,21.9,
指数,1971年1月,全国,1416 ごぼう,18.9,
指数,1971年1月,全国,1417 たまねぎ,51.9,
指数,1971年1月,全国,1419 れんこん,29.5,
指数,1971年1月,全国,1433 かぼちゃ,27.9,
指数,1971年1月,全国,1434 きゅうり,36.7,
指数,1971年1月,全国,1435 なす,48.5,
指数,1971年1月,全国,1436 トマト,46.4,
指数,1971年1月,全国,1437 ピーマン,20.7,
指数,1971年1月,全国,0023 乾物・加工品類,23,
指数,1971年1月,全国,0024 乾物・海藻,25.2,
指数,1971年1月,全国,1453 干ししいたけ,25.1,
指数,1971年1月,全国,1461 干しのり,45.1,
指数,1971年1月,全国,1462 わかめ,21.1,
指数,1971年1月,全国,1463 こんぶ,12.3,
指数,1971年1月,全国,0025 大豆加工品,28.2,
指数,1971年1月,全国,1471 豆腐,28.4,
指数,1971年1月,全国,1472 油揚げ,25.7,
指数,1971年1月,全国,1473 納豆,30,
指数,1971年1月,全国,0026 他の野菜・海藻加工品,17.6,
指数,1971年1月,全国,1481 こんにゃく,22.4,
指数,1971年1月,全国,1482 梅干し,16.7,
