指数,年月,地域,カテゴリ,数値,単位
指数,2020年5月,全国,0001 総合,100.1,
指数,2020年5月,全国,0002 食料,100.3,
指数,2020年5月,全国,0003 穀類,100.3,
指数,2020年5月,全国,0004 米類,100.4,
指数,2020年5月,全国,1001 うるち米Ａ,100.5,
指数,2020年5月,全国,1002 うるち米Ｂ,100.2,
指数,2020年5月,全国,0005 パン,100.3,
指数,2020年5月,全国,1021 食パン,99.9,
指数,2020年5月,全国,1022 あんパン,100.7,
指数,2020年5月,全国,1023 カレーパン,100,
指数,2020年5月,全国,0006 麺類,100.2,
指数,2020年5月,全国,1031 ゆでうどん,100.2,
指数,2020年5月,全国,1041 そうめん,98.9,
指数,2020年5月,全国,1042 スパゲッティ,101.4,
指数,2020年5月,全国,1051 カップ麺,99.9,
指数,2020年5月,全国,1052 中華麺,100.9,
指数,2020年5月,全国,0007 他の穀類,100.7,
指数,2020年5月,全国,1071 小麦粉,100.4,
指数,2020年5月,全国,1081 もち,101.1,
指数,2020年5月,全国,1090 シリアル,100.5,
指数,2020年5月,全国,0008 魚介類,99.8,
指数,2020年5月,全国,0009 生鮮魚介,99.5,
指数,2020年5月,全国,1101 まぐろ,99.2,
指数,2020年5月,全国,1102 あじ,93.3,
指数,2020年5月,全国,1103 いわし,91.2,
指数,2020年5月,全国,1104 かつお,98.2,
指数,2020年5月,全国,1106 さけ,100.7,
指数,2020年5月,全国,1107 さば,96.7,
指数,2020年5月,全国,1108 さんま,77.2,
指数,2020年5月,全国,1110 たい,100.3,
指数,2020年5月,全国,1111 ぶり,96.7,
指数,2020年5月,全国,1112 いか,114.5,
指数,2020年5月,全国,1113 たこ,100.8,
指数,2020年5月,全国,1114 えび,100.3,
指数,2020年5月,全国,1131 あさり,95.1,
指数,2020年5月,全国,1133 ほたて貝,100.1,
指数,2020年5月,全国,0010 塩干魚介,99.7,
指数,2020年5月,全国,1141 塩さけ,100.2,
指数,2020年5月,全国,1142 たらこ,100.1,
指数,2020年5月,全国,1143 しらす干し,99.5,
指数,2020年5月,全国,1144 干しあじ,99.3,
指数,2020年5月,全国,1146 煮干し,99.9,
指数,2020年5月,全国,1150 ししゃも,97.2,
指数,2020年5月,全国,1167 いくら,99.3,
指数,2020年5月,全国,0011 魚肉練製品,100.3,
指数,2020年5月,全国,1151 揚げかまぼこ,100.9,
指数,2020年5月,全国,1152 ちくわ,100.4,
指数,2020年5月,全国,1153 かまぼこ,99.8,
指数,2020年5月,全国,0012 他の魚介加工品,100.4,
指数,2020年5月,全国,1161 かつお節,99.4,
指数,2020年5月,全国,1165 魚介漬物,100.6,
指数,2020年5月,全国,1166 魚介つくだ煮,99.2,
指数,2020年5月,全国,1173 魚介缶詰,100.9,
