指数,年月,地域,カテゴリ,数値,単位
指数,1988年9月,全国,0001 総合,85.6,
指数,1988年9月,全国,0002 食料,78.2,
指数,1988年9月,全国,0003 穀類,93.7,
指数,1988年9月,全国,0004 米類,113.3,
指数,1988年9月,全国,1001 うるち米Ａ,114,
指数,1988年9月,全国,1002 うるち米Ｂ,115.1,
指数,1988年9月,全国,0005 パン,79.5,
指数,1988年9月,全国,1021 食パン,81.2,
指数,1988年9月,全国,1022 あんパン,78.6,
指数,1988年9月,全国,0006 麺類,77.3,
指数,1988年9月,全国,1031 ゆでうどん,79.4,
指数,1988年9月,全国,1041 そうめん,69.3,
指数,1988年9月,全国,1042 スパゲッティ,81.6,
指数,1988年9月,全国,1051 カップ麺,73.5,
指数,1988年9月,全国,1052 中華麺,87.7,
指数,1988年9月,全国,0007 他の穀類,92.3,
指数,1988年9月,全国,1071 小麦粉,77,
指数,1988年9月,全国,1081 もち,101.3,
指数,1988年9月,全国,0008 魚介類,71.5,
指数,1988年9月,全国,0009 生鮮魚介,76.6,
指数,1988年9月,全国,1101 まぐろ,87.2,
指数,1988年9月,全国,1102 あじ,108.4,
指数,1988年9月,全国,1103 いわし,46.3,
指数,1988年9月,全国,1104 かつお,70.7,
指数,1988年9月,全国,1106 さけ,74.8,
指数,1988年9月,全国,1107 さば,64.3,
指数,1988年9月,全国,1108 さんま,61.5,
指数,1988年9月,全国,1110 たい,101.6,
指数,1988年9月,全国,1111 ぶり,80.9,
指数,1988年9月,全国,1112 いか,54.9,
指数,1988年9月,全国,1113 たこ,59.6,
指数,1988年9月,全国,1114 えび,100.5,
指数,1988年9月,全国,1131 あさり,59.5,
指数,1988年9月,全国,1133 ほたて貝,78.7,
指数,1988年9月,全国,0010 塩干魚介,68.2,
指数,1988年9月,全国,1141 塩さけ,78.7,
指数,1988年9月,全国,1142 たらこ,70.3,
指数,1988年9月,全国,1143 しらす干し,52.7,
指数,1988年9月,全国,1144 干しあじ,77.4,
指数,1988年9月,全国,1146 煮干し,73,
指数,1988年9月,全国,0011 魚肉練製品,66.7,
指数,1988年9月,全国,1151 揚げかまぼこ,64.5,
指数,1988年9月,全国,1152 ちくわ,70.2,
指数,1988年9月,全国,1153 かまぼこ,66.3,
指数,1988年9月,全国,0012 他の魚介加工品,60.2,
指数,1988年9月,全国,1161 かつお節,72.1,
指数,1988年9月,全国,1173 魚介缶詰,61.8,
指数,1988年9月,全国,0013 肉類,69.9,
指数,1988年9月,全国,0014 生鮮肉,65.6,
指数,1988年9月,全国,1201 牛肉（国産品）,58.9,
指数,1988年9月,全国,1203 牛肉（輸入品）,62.7,
指数,1988年9月,全国,1211 豚肉（国産品）,65.7,
指数,1988年9月,全国,1221 鶏肉,73.2,
指数,1988年9月,全国,0015 加工肉,90.9,
指数,1988年9月,全国,1252 ハム,101.7,
指数,1988年9月,全国,1261 ソーセージ,88.7,
指数,1988年9月,全国,1271 ベーコン,75,
指数,1988年9月,全国,0016 乳卵類,80.5,
指数,1988年9月,全国,0017 牛乳・乳製品,85,
指数,1988年9月,全国,0018 牛乳,83.3,
指数,1988年9月,全国,1303 牛乳,95.5,
指数,1988年9月,全国,0019 乳製品,88,
指数,1988年9月,全国,1311 粉ミルク,69.3,
指数,1988年9月,全国,1333 ヨーグルト,112,
指数,1988年9月,全国,1321 バター,72.9,
指数,1988年9月,全国,1331 チーズ（国産品）,65.7,
指数,1988年9月,全国,0020 卵,67.8,
指数,1988年9月,全国,1341 鶏卵,67.8,
指数,1988年9月,全国,0021 野菜・海藻,77.2,
指数,1988年9月,全国,0022 生鮮野菜,83,
指数,1988年9月,全国,1401 キャベツ,139.2,
指数,1988年9月,全国,1402 ほうれんそう,103.1,
指数,1988年9月,全国,1403 はくさい,143.5,
指数,1988年9月,全国,1405 ねぎ,73.8,
指数,1988年9月,全国,1406 レタス,170.7,
指数,1988年9月,全国,1407 もやし,89.9,
指数,1988年9月,全国,1411 さつまいも,69,
指数,1988年9月,全国,1412 じゃがいも,54.2,
指数,1988年9月,全国,1413 さといも,49.9,
指数,1988年9月,全国,1414 だいこん,122.6,
指数,1988年9月,全国,1415 にんじん,66.5,
指数,1988年9月,全国,1416 ごぼう,71.8,
指数,1988年9月,全国,1417 たまねぎ,80.7,
指数,1988年9月,全国,1419 れんこん,75,
指数,1988年9月,全国,1420 ながいも,106,
指数,1988年9月,全国,1432 さやいんげん,50.9,
指数,1988年9月,全国,1433 かぼちゃ,58.4,
指数,1988年9月,全国,1434 きゅうり,62.7,
指数,1988年9月,全国,1435 なす,52.3,
指数,1988年9月,全国,1436 トマト,66.3,
指数,1988年9月,全国,1437 ピーマン,46.5,
指数,1988年9月,全国,1438 生しいたけ,95.5,
指数,1988年9月,全国,0023 乾物・加工品類,68.4,
指数,1988年9月,全国,0024 乾物・海藻,55.2,
指数,1988年9月,全国,1453 干ししいたけ,62.8,
指数,1988年9月,全国,1461 干しのり,77.9,
指数,1988年9月,全国,1462 わかめ,42.6,
指数,1988年9月,全国,1463 こんぶ,45.9,
指数,1988年9月,全国,0025 大豆加工品,81.3,
指数,1988年9月,全国,1471 豆腐,78.2,
指数,1988年9月,全国,1472 油揚げ,80.3,
指数,1988年9月,全国,1473 納豆,85,
指数,1988年9月,全国,0026 他の野菜・海藻加工品,67.2,
指数,1988年9月,全国,1481 こんにゃく,93.7,
指数,1988年9月,全国,1482 梅干し,56.3,
指数,1988年9月,全国,1483 だいこん漬,60,
指数,1988年9月,全国,1485 こんぶつくだ煮,62.9,
指数,1988年9月,全国,1491 野菜缶詰,95.8,
指数,1988年9月,全国,0027 果物,66.5,
指数,1988年9月,全国,0028 生鮮果物,65.7,
指数,1988年9月,全国,1511 みかん,148.7,
指数,1988年9月,全国,1515 オレンジ,93.3,
指数,1988年9月,全国,1521 梨,45.6,
指数,1988年9月,全国,1531 ぶどうＡ,42.3,
指数,1988年9月,全国,1532 ぶどうＢ,53.4,
指数,1988年9月,全国,1551 桃,47,
指数,1988年9月,全国,1581 バナナ,74.3,
指数,1988年9月,全国,0029 果物加工品,82.9,
指数,1988年9月,全国,0030 油脂・調味料,99.1,
指数,1988年9月,全国,0031 油脂,120.3,
指数,1988年9月,全国,1601 食用油,134.2,
指数,1988年9月,全国,1602 マーガリン,81.5,
指数,1988年9月,全国,0032 調味料,96.9,
指数,1988年9月,全国,1611 食塩,63.2,
指数,1988年9月,全国,1621 しょう油,95.4,
指数,1988年9月,全国,1631 みそ,97.4,
指数,1988年9月,全国,1632 砂糖,117.3,
指数,1988年9月,全国,1633 酢,92.1,
指数,1988年9月,全国,1641 ソース,107.4,
指数,1988年9月,全国,1642 ケチャップ,145.8,
指数,1988年9月,全国,1643 マヨネーズ,107.7,
指数,1988年9月,全国,1652 カレールウ,88.1,
指数,1988年9月,全国,1653 乾燥スープ,85.1,
指数,1988年9月,全国,1654 風味調味料,102,
指数,1988年9月,全国,1656 ふりかけ,84.4,
指数,1988年9月,全国,1655 たれ,88.7,
指数,1988年9月,全国,0033 菓子類,71.6,
指数,1988年9月,全国,1701 ようかん,56.3,
指数,1988年9月,全国,1702 まんじゅう,68.8,
指数,1988年9月,全国,1711 カステラ,74.4,
指数,1988年9月,全国,1712 ケーキ,58.2,
指数,1988年9月,全国,1714 プリン,72.9,
指数,1988年9月,全国,1713 シュークリーム,85.1,
指数,1988年9月,全国,1741 せんべい,85,
指数,1988年9月,全国,1721 ビスケット,61.8,
指数,1988年9月,全国,1783 ポテトチップス,71.3,
指数,1988年9月,全国,1732 キャンデー,69.5,
指数,1988年9月,全国,1761 チョコレート,96.3,
指数,1988年9月,全国,1782 アイスクリーム,86.3,
指数,1988年9月,全国,1772 落花生,97,
指数,1988年9月,全国,1781 チューインガム,73.2,
指数,1988年9月,全国,0034 調理食品,72.8,
指数,1988年9月,全国,0035 主食的調理食品,74.8,
