指数,年月,地域,カテゴリ,数値,単位
指数,2011年12月,全国,0001 総合,94.3,
指数,2011年12月,全国,0002 食料,88,
指数,2011年12月,全国,0003 穀類,95.4,
指数,2011年12月,全国,0004 米類,95,
指数,2011年12月,全国,1001 うるち米Ａ,97.5,
指数,2011年12月,全国,1002 うるち米Ｂ,93.7,
指数,2011年12月,全国,0005 パン,94.9,
指数,2011年12月,全国,1021 食パン,97.3,
指数,2011年12月,全国,1022 あんパン,91.7,
指数,2011年12月,全国,1023 カレーパン,96.1,
指数,2011年12月,全国,0006 麺類,94,
指数,2011年12月,全国,1031 ゆでうどん,94.4,
指数,2011年12月,全国,1041 そうめん,97.2,
指数,2011年12月,全国,1042 スパゲッティ,95.9,
指数,2011年12月,全国,1051 カップ麺,89.1,
指数,2011年12月,全国,1052 中華麺,97.9,
指数,2011年12月,全国,0007 他の穀類,99.9,
指数,2011年12月,全国,1071 小麦粉,83.7,
指数,2011年12月,全国,1081 もち,107.6,
指数,2011年12月,全国,0008 魚介類,77.6,
指数,2011年12月,全国,0009 生鮮魚介,77.5,
指数,2011年12月,全国,1101 まぐろ,87.9,
指数,2011年12月,全国,1102 あじ,85.7,
指数,2011年12月,全国,1103 いわし,94,
指数,2011年12月,全国,1106 さけ,72.7,
指数,2011年12月,全国,1107 さば,85.1,
指数,2011年12月,全国,1108 さんま,49,
指数,2011年12月,全国,1110 たい,83.6,
指数,2011年12月,全国,1111 ぶり,83.2,
指数,2011年12月,全国,1112 いか,47.8,
指数,2011年12月,全国,1113 たこ,80.6,
指数,2011年12月,全国,1114 えび,75.1,
指数,2011年12月,全国,1131 あさり,87.8,
指数,2011年12月,全国,1132 かき（貝）,92.7,
指数,2011年12月,全国,1133 ほたて貝,79.2,
指数,2011年12月,全国,0010 塩干魚介,71.2,
指数,2011年12月,全国,1141 塩さけ,62.6,
指数,2011年12月,全国,1142 たらこ,84.4,
指数,2011年12月,全国,1143 しらす干し,68.3,
指数,2011年12月,全国,1144 干しあじ,76.8,
指数,2011年12月,全国,1146 煮干し,85.3,
指数,2011年12月,全国,1150 ししゃも,63.5,
指数,2011年12月,全国,1167 いくら,61.5,
指数,2011年12月,全国,0011 魚肉練製品,92.2,
指数,2011年12月,全国,1151 揚げかまぼこ,91.1,
指数,2011年12月,全国,1152 ちくわ,94.7,
指数,2011年12月,全国,1153 かまぼこ,91.7,
指数,2011年12月,全国,0012 他の魚介加工品,77.7,
指数,2011年12月,全国,1161 かつお節,82.4,
指数,2011年12月,全国,1165 魚介漬物,75.1,
指数,2011年12月,全国,1166 魚介つくだ煮,79.2,
指数,2011年12月,全国,1173 魚介缶詰,81.8,
指数,2011年12月,全国,0013 肉類,84.3,
指数,2011年12月,全国,0014 生鮮肉,80.3,
指数,2011年12月,全国,1201 牛肉（国産品）,75.6,
指数,2011年12月,全国,1203 牛肉（輸入品）,64.3,
指数,2011年12月,全国,1211 豚肉（国産品）,79.8,
指数,2011年12月,全国,1221 鶏肉,90.8,
指数,2011年12月,全国,0015 加工肉,102.8,
指数,2011年12月,全国,1252 ハム,105.9,
指数,2011年12月,全国,1261 ソーセージ,101.3,
指数,2011年12月,全国,1271 ベーコン,100.2,
指数,2011年12月,全国,0016 乳卵類,89.2,
指数,2011年12月,全国,0017 牛乳・乳製品,89.5,
指数,2011年12月,全国,0018 牛乳,90.3,
指数,2011年12月,全国,1303 牛乳,90.5,
指数,2011年12月,全国,0019 乳製品,89,
指数,2011年12月,全国,1311 粉ミルク,95.4,
指数,2011年12月,全国,1333 ヨーグルト,90.4,
指数,2011年12月,全国,1321 バター,87.5,
指数,2011年12月,全国,1331 チーズ（国産品）,86.7,
指数,2011年12月,全国,1332 チーズ（輸入品）,86.9,
指数,2011年12月,全国,0020 卵,88.8,
指数,2011年12月,全国,1341 鶏卵,88.8,
指数,2011年12月,全国,0021 野菜・海藻,84.3,
